Reaction,FSR,RegulationStatus
1,5244647.04198908,Unchanged
2,4740236.40906884,Unchanged
3,0,Unchanged
4,14140.281097919,Upregulated
5,80753081.0259283,Unchanged
6,3970781.62758498,Unchanged
7,0,Unchanged
8,68767593.7790713,Unchanged
9,75242055.419056,Unchanged
10,0,Unchanged
11,35723023.4210062,Unchanged
12,1114252.16143311,Unchanged
13,0,Unchanged
14,20250039.2229003,Unchanged
15,0,Unchanged
16,62483732.3311992,Unchanged
17,30019221.939982,Unchanged
18,4838341.3492118,Unchanged
19,2409801.43258148,Unchanged
20,132877521.413141,Unchanged
21,89662529.0468436,Unchanged
22,17600718.2369485,Unchanged
23,57167512.6937193,Unchanged
24,129570930.328803,Unchanged
25,55514557.9301039,Unchanged
26,34877734.5910844,Unchanged
27,0.448210329189885,Downregulated
28,24943889.2322873,Unchanged
29,0,Unchanged
30,867420.882902053,Unchanged
31,0,Unchanged
32,53868284.8727386,Unchanged
33,31792531.9505784,Unchanged
34,41093033.6039083,Unchanged
35,0,Unchanged
36,13393903.789292,Unchanged
37,15623438.0279472,Unchanged
38,49823065.0122828,Unchanged
39,47150642.7778997,Unchanged
40,6792.24413434226,Upregulated
41,1216218.11624077,Unchanged
42,3926667.26974401,Unchanged
43,0,Unchanged
44,0,Unchanged
45,38048.2293794214,Unchanged
46,39491712.401135,Unchanged
47,99171376.3157275,Unchanged
48,53040094.2168091,Unchanged
49,94003338.426211,Unchanged
50,80141321.2255446,Unchanged
51,186435094.613923,Unchanged
52,97543608.6189161,Unchanged
53,0,Unchanged
54,4510208.79217002,Unchanged
55,7517235.19017535,Unchanged
56,11490958.6776001,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,17097062.9405911,Unchanged
61,15739451.8721659,Unchanged
62,222444066.682782,Unchanged
63,76852199.7797412,Unchanged
64,8387794.52626671,Unchanged
65,8375835.50369165,Unchanged
66,9591654.90177862,Unchanged
67,17966196.1414501,Unchanged
68,0,Unchanged
69,7855401.38036102,Unchanged
70,7855401.38082664,Unchanged
71,2203825.52692671,Unchanged
72,0.942021264719412,Unchanged
73,5494156.73781304,Unchanged
74,12776005.7622487,Unchanged
75,0,Unchanged
76,4358360.24225161,Unchanged
77,0,Unchanged
78,20460977.8201419,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.883027262298178,Unchanged
82,6945244.60769718,Unchanged
83,1484482.25901082,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,2635325.85860241,Unchanged
89,21007992.5589558,Unchanged
90,0,Unchanged
91,1.18898440264385,Unchanged
92,4.02010012408156,Upregulated
93,297143877.113149,Unchanged
94,37135252.4611779,Unchanged
95,37135252.2725553,Unchanged
96,0,Unchanged
97,39794079.0806734,Unchanged
98,1284068881.07957,Unchanged
99,612577293.221075,Unchanged
100,353990482.564615,Unchanged
101,245385066.956161,Unchanged
102,289019289.167685,Unchanged
103,289019289.167587,Unchanged
104,123905977.819838,Unchanged
105,12254349.9585222,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0141196355194964,Downregulated
109,0.0141196355194964,Downregulated
110,0.0141196355194964,Downregulated
111,0.0153603172093429,Downregulated
112,0.0153603172093429,Downregulated
113,0.0153603172093429,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.388469561607847,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,60469962.7883725,Unchanged
123,61881988.6753784,Unchanged
124,7605056.53911364,Unchanged
125,13752774.868423,Unchanged
126,9507429.55192127,Unchanged
127,41901184.6096461,Unchanged
128,0,Unchanged
129,0,Unchanged
130,57094944.701342,Unchanged
131,4028692.86812725,Unchanged
132,7890179.46785233,Unchanged
133,2.0512818666435,Upregulated
134,0,Unchanged
135,61452000.2941753,Unchanged
136,34138122.9580599,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,61952988.9099188,Unchanged
142,13139621.1869083,Unchanged
143,89405134.9033394,Unchanged
144,27863498.8672723,Unchanged
145,29575716.7560863,Unchanged
146,15739451.1459058,Unchanged
147,18912342.4067885,Unchanged
148,44628551.8418531,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.882019274891503,Unchanged
154,0.281399912731028,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,40693839.8707069,Unchanged
158,0.174808802554866,Downregulated
159,0.421297329313402,Downregulated
160,8983097.85246857,Unchanged
161,904400.599084423,Unchanged
162,6145193.5194152,Unchanged
163,9899185.97991203,Unchanged
164,0.185411193651705,Downregulated
165,307516591.004566,Unchanged
166,306453385.437864,Unchanged
167,153758295.502283,Unchanged
168,57094944.701342,Unchanged
169,83022204.9223077,Unchanged
170,118007524.687246,Unchanged
171,21322466.7365595,Unchanged
172,536675.959675257,Unchanged
173,592594566.347956,Unchanged
174,0,Unchanged
175,0,Unchanged
176,326081012.377905,Unchanged
177,0,Unchanged
178,124209112.870477,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,154898.637097785,Unchanged
188,413946.707886771,Unchanged
189,29119759.1356427,Unchanged
190,29119759.1357726,Unchanged
191,761483330.107944,Unchanged
192,8995923.07189609,Unchanged
193,666027.226546015,Unchanged
194,22473709.2326946,Unchanged
195,12039504.1137697,Unchanged
196,21950332.0652574,Unchanged
197,20593832.8441554,Unchanged
198,0.449047845778995,Downregulated
199,35100766.8359331,Unchanged
200,0,Unchanged
201,35100767.9564887,Unchanged
202,14766773.7913925,Unchanged
203,648057.139495998,Unchanged
204,42644934.0933683,Unchanged
205,11124780.2731201,Unchanged
206,16456126.504376,Unchanged
207,1.49419105277512,Unchanged
208,308642283.973263,Unchanged
209,14766772.0649897,Unchanged
210,112746378.028327,Unchanged
211,1.99999999196488,Unchanged
212,0,Unchanged
213,42705822.2976315,Unchanged
214,0,Unchanged
215,0,Unchanged
216,35592636.0419476,Unchanged
217,1.72967488654651,Unchanged
218,123162759.64679,Unchanged
219,2115973.91624677,Unchanged
220,1041373.40611023,Unchanged
221,1026691.34634988,Unchanged
222,1516281.84262778,Unchanged
223,693701.160799341,Unchanged
224,0,Unchanged
225,0,Unchanged
226,70675623.1657088,Unchanged
227,1.93874622517394,Unchanged
228,0,Unchanged
229,84877802.772866,Unchanged
230,642034440.539786,Unchanged
231,327248743.32242,Unchanged
232,302265612.850854,Unchanged
233,10399752.197295,Unchanged
234,167754063.805223,Unchanged
235,194045186.430684,Unchanged
236,115984825.411792,Unchanged
237,152980292.199048,Unchanged
238,169878043.851675,Unchanged
239,20678829.0872507,Unchanged
240,0.118689319702291,Downregulated
241,0,Unchanged
242,0.390498526072435,Downregulated
243,0,Unchanged
244,0,Unchanged
245,40835847.7128088,Unchanged
246,1.99999991165498,Unchanged
247,115984817.218767,Unchanged
248,796368987.880339,Unchanged
249,453989955.097762,Unchanged
250,119969983.091772,Unchanged
251,342389904.900516,Unchanged
252,102952162.026064,Unchanged
253,171256459.695515,Unchanged
254,171256463.066639,Unchanged
255,1133472676.23976,Unchanged
256,91100.6801910842,Unchanged
257,0.14119636745424,Downregulated
258,0.421297329307308,Downregulated
259,0.845367965913602,Unchanged
260,27379866.6713376,Unchanged
261,0,Unchanged
262,0,Unchanged
263,231727333.740274,Unchanged
264,0.0119991308473212,Downregulated
265,0.024613593362455,Downregulated
266,421178.694105674,Unchanged
267,0,Unchanged
268,326137.139154551,Unchanged
269,495610.034178201,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,778742.899482988,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.726586399468316,Unchanged
288,0.67147129590612,Unchanged
289,0,Unchanged
290,0.726586385112933,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.318593152300798,Downregulated
296,0.318600137761464,Downregulated
297,0,Unchanged
298,148145.050324364,Unchanged
299,575188900.568852,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,272643341.251572,Unchanged
305,82113343.836698,Unchanged
306,0,Unchanged
307,3363224.66891868,Unchanged
308,183451223.080571,Unchanged
309,85763791.3899934,Unchanged
310,39713058.7940238,Unchanged
311,167772052.800068,Unchanged
312,105411405.023243,Unchanged
313,250341186.859484,Unchanged
314,24981630.1587403,Unchanged
315,75674259.583323,Unchanged
316,213828123.092658,Unchanged
317,70101429.6207569,Unchanged
318,114189889.402684,Unchanged
319,42705814.3150196,Unchanged
320,42705814.3150196,Unchanged
321,42705814.3150196,Unchanged
322,95491380487.3092,Unchanged
323,16744745.8118176,Unchanged
324,6550551.07852919,Unchanged
325,28462188.8660869,Unchanged
326,0,Unchanged
327,102474211.760952,Unchanged
