Reaction,FSR,RegulationStatus
1,1140133.96533624,Unchanged
2,1140135.38737167,Unchanged
3,0,Unchanged
4,1790.31042684412,Upregulated
5,17586341.2014735,Unchanged
6,502066.740873978,Unchanged
7,0,Unchanged
8,19007253.6835035,Unchanged
9,24780627.063573,Unchanged
10,0,Unchanged
11,11547100.0863826,Unchanged
12,203489.312448432,Unchanged
13,0,Unchanged
14,2952826.48666235,Unchanged
15,0,Unchanged
16,15660133.5955691,Unchanged
17,6308475.21866645,Unchanged
18,1501109.74791567,Unchanged
19,901526.105965838,Unchanged
20,27953551.4239638,Unchanged
21,18874630.9611636,Unchanged
22,5681139.49916955,Unchanged
23,17768616.8407931,Unchanged
24,28641038.579791,Unchanged
25,9377641.10745458,Unchanged
26,10785753.6534616,Unchanged
27,0.58880580862961,Unchanged
28,5056588.09478587,Unchanged
29,0,Unchanged
30,354238.092483494,Unchanged
31,0,Unchanged
32,18471315.6022395,Unchanged
33,6521414.78047955,Unchanged
34,15021976.8920053,Unchanged
35,0,Unchanged
36,5530074.84159675,Unchanged
37,3936178.08688256,Unchanged
38,6304060.47500005,Unchanged
39,11982567.4385979,Unchanged
40,2436187.6384299,Unchanged
41,481685.535339437,Unchanged
42,565779.821578779,Unchanged
43,0,Unchanged
44,470135.583264318,Unchanged
45,12359.6543333115,Upregulated
46,6303714.10254351,Unchanged
47,16797201.9720963,Unchanged
48,16286183.5103713,Unchanged
49,22198735.0200195,Unchanged
50,11099367.5100097,Unchanged
51,25066312.7826171,Unchanged
52,15015436.8292927,Unchanged
53,0,Unchanged
54,0,Unchanged
55,1110315.84366458,Unchanged
56,1776538.35937676,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4441263.45987152,Unchanged
61,4441263.39708285,Unchanged
62,39467585.1465364,Unchanged
63,13281851.9557567,Unchanged
64,2707865.21379715,Unchanged
65,2707865.19600716,Unchanged
66,2880678.96527804,Unchanged
67,5405623.289684,Unchanged
68,0,Unchanged
69,2526087.14591724,Unchanged
70,2526087.14592171,Unchanged
71,707856.571055555,Unchanged
72,2.2495294915383,Upregulated
73,2329422.57546123,Unchanged
74,5233220.38616911,Unchanged
75,0,Unchanged
76,1806905.00570105,Unchanged
77,0,Unchanged
78,4442989.27139855,Unchanged
79,0,Unchanged
80,0,Unchanged
81,1.70193145637005,Unchanged
82,1025831.02977872,Unchanged
83,188437.095917628,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,1056722.97303473,Unchanged
89,3630670.80514819,Unchanged
90,0,Unchanged
91,1.43848823822314,Unchanged
92,4.02009751164989,Upregulated
93,44989101.9998863,Unchanged
94,4698684.45992504,Unchanged
95,4698684.49898593,Unchanged
96,0,Unchanged
97,11968490.5334198,Unchanged
98,162535051.029345,Unchanged
99,81267525.5146727,Unchanged
100,81267525.5146727,Unchanged
101,37416930.5332242,Unchanged
102,37416930.5332242,Unchanged
103,37416930.5332242,Unchanged
104,15700079.7845534,Unchanged
105,5002179.88029589,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0384615384615385,Downregulated
109,0.0384615384615385,Downregulated
110,0.0384615384615385,Downregulated
111,0.0416666666666667,Downregulated
112,0.0416666666666667,Downregulated
113,0.0416666666666667,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.911743957793291,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,7662125.96311625,Unchanged
123,7844090.58542257,Unchanged
124,962872.64752521,Unchanged
125,16970761.1244463,Unchanged
126,8306463.30276597,Unchanged
127,5309282.94530397,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7224164.77065376,Unchanged
131,1386747.78090039,Unchanged
132,3293784.37861448,Unchanged
133,2.05128059410432,Upregulated
134,0,Unchanged
135,7775456.70045745,Unchanged
136,5298381.94040225,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,7850039.89227669,Unchanged
142,4270179.84872689,Unchanged
143,12593017.02535,Unchanged
144,4442989.39707351,Unchanged
145,8882526.85695437,Unchanged
146,4441263.41516262,Unchanged
147,5688087.05884801,Unchanged
148,12593017.02535,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,1.01,Unchanged
154,0.336666666666667,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,12236095.5491422,Unchanged
158,0.563148300715246,Unchanged
159,0,Unchanged
160,2701761.63182519,Unchanged
161,271381.609890906,Unchanged
162,2169278.87689695,Unchanged
163,3457487.99285989,Unchanged
164,0.523074618306763,Unchanged
165,39452253.8457912,Unchanged
166,38830595.2816347,Unchanged
167,19726126.9228956,Unchanged
168,7224164.77065376,Unchanged
169,10519711.4975211,Unchanged
170,14937172.2403197,Unchanged
171,2701761.62809083,Unchanged
172,67930.6910533597,Unchanged
173,75116614.0490736,Unchanged
174,0,Unchanged
175,0,Unchanged
176,41258693.4254365,Unchanged
177,0,Unchanged
178,15738490.7306921,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
