Reaction,FSR,RegulationStatus
1,828694.824057956,Unchanged
2,761701.076201751,Unchanged
3,0,Unchanged
4,2596.02328958151,Upregulated
5,13500974.0748515,Unchanged
6,728998.257546172,Unchanged
7,0,Unchanged
8,11784199.7505513,Unchanged
9,13065202.0113195,Unchanged
10,0,Unchanged
11,5889482.37195255,Unchanged
12,187748.75649277,Unchanged
13,0,Unchanged
14,3381506.95611865,Unchanged
15,0,Unchanged
16,11342798.1333941,Unchanged
17,4875201.54992657,Unchanged
18,797386.06792557,Unchanged
19,397571.401117266,Unchanged
20,23826579.6669896,Unchanged
21,16110797.3732984,Unchanged
22,2897607.87322154,Unchanged
23,9434981.93904355,Unchanged
24,22956868.2605718,Unchanged
25,9359977.17556772,Unchanged
26,5686209.87118156,Unchanged
27,0.421569222621707,Downregulated
28,4037705.39686064,Unchanged
29,0,Unchanged
30,143844.035246786,Unchanged
31,0,Unchanged
32,8790701.32426292,Unchanged
33,5566476.76873931,Unchanged
34,6401895.34226848,Unchanged
35,0,Unchanged
36,2195047.1341905,Unchanged
37,2585129.66889785,Unchanged
38,9146972.41145584,Unchanged
39,7865921.71722276,Unchanged
40,1233.58116135911,Upregulated
41,201222.765130112,Unchanged
42,660424.451107706,Unchanged
43,0,Unchanged
44,344537.684154054,Unchanged
45,6167.06669745596,Upregulated
46,6949990.74404953,Unchanged
47,18086117.2115681,Unchanged
48,8893609.56196354,Unchanged
49,16136380.6807389,Unchanged
50,13566387.8885877,Unchanged
51,34405180.9236751,Unchanged
52,17709189.2521084,Unchanged
53,0,Unchanged
54,0,Unchanged
55,1366619.40005904,Unchanged
56,2084374.82913112,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2703583.37902147,Unchanged
61,2701253.52747038,Unchanged
62,40514240.525354,Unchanged
63,13774372.7497119,Unchanged
64,1351583.36707828,Unchanged
65,1351583.39520052,Unchanged
66,1613400.15756785,Unchanged
67,3026385.56817951,Unchanged
68,0,Unchanged
69,1305158.26655632,Unchanged
70,1305158.26655841,Unchanged
71,365638.893055574,Unchanged
72,0.854051239920947,Unchanged
73,856251.993937275,Unchanged
74,1991873.5069457,Unchanged
75,0,Unchanged
76,687745.959827793,Unchanged
77,0,Unchanged
78,3562648.95990432,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.849590997139914,Unchanged
82,1262632.23838708,Unchanged
83,273396.718391736,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,425920.476791734,Unchanged
89,3765304.09473442,Unchanged
90,0,Unchanged
91,1.17250221824113,Unchanged
92,4.0200984412203,Upregulated
93,63849855.9674707,Unchanged
94,6817627.7431943,Unchanged
95,6817627.70950771,Unchanged
96,0,Unchanged
97,6703268.70331384,Unchanged
98,235741093.209551,Unchanged
99,107013872.989316,Unchanged
100,61664618.5345308,Unchanged
101,44638937.7149024,Unchanged
102,52572798.9737304,Unchanged
103,52572798.9737087,Unchanged
104,22780268.5425346,Unchanged
105,1991658.36664245,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0123852765868349,Downregulated
109,0.0123852765868349,Downregulated
110,0.0123852765868349,Downregulated
111,0.0134638736000281,Downregulated
112,0.0134638736000281,Downregulated
113,0.0134638736000281,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.363005374200272,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,11117478.3459667,Unchanged
123,11377081.1139747,Unchanged
124,1396205.56208274,Unchanged
125,16331892.8743432,Unchanged
126,12052389.255818,Unchanged
127,7703584.98342458,Unchanged
128,0,Unchanged
129,0,Unchanged
130,10482011.7403391,Unchanged
131,0.328123579009811,Downregulated
132,1247573.04873888,Unchanged
133,2.0512810470002,Upregulated
134,0,Unchanged
135,11281917.1131904,Unchanged
136,6322959.61618322,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,11390134.2712673,Unchanged
142,2089961.35975177,Unchanged
143,15678806.5498095,Unchanged
144,4896595.6538996,Unchanged
145,4974893.1733853,Unchanged
146,2701253.63183039,Unchanged
147,3185762.96491097,Unchanged
148,7659291.67622821,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.851199390740839,Unchanged
154,0.278741972059434,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,6897830.4914032,Unchanged
158,0.154533027091736,Downregulated
159,0.386002601743157,Downregulated
160,1513192.76235516,Unchanged
161,152009.918415647,Unchanged
162,1015884.61554231,Unchanged
163,1619159.68948241,Unchanged
164,0.16682804653459,Downregulated
165,57243847.6539765,Unchanged
166,56341844.9159973,Unchanged
167,28621923.8269882,Unchanged
168,10482011.7403391,Unchanged
169,15263735.3870723,Unchanged
170,21664898.0178615,Unchanged
171,3920162.14038432,Unchanged
172,98527.7541370378,Unchanged
173,108949253.752987,Unchanged
174,0,Unchanged
175,0,Unchanged
176,59864926.6361104,Unchanged
177,0,Unchanged
178,22836003.0938459,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,24301.8254679875,Unchanged
188,70343.3133738076,Unchanged
