Reaction,FSR,RegulationStatus
1,1247919.01504668,Unchanged
2,1189725.3151447,Unchanged
3,0,Unchanged
4,6021.73681634147,Upregulated
5,21584600.8086539,Unchanged
6,1690984.78797319,Unchanged
7,0,Unchanged
8,17639105.8924682,Unchanged
9,20766299.2795337,Unchanged
10,0,Unchanged
11,8917111.66837512,Unchanged
12,293800.917433228,Unchanged
13,0,Unchanged
14,5500494.52700607,Unchanged
15,0,Unchanged
16,24353726.1464352,Unchanged
17,7465421.99754571,Unchanged
18,1201054.10001608,Unchanged
19,599109.743541629,Unchanged
20,42956526.7133218,Unchanged
21,26291540.2120729,Unchanged
22,4387192.58499913,Unchanged
23,14211339.6370353,Unchanged
24,34206242.7459819,Unchanged
25,14654016.1063119,Unchanged
26,9031046.27155189,Unchanged
27,0.276736189536077,Downregulated
28,6167595.14912325,Unchanged
29,0,Unchanged
30,222619.834522518,Unchanged
31,0,Unchanged
32,13404732.5953676,Unchanged
33,9084047.54237549,Unchanged
34,9697219.68708926,Unchanged
35,0,Unchanged
36,3274789.45352475,Unchanged
37,3931111.31031969,Unchanged
38,21217283.5028544,Unchanged
39,11961417.4997078,Unchanged
40,2880.79002820442,Upregulated
41,310622.532801454,Unchanged
42,1019438.69695786,Unchanged
43,0,Unchanged
44,546407.565145448,Unchanged
45,9106.54087224996,Upregulated
46,14282145.1644222,Unchanged
47,15666219.1094534,Unchanged
48,13848516.9105466,Unchanged
49,27498815.9493561,Unchanged
50,21712616.915315,Unchanged
51,73497253.6273965,Unchanged
52,36463053.0500725,Unchanged
53,0,Unchanged
54,9435165.24555861,Unchanged
55,3009342.92025909,Unchanged
56,4286950.47446559,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,4031000.10024978,Unchanged
61,5133511.07748094,Unchanged
62,84453308.9959256,Unchanged
63,27584983.7709869,Unchanged
64,1995804.72154431,Unchanged
65,1995804.62986906,Unchanged
66,2562302.11559336,Unchanged
67,4806318.37228466,Unchanged
68,0,Unchanged
69,2046747.78896022,Unchanged
70,2046747.78888583,Unchanged
71,573394.485916776,Unchanged
72,0.588657310489638,Unchanged
73,1292836.41249156,Unchanged
74,2980033.79458733,Unchanged
75,0,Unchanged
76,1028933.98864429,Unchanged
77,0,Unchanged
78,5814021.77084484,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.786398783116665,Unchanged
82,2780359.58191913,Unchanged
83,593572.081735187,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,628651.899376428,Unchanged
89,7540514.66154255,Unchanged
90,0,Unchanged
91,1.10438715672327,Unchanged
92,4.0200996138696,Upregulated
93,120137486.610751,Unchanged
94,15814144.3360234,Unchanged
95,15814144.4923973,Unchanged
96,0,Unchanged
97,10645715.7844934,Unchanged
98,546824180.44273,Unchanged
99,219156151.601809,Unchanged
100,109053918.404754,Unchanged
101,92045037.4904375,Unchanged
102,98442645.1978616,Unchanged
103,98442645.1998448,Unchanged
104,52841027.7698537,Unchanged
105,2981051.84988935,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.00787619291886635,Unchanged
109,0.00787619291886635,Unchanged
110,0.00787619291886635,Unchanged
111,0.00855165833460467,Unchanged
112,0.00855165833460467,Unchanged
113,0.00855165833460467,Unchanged
114,0,Unchanged
115,0.792843239415443,Unchanged
116,0,Unchanged
117,0.296175774323927,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,815369.911504425,Unchanged
122,25788062.163379,Unchanged
123,26390235.7673562,Unchanged
124,3238633.065823,Unchanged
125,2219047.06601532,Unchanged
126,1483955.46584222,Unchanged
127,17869207.4353855,Unchanged
128,0,Unchanged
129,0,Unchanged
130,24314035.2943182,Unchanged
131,0.21570472607319,Downregulated
132,1898452.56742082,Unchanged
133,2.05128161832647,Upregulated
134,0,Unchanged
135,26169494.2068995,Unchanged
136,12802881.8333854,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,20947325.8155461,Unchanged
142,3126782.61133205,Unchanged
143,30053191.0470532,Unchanged
144,10062443.9548706,Unchanged
145,7900816.7912774,Unchanged
146,5133511.35219805,Unchanged
147,5059431.15226924,Unchanged
148,14555856.6111206,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.645540632797818,Unchanged
154,0.24344357911114,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,11005603.1273334,Unchanged
158,0.099715705989388,Downregulated
159,0.264281079793317,Downregulated
160,2403159.14264373,Unchanged
161,241600.005706919,Unchanged
162,1550283.89342979,Unchanged
163,2504352.52525757,Unchanged
164,0.108561844754929,Downregulated
165,132782620.875019,Unchanged
166,130690337.835173,Unchanged
167,66391310.4375095,Unchanged
168,24314035.2943182,Unchanged
169,35405703.1234651,Unchanged
170,50253815.4892574,Unchanged
171,9093193.55299974,Unchanged
172,228537.304306567,Unchanged
173,252718283.343054,Unchanged
174,0,Unchanged
175,0,Unchanged
176,138862468.440856,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,36357.8143499511,Unchanged
188,128128.657492392,Unchanged
189,7211118.63381956,Unchanged
190,7211118.63346174,Unchanged
191,234227668.14344,Unchanged
192,2403159.00655422,Unchanged
193,926542.201871436,Unchanged
194,6028405.27454455,Unchanged
195,3218955.53246944,Unchanged
196,7178561.61473218,Unchanged
197,5524143.29427458,Unchanged
198,0.343430268526637,Downregulated
199,14947754.9239875,Unchanged
200,0,Unchanged
201,14947753.5904004,Unchanged
202,3950408.6583254,Unchanged
203,166197.990904674,Unchanged
204,18186387.5948166,Unchanged
205,3049608.71194021,Unchanged
206,4402344.02283738,Unchanged
207,1.43264092322954,Unchanged
208,132782613.430847,Unchanged
209,3950408.63732756,Unchanged
210,48081894.7669722,Unchanged
211,1.99999998115858,Unchanged
212,0,Unchanged
213,18186386.5419798,Unchanged
214,0,Unchanged
215,0,Unchanged
216,15157216.9443976,Unchanged
217,1.72964244119812,Unchanged
218,52449189.7234192,Unchanged
219,541192.104157771,Unchanged
220,265967.142402694,Unchanged
221,262234.959836885,Unchanged
222,387811.884401059,Unchanged
223,177424.49629787,Unchanged
224,0,Unchanged
225,0,Unchanged
226,28761346.4486482,Unchanged
227,1.80092536014875,Unchanged
228,0,Unchanged
229,19344079.5673131,Unchanged
230,273412090.221365,Unchanged
231,107258521.8098,Unchanged
232,99090992.9371954,Unchanged
233,3418545.69683262,Unchanged
234,44813593.304007,Unchanged
235,52419138.4840955,Unchanged
236,27053735.1038398,Unchanged
237,40101378.9357447,Unchanged
238,44530854.2853211,Unchanged
239,8818708.53078788,Unchanged
240,0.0686068238117428,Downregulated
241,0,Unchanged
242,0.222725975592933,Downregulated
243,0,Unchanged
244,0,Unchanged
245,17437085.4362814,Unchanged
246,1.99999979371592,Unchanged
247,27053735.9508615,Unchanged
248,339135842.312479,Unchanged
249,193608871.472367,Unchanged
250,32866792.737358,Unchanged
251,169567915.84332,Unchanged
252,39157408.561351,Unchanged
253,57160409.6746947,Unchanged
254,57160409.6749906,Unchanged
255,483381468.751252,Unchanged
256,21360.121743029,Unchanged
257,0.080306344190443,Downregulated
258,0.264281079797719,Downregulated
259,0.49664785263003,Downregulated
260,6395539.05517944,Unchanged
261,0,Unchanged
262,0,Unchanged
263,98822585.8564714,Unchanged
264,0.00722112299262541,Unchanged
265,0.014812548148643,Downregulated
266,107939.576769736,Unchanged
267,0,Unchanged
268,77761.8839533532,Unchanged
269,117731.40148526,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,183617.202194852,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.636026860067681,Unchanged
288,0.59738283841927,Unchanged
289,0,Unchanged
290,0.636026860068061,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.176334312262102,Downregulated
296,0.176343266963098,Downregulated
297,0,Unchanged
298,35140.2834667648,Unchanged
299,141559469.301482,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,110231740.51601,Unchanged
305,20580880.954198,Unchanged
306,0,Unchanged
307,906033.614690451,Unchanged
308,78234748.7097985,Unchanged
309,36574887.2719009,Unchanged
310,9276392.18076227,Unchanged
311,71548193.2479344,Unchanged
312,34606102.5556782,Unchanged
313,106760673.513396,Unchanged
314,5835345.14334559,Unchanged
315,23552989.367694,Unchanged
316,91189286.9365641,Unchanged
317,29895507.3840141,Unchanged
318,48628070.5886365,Unchanged
319,18186387.9708298,Unchanged
320,18186387.9708298,Unchanged
321,18186387.9708298,Unchanged
322,42552213044.8817,Unchanged
323,7130795.0150895,Unchanged
324,2789569.61322083,Unchanged
325,12120697.409276,Unchanged
326,0,Unchanged
327,43638915.3891765,Unchanged
328,88570903.6345424,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,15814144.4568578,Unchanged
334,0,Unchanged
335,101862724.127045,Unchanged
336,340396495.884679,Unchanged
337,100507630.978515,Unchanged
338,100507630.978515,Unchanged
339,4.46721890466318,Upregulated
340,101862724.127045,Unchanged
341,719097.627224943,Unchanged
342,15106637.9004214,Unchanged
343,5067589.51644854,Unchanged
344,8241590.65874451,Unchanged
345,103616129.60257,Unchanged
346,0,Unchanged
347,23583361.1524461,Unchanged
348,10583073.4040763,Unchanged
349,18186387.1436008,Unchanged
350,113465501.8379,Unchanged
351,5021695.12561039,Unchanged
352,5404322775.78266,Unchanged
353,0,Unchanged
354,29895507.0283909,Unchanged
355,579051150.249367,Unchanged
356,71764.9011079273,Unchanged
357,0,Unchanged
358,0,Unchanged
359,3586885.72899888,Unchanged
360,5587435.327876,Unchanged
361,7297095.57589873,Unchanged
362,0,Unchanged
363,10134551.9367658,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.19427370911216,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.19626507718973,Unchanged
370,1.36906238035594,Unchanged
371,12029107.075851,Unchanged
372,3738585.60752831,Unchanged
373,2384841.32305214,Unchanged
374,1979199.80115857,Unchanged
375,2.15062229294246,Upregulated
376,14947753.8063145,Unchanged
377,16052211.0831367,Unchanged
378,1026675.97056784,Unchanged
379,14947754.0857327,Unchanged
380,147246.068801424,Unchanged
381,177424.488153436,Unchanged
382,8273139.45897916,Unchanged
383,8273139.2762272,Unchanged
384,107939.570716564,Unchanged
385,0,Unchanged
386,1333733.0426449,Unchanged
387,20331315.8339823,Unchanged
388,29895507.1808008,Unchanged
389,1686120.68747943,Unchanged
390,2031695.0478871,Unchanged
391,29895507.6380307,Unchanged
392,11191290.2535644,Unchanged
393,11191290.1964332,Unchanged
394,29895507.3078091,Unchanged
395,14947753.7936137,Unchanged
396,29895507.2570058,Unchanged
397,24.9902814038017,Upregulated
398,459192.201474586,Unchanged
399,24.990281291489,Upregulated
400,591040.654999434,Unchanged
401,510006.116463163,Unchanged
402,110757.158189488,Unchanged
403,9331127.26736231,Unchanged
404,7231774.10878938,Unchanged
405,79.9970154544931,Upregulated
406,75.7803306941374,Upregulated
407,15811335.0179865,Unchanged
408,30003721.8349458,Unchanged
409,0,Unchanged
410,7948230.60048406,Unchanged
411,5492955.68590828,Unchanged
412,7935088.68783124,Unchanged
413,3387162.04713478,Unchanged
414,1881257.51599721,Unchanged
415,5129370.59804411,Unchanged
416,13137862.8270403,Unchanged
417,4471613.85004297,Unchanged
418,9276391.85880844,Unchanged
419,3441047.15218996,Unchanged
420,109100.014963125,Unchanged
421,3775962.20437231,Unchanged
422,62455.8534040414,Unchanged
423,8314185.42350362,Unchanged
