Reaction,FSR,RegulationStatus
1,609809.285644218,Unchanged
2,609809.732435692,Unchanged
3,0,Unchanged
4,956.952358717883,Upregulated
5,9406183.01773634,Unchanged
6,268725.083266191,Unchanged
7,0,Unchanged
8,9659642.09375016,Unchanged
9,11496871.4465805,Unchanged
10,0,Unchanged
11,5594359.44421528,Unchanged
12,103979.405821515,Unchanged
13,0,Unchanged
14,1579340.77797508,Unchanged
15,0,Unchanged
16,7653653.29528182,Unchanged
17,3213651.88194081,Unchanged
18,737306.81558069,Unchanged
19,407891.878244937,Unchanged
20,15008528.6720879,Unchanged
21,10095234.1319255,Unchanged
22,2752408.40981591,Unchanged
23,8724100.98141297,Unchanged
24,14760922.4500847,Unchanged
25,4863318.88798727,Unchanged
26,5485662.2259772,Unchanged
27,0.562133986767845,Unchanged
28,2560557.29508449,Unchanged
29,0,Unchanged
30,164452.919631808,Unchanged
31,0,Unchanged
32,9875679.94228939,Unchanged
33,3488026.27613144,Unchanged
34,6988320.92130797,Unchanged
35,0,Unchanged
36,2594536.56775977,Unchanged
37,2009906.40283565,Unchanged
38,3371772.73962469,Unchanged
39,6115724.28479711,Unchanged
40,465.319890109796,Upregulated
41,223114.928285399,Unchanged
42,302611.46521038,Unchanged
43,0,Unchanged
44,227106.372557796,Unchanged
45,6605.20823093701,Upregulated
46,3371587.49094269,Unchanged
47,9033652.16101138,Unchanged
48,7960582.59846216,Unchanged
49,11873155.3771475,Unchanged
50,5936577.68857375,Unchanged
51,13342518.5816573,Unchanged
52,7703451.24616277,Unchanged
53,0,Unchanged
54,0,Unchanged
55,593860.52434201,Unchanged
56,930123.909454281,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2375442.12544064,Unchanged
61,2203778.99826227,Unchanged
62,20975446.0891575,Unchanged
63,6881084.3453957,Unchanged
64,1448321.46464689,Unchanged
65,1448321.46671648,Unchanged
66,1443996.8496521,Unchanged
67,2708622.06117746,Unchanged
68,0,Unchanged
69,1166841.36190628,Unchanged
70,1166841.36190761,Unchanged
71,326887.708276551,Unchanged
72,1.94236389150478,Unchanged
73,1072450.29604289,Unchanged
74,2409223.09583674,Unchanged
75,0,Unchanged
76,831846.736521248,Unchanged
77,0,Unchanged
78,2375442.12255387,Unchanged
79,0,Unchanged
80,0,Unchanged
81,1.55516757456577,Unchanged
82,548673.205225627,Unchanged
83,100779.405989496,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,482948.602091853,Unchanged
89,1880984.15735171,Unchanged
90,0,Unchanged
91,1.38791545681552,Unchanged
92,4.02009491062707,Upregulated
93,24479867.282364,Unchanged
94,2513125.66964083,Unchanged
95,2513125.6641659,Unchanged
96,0,Unchanged
97,5999440.94598741,Unchanged
98,86899287.9888092,Unchanged
99,43449643.9944046,Unchanged
100,43449643.9944046,Unchanged
101,19493095.934137,Unchanged
102,20012718.0554751,Unchanged
103,20012718.0554751,Unchanged
104,8397302.01732444,Unchanged
105,2297307.24575575,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0380187588334288,Downregulated
109,0.0380187588334288,Downregulated
110,0.0380187588334288,Downregulated
111,0.0411854414786346,Downregulated
112,0.0411854414786346,Downregulated
113,0.0411854414786346,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.79068774749052,Unchanged
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,4098144.04076909,Unchanged
123,4193839.22702136,Unchanged
124,514671.688387474,Unchanged
125,9076935.41215768,Unchanged
126,4442772.48254763,Unchanged
127,2839708.70019898,Unchanged
128,0,Unchanged
129,0,Unchanged
130,3863897.16332574,Unchanged
131,741712.160275642,Unchanged
132,1542553.71210293,Unchanged
133,2.05127932686036,Upregulated
134,0,Unchanged
135,4158759.72035638,Unchanged
136,2768341.73080924,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,4198651.00866222,Unchanged
