Reaction,FSR,RegulationStatus
1,268931.398699008,Unchanged
2,246660.629853338,Unchanged
3,0,Unchanged
4,922.488905394681,Upregulated
5,3862771.87497139,Unchanged
6,258940.9651067,Unchanged
7,0,Unchanged
8,3826975.7052358,Unchanged
9,4271282.4784118,Unchanged
10,0,Unchanged
11,1880960.53718666,Unchanged
12,65761.1057067892,Unchanged
13,0,Unchanged
14,1224626.64601884,Unchanged
15,0,Unchanged
16,4038952.24239465,Unchanged
17,1626275.60698113,Unchanged
18,256596.70285028,Unchanged
19,127674.216253509,Unchanged
20,7959267.15007036,Unchanged
21,5234504.05979378,Unchanged
22,925211.193389487,Unchanged
23,3035443.75094431,Unchanged
24,7955018.29094633,Unchanged
25,3163257.50622181,Unchanged
26,1838331.44993812,Unchanged
27,0.38299186341349,Downregulated
28,1347234.9801019,Unchanged
29,0,Unchanged
30,45582.3122162921,Unchanged
31,0,Unchanged
32,2890095.00801049,Unchanged
33,1808584.88377364,Unchanged
34,2090724.48782035,Unchanged
35,0,Unchanged
36,715009.851465397,Unchanged
37,830282.537135654,Unchanged
38,3250344.07456301,Unchanged
39,2527332.27925529,Unchanged
40,435.554120892517,Upregulated
41,64188.1403789187,Unchanged
42,218960.727801429,Unchanged
43,0,Unchanged
44,116157.87161205,Unchanged
45,1934.22360146509,Upregulated
46,2292236.08870568,Unchanged
47,6228419.60105385,Unchanged
48,2811237.97033472,Unchanged
49,5301453.28627645,Unchanged
50,4260907.88008287,Unchanged
51,12135463.9918128,Unchanged
52,6032097.39507634,Unchanged
53,0,Unchanged
54,3722884.45323391,Unchanged
55,476121.341360212,Unchanged
56,729431.05346159,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,878989.87781524,Unchanged
61,911956.819757067,Unchanged
62,13909797.2173469,Unchanged
63,4777895.50801192,Unchanged
64,424014.803090193,Unchanged
65,424014.805820274,Unchanged
66,503067.253618797,Unchanged
67,943423.952564757,Unchanged
68,0,Unchanged
69,428316.598181678,Unchanged
70,428316.598181473,Unchanged
71,120020.496408234,Unchanged
