Reaction,FSR,RegulationStatus
1,694313.045084395,Unchanged
2,624062.396744389,Unchanged
3,0,Unchanged
4,1904.60778121078,Upregulated
5,10702893.2764121,Unchanged
6,534788.488093175,Unchanged
7,0,Unchanged
8,9333750.94295909,Unchanged
9,10247309.0102935,Unchanged
10,0,Unchanged
11,4698725.934829,Unchanged
12,147355.103685859,Unchanged
13,0,Unchanged
14,2694928.70729044,Unchanged
15,0,Unchanged
16,8595555.30286466,Unchanged
17,3974807.63593379,Unchanged
18,639321.175539191,Unchanged
19,318422.558989275,Unchanged
20,18250553.9375013,Unchanged
21,12328497.8374738,Unchanged
22,2311759.33665358,Unchanged
23,7564696.82640989,Unchanged
24,17993692.5010675,Unchanged
25,7351259.50672078,Unchanged
26,4583622.89141678,Unchanged
27,0.442680164048098,Downregulated
28,3297641.07875357,Unchanged
29,0,Unchanged
30,114888.616673281,Unchanged
31,0,Unchanged
32,7132430.82066355,Unchanged
33,4259646.05952297,Unchanged
34,5443259.29194812,Unchanged
35,0,Unchanged
36,1770742.67114764,Unchanged
37,2076994.43705445,Unchanged
38,6710960.58542007,Unchanged
39,6316700.18516405,Unchanged
40,3372147.66809555,Unchanged
41,160799.798072544,Unchanged
42,518970.330852219,Unchanged
43,0,Unchanged
44,266962.751664046,Unchanged
45,5059.38122443953,Upregulated
46,5281528.03967202,Unchanged
47,9714196.97925092,Unchanged
48,7006992.52389887,Unchanged
49,12490196.7348991,Unchanged
50,10654310.2073901,Unchanged
51,25680511.8170601,Unchanged
52,13388591.6963104,Unchanged
53,0,Unchanged
54,3163333.42451436,Unchanged
55,1008944.14670189,Unchanged
56,1544885.29704738,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2262777.89940572,Unchanged
61,2088143.95771731,Unchanged
62,30320025.2728114,Unchanged
63,10274598.937778,Unchanged
64,1108821.40740036,Unchanged
65,1108821.39610397,Unchanged
66,1265239.42729479,Unchanged
67,2373312.26650831,Unchanged
68,0,Unchanged
69,1037913.40327232,Unchanged
70,1037913.40326113,Unchanged
71,290770.489176847,Unchanged
72,0.922930953388843,Unchanged
73,732065.961993336,Unchanged
74,1688653.59018069,Unchanged
75,0,Unchanged
76,583051.433401089,Unchanged
77,0,Unchanged
78,2737485.76971691,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877518412224326,Unchanged
82,932172.776956752,Unchanged
83,200585.864372189,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,348375.872986815,Unchanged
89,2808620.86482038,Unchanged
90,0,Unchanged
91,1.185456820797,Unchanged
92,4.02009769299222,Upregulated
93,47331036.4303375,Unchanged
94,5001964.45780768,Unchanged
95,5001964.4101639,Unchanged
96,0,Unchanged
97,5256749.14819174,Unchanged
98,172958779.122105,Unchanged
99,81802174.4358876,Unchanged
100,47173929.2196066,Unchanged
101,32878365.4149627,Unchanged
102,38725275.9545168,Unchanged
103,38725275.9547028,Unchanged
104,16713452.3998483,Unchanged
105,1621927.85743928,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138574404738506,Downregulated
109,0.0138574404738506,Downregulated
110,0.0138574404738506,Downregulated
111,0.0150750832856804,Downregulated
112,0.0150750832856804,Downregulated
113,0.0150750832856804,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384285073249649,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,1023742.22222222,Unchanged
122,8156683.67852481,Unchanged
123,8347149.28887989,Unchanged
124,1024369.58092953,Unchanged
125,1378943.94388337,Unchanged
126,963346.89605487,Unchanged
127,5651974.48133548,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7690453.71781418,Unchanged
131,535680.683278756,Unchanged
132,1045514.28193655,Unchanged
133,2.05128068245615,Upregulated
134,0,Unchanged
135,8277329.02180731,Unchanged
136,4657079.61286613,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,8356726.19992417,Unchanged
142,1743428.42839834,Unchanged
143,11981201.6947572,Unchanged
144,3722646.23231393,Unchanged
145,3901345.26241924,Unchanged
146,2088143.98623479,Unchanged
147,2498297.17462986,Unchanged
148,5920844.95336698,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876906072841931,Unchanged
154,0.279906090822248,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5383526.1286813,Unchanged
158,0.171526286777258,Downregulated
159,0.412585103623937,Downregulated
160,1186656.13226553,Unchanged
161,119299.861066974,Unchanged
162,822089.995623747,Unchanged
163,1310281.63985473,Unchanged
164,0.181651832018893,Downregulated
165,41978197.093865,Unchanged
166,41336944.6041819,Unchanged
167,20989098.5469325,Unchanged
168,7690453.71781418,Unchanged
169,11198713.5658501,Unchanged
170,15895125.4880651,Unchanged
171,2876148.72992963,Unchanged
172,72287.3608073344,Unchanged
173,79934005.7963912,Unchanged
174,0,Unchanged
175,0,Unchanged
176,43921764.9349552,Unchanged
177,0,Unchanged
178,16754342.962283,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,20598.1567987784,Unchanged
188,55573.5104751749,Unchanged
189,3849781.35136771,Unchanged
190,3849781.35038248,Unchanged
191,101612824.583769,Unchanged
192,1186656.15086698,Unchanged
193,459429.612520412,Unchanged
194,2975518.69691817,Unchanged
195,1589089.50620094,Unchanged
196,2920003.36438539,Unchanged
197,2727767.2464258,Unchanged
198,0.441661542882131,Downregulated
199,4727927.82759152,Unchanged
200,0,Unchanged
201,4727927.97307959,Unchanged
202,1950672.66054702,Unchanged
203,85999.5480149918,Unchanged
204,5752297.98650786,Unchanged
205,1467434.64732657,Unchanged
206,2173834.01906156,Unchanged
207,1.48924285047211,Unchanged
208,41998726.9808165,Unchanged
209,1950672.6285907,Unchanged
210,15208153.2755188,Unchanged
211,1.99999994043123,Unchanged
212,0,Unchanged
213,5752297.49371524,Unchanged
214,0,Unchanged
215,0,Unchanged
216,4794180.45310009,Unchanged
217,1.72963474551794,Unchanged
218,16589515.6051162,Unchanged
219,280158.627755809,Unchanged
220,137683.072343054,Unchanged
221,135741.913616548,Unchanged
222,200758.373032113,Unchanged
223,91847.2417690825,Unchanged
224,0,Unchanged
225,34544.3584398213,Unchanged
226,9505747.78051841,Unchanged
227,1.93174850741218,Unchanged
228,0,Unchanged
229,11221109.3357331,Unchanged
230,86479389.5610527,Unchanged
231,43328161.665155,Unchanged
232,40020559.7248977,Unchanged
233,1405255.31561665,Unchanged
234,22128508.6128545,Unchanged
235,25646251.5010399,Unchanged
236,15330157.9033679,Unchanged
237,20228521.7096229,Unchanged
238,22462903.6056339,Unchanged
239,2788160.27319982,Unchanged
240,0.116220307321263,Downregulated
241,0,Unchanged
242,0.383134646654355,Downregulated
243,0,Unchanged
244,0,Unchanged
245,5613498.95976525,Unchanged
246,1.99999934781517,Unchanged
247,15330157.4528486,Unchanged
248,107267608.136857,Unchanged
249,61237878.8282768,Unchanged
250,15873617.6737259,Unchanged
251,45794663.5294954,Unchanged
252,13808782.003689,Unchanged
253,22960456.76687,Unchanged
254,22960456.7668553,Unchanged
255,152892068.274126,Unchanged
256,11992.5114213934,Upregulated
257,0.138574404740489,Downregulated
258,0.412585103737432,Downregulated
259,0.835967441773226,Unchanged
260,3624069.42381602,Unchanged
261,0,Unchanged
262,0,Unchanged
263,31257276.3981218,Unchanged
264,0.0117821076905794,Downregulated
265,0.0241683649748865,Downregulated
266,55704.9548179707,Unchanged
267,0,Unchanged
268,43358.1812203749,Unchanged
269,65516.9784355115,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,102945.609985767,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.721927234468346,Unchanged
288,0.667305012724727,Unchanged
289,0,Unchanged
290,0.721927234196373,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.312551769581277,Downregulated
296,0.312601872384906,Downregulated
297,0,Unchanged
298,19583.9786104204,Upregulated
299,81282551.7274002,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,43448668.9769136,Unchanged
305,12847623.4954264,Unchanged
306,0,Unchanged
307,445618.972426813,Unchanged
308,24745407.6478041,Unchanged
309,11568522.7577021,Unchanged
310,5256521.93626489,Unchanged
311,22630471.8571691,Unchanged
312,13976605.7004501,Unchanged
313,33768069.3789287,Unchanged
314,3306632.40827874,Unchanged
315,11848615.4560865,Unchanged
316,28842886.2228829,Unchanged
317,9455855.90295748,Unchanged
318,15380907.4356284,Unchanged
319,5752297.4843108,Unchanged
320,5752297.4843108,Unchanged
321,5752297.4843108,Unchanged
322,13730015159.9992,Unchanged
323,2255448.15783189,Unchanged
324,882310.109005888,Unchanged
325,3833738.75184016,Unchanged
326,0,Unchanged
327,13802852.6243763,Unchanged
328,28014701.1247645,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,5001964.51682907,Unchanged
334,0,Unchanged
335,32218859.3014582,Unchanged
336,107666352.237665,Unchanged
337,31790250.9761303,Unchanged
338,31790250.9761303,Unchanged
339,4.46735592808476,Upregulated
340,32218859.3014582,Unchanged
341,356567.398120801,Unchanged
342,8560264.75660052,Unchanged
343,2871579.27309564,Unchanged
344,4495502.50515707,Unchanged
345,32773459.1613,Unchanged
346,0,Unchanged
347,7730040.88950359,Unchanged
348,3861050.80502526,Unchanged
349,5752297.51816678,Unchanged
350,35888783.3312288,Unchanged
351,1900658.33519252,Unchanged
352,2086646038.38526,Unchanged
353,0,Unchanged
354,9455855.95378301,Unchanged
355,187542641.632124,Unchanged
356,37036.0989085436,Unchanged
357,0,Unchanged
358,0,Unchanged
359,1306471.46814387,Unchanged
360,2232726.67796886,Unchanged
361,2720921.25702676,Unchanged
362,0,Unchanged
363,3478993.61499359,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.46659887661475,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.33375286374986,Unchanged
370,2.13733279245287,Upregulated
371,4763134.61757124,Unchanged
372,2118491.42141219,Unchanged
373,1351384.29586462,Unchanged
374,1121525.11060433,Unchanged
375,0.125772919054167,Downregulated
376,4725616.85607058,Unchanged
377,8927780.6402561,Unchanged
378,531478.829521582,Unchanged
379,4727927.90573577,Unchanged
380,76224.7954991424,Unchanged
381,91847.2445089696,Unchanged
382,4053366.63044516,Unchanged
383,3980645.94210568,Unchanged
384,55704.9555643133,Unchanged
385,0,Unchanged
386,678969.634077053,Unchanged
387,7587790.13201357,Unchanged
388,9455855.9334528,Unchanged
389,995650.496847948,Unchanged
390,1199711.40222359,Unchanged
391,9455855.66407752,Unchanged
392,4467948.75278397,Unchanged
393,4467948.7875901,Unchanged
394,9455855.91058131,Unchanged
395,4727927.92860725,Unchanged
396,9455855.87500344,Unchanged
397,1.46148433481012,Unchanged
398,235380.686997132,Unchanged
399,1.46148435173871,Unchanged
400,293069.848808784,Unchanged
401,252888.533307398,Unchanged
402,57335.5974884578,Unchanged
403,2951406.71257901,Unchanged
404,4097927.14530723,Unchanged
405,4.6783939873302,Upregulated
406,4.43179388512063,Upregulated
407,7807480.77873153,Unchanged
408,14815540.5064696,Unchanged
409,0,Unchanged
410,3941161.58500298,Unchanged
411,2723703.78309623,Unchanged
412,3952255.00467021,Unchanged
413,1802986.62990406,Unchanged
414,1005690.55959841,Unchanged
415,2742080.58390648,Unchanged
416,4155465.00536162,Unchanged
417,2533866.21368805,Unchanged
418,5256521.9799675,Unchanged
419,1949071.87380106,Unchanged
420,56303.8344365591,Unchanged
421,1900592.93773635,Unchanged
422,32231.9286584467,Unchanged
423,4105462.65261851,Unchanged
424,0.00312523912557748,Unchanged
425,0.773096933193806,Unchanged
