Reaction,FSR,RegulationStatus
1,652218.770728222,Unchanged
2,586227.241313908,Unchanged
3,0,Unchanged
4,1790.31042684412,Upregulated
5,10054007.2592339,Unchanged
6,502066.740873978,Unchanged
7,0,Unchanged
8,8767496.32502049,Unchanged
9,9625626.41812645,Unchanged
10,0,Unchanged
11,4413856.24976052,Unchanged
12,138509.559363152,Unchanged
13,0,Unchanged
14,2531542.01623439,Unchanged
15,0,Unchanged
16,8074408.91534604,Unchanged
17,3733827.31156183,Unchanged
18,600561.001237545,Unchanged
19,299117.550006615,Unchanged
20,17151639.5203897,Unchanged
21,11581028.1634809,Unchanged
22,2171604.37657681,Unchanged
23,7108832.87203365,Unchanged
24,16938208.0775738,Unchanged
25,6905574.84862796,Unchanged
26,4305730.90219725,Unchanged
27,0.442661589570493,Downregulated
28,3097715.30948082,Unchanged
29,0,Unchanged
30,107923.287517617,Unchanged
31,0,Unchanged
32,6702617.6922381,Unchanged
33,4001386.22051221,Unchanged
34,5115239.73307931,Unchanged
35,0,Unchanged
36,1663387.94481217,Unchanged
37,1950139.53126094,Unchanged
38,6304060.47500005,Unchanged
39,5936641.56758645,Unchanged
40,3167700.77724285,Unchanged
41,151051.036918353,Unchanged
42,487506.430112185,Unchanged
43,0,Unchanged
44,250777.17764756,Unchanged
45,4754.21815651579,Upregulated
46,4963394.86677938,Unchanged
47,13225718.1541466,Unchanged
48,6582171.69561169,Unchanged
49,11732932.1464834,Unchanged
50,10008359.4831386,Unchanged
51,24220461.0944902,Unchanged
52,12627399.7346913,Unchanged
53,0,Unchanged
54,0,Unchanged
55,947770.189025384,Unchanged
56,1451243.4339846,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,2125593.14808728,Unchanged
61,1961542.42869052,Unchanged
62,28492760.7152724,Unchanged
63,9651643.71443685,Unchanged
64,1041597.25003392,Unchanged
65,1041597.24319089,Unchanged
66,1188530.23969397,Unchanged
67,2230289.04714055,Unchanged
68,0,Unchanged
69,975365.604582183,Unchanged
70,975365.604571692,Unchanged
71,273315.571674142,Unchanged
72,0.923089216397004,Unchanged
73,687683.165259877,Unchanged
74,1586276.11577597,Unchanged
75,0,Unchanged
76,547702.952009213,Unchanged
77,0,Unchanged
78,2572514.1222526,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877520644365334,Unchanged
82,875653.603025764,Unchanged
83,188437.095917628,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,327254.99433557,Unchanged
89,2638332.45336767,Unchanged
90,0,Unchanged
91,1.18545741423165,Unchanged
92,4.02009751164989,Upregulated
93,44989101.9998863,Unchanged
94,4698684.45992504,Unchanged
95,4698684.49898593,Unchanged
96,0,Unchanged
97,4938041.72380036,Unchanged
98,162535051.029345,Unchanged
99,76872393.6046533,Unchanged
100,44331045.5650195,Unchanged
101,30884894.156944,Unchanged
102,36377296.3117683,Unchanged
103,36377296.3106092,Unchanged
104,15700079.7845534,Unchanged
105,1523595.74379815,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138575215605567,Downregulated
109,0.0138575215605567,Downregulated
110,0.0138575215605567,Downregulated
111,0.0150751714946162,Downregulated
112,0.0150751714946162,Downregulated
113,0.0150751714946162,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384286562874752,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,7662125.96311625,Unchanged
123,7844090.58542257,Unchanged
124,962872.64752521,Unchanged
125,11889994.2892663,Unchanged
126,8306463.30276597,Unchanged
127,5309282.94530397,Unchanged
128,0,Unchanged
129,0,Unchanged
130,7224164.77065376,Unchanged
131,503204.016974824,Unchanged
132,982127.958753937,Unchanged
133,2.05128059410432,Upregulated
134,0,Unchanged
135,7775456.70045745,Unchanged
136,4374909.90040149,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,7850039.89227669,Unchanged
142,1638417.0221043,Unchanged
143,11254799.3017859,Unchanged
144,3498304.39767119,Unchanged
145,3664813.71290805,Unchanged
146,1961542.43740827,Unchanged
147,2346829.88176504,Unchanged
148,5561871.70206936,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876907682161265,Unchanged
154,0.279906236305222,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,5057135.48132043,Unchanged
158,0.171527289026502,Downregulated
159,0.412586842929179,Downregulated
160,1114711.30195918,Unchanged
161,111968.481666109,Unchanged
162,772249.404293118,Unchanged
163,1230843.60947354,Unchanged
164,0.181652657284108,Downregulated
165,39452253.8457912,Unchanged
166,38830595.2816347,Unchanged
167,19726126.9228956,Unchanged
168,7224164.77065376,Unchanged
169,10519711.4975211,Unchanged
170,14937172.2403197,Unchanged
171,2701761.62809083,Unchanged
172,67930.6910533597,Unchanged
173,75116614.0490736,Unchanged
174,0,Unchanged
175,0,Unchanged
176,41258693.4254365,Unchanged
177,0,Unchanged
178,15738490.7306921,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,19350.3047743479,Upregulated
188,52220.7636006716,Unchanged
189,3616380.93125306,Unchanged
190,3616380.93092468,Unchanged
191,95452021.9018364,Unchanged
192,1114711.270355,Unchanged
193,0,Unchanged
194,2796290.93243575,Unchanged
195,1493120.5527772,Unchanged
196,2743018.17974155,Unchanged
197,2562435.15766555,Unchanged
198,0.441663160692405,Downregulated
199,4441263.43296209,Unchanged
200,0,Unchanged
201,4441263.47332624,Unchanged
