Reaction,FSR,RegulationStatus
1,261939.92703877,Unchanged
2,235436.33878623,Unchanged
3,0,Unchanged
4,718.544784408606,Upregulated
5,4037817.52936865,Unchanged
6,201776.927939456,Unchanged
7,0,Unchanged
8,3529957.99128999,Unchanged
9,3875452.3058131,Unchanged
10,0,Unchanged
11,1772661.88224558,Unchanged
12,55591.8241732745,Unchanged
13,0,Unchanged
14,1016698.74547003,Unchanged
15,6.06642263762736e-10,Unchanged
16,3242762.4118738,Unchanged
17,1499553.70096834,Unchanged
18,241193.013815933,Unchanged
19,120129.444960754,Unchanged
20,6905536.55182795,Unchanged
21,4651059.54725808,Unchanged
22,872144.435908408,Unchanged
23,2853889.54023482,Unchanged
24,6826417.3274491,Unchanged
25,2773368.53544983,Unchanged
26,1729236.66369305,Unchanged
27,0.442581123803152,Downregulated
28,1244082.89021631,Unchanged
29,0,Unchanged
30,43343.4104783541,Unchanged
31,0,Unchanged
32,2690813.02951675,Unchanged
33,1606997.70546808,Unchanged
34,2053550.11373937,Unchanged
35,0,Unchanged
36,668038.231941161,Unchanged
37,783576.847435989,Unchanged
38,2531755.81159574,Unchanged
39,2384234.04321402,Unchanged
40,1272185.74660559,Unchanged
41,60664.0999288716,Unchanged
42,195788.595301018,Unchanged
43,0,Unchanged
44,100714.917312832,Unchanged
45,1908.2252519946,Upregulated
46,1993351.70762577,Unchanged
47,5314422.75567265,Unchanged
48,2643476.6205341,Unchanged
49,4712074.87429019,Unchanged
50,4019474.32927081,Unchanged
51,9650383.23781959,Unchanged
52,5031261.19066546,Unchanged
53,0,Unchanged
54,1193391.53568581,Unchanged
55,380631.834585479,Unchanged
56,582819.916789824,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,853666.409815232,Unchanged
61,787777.029713326,Unchanged
62,11438489.6356178,Unchanged
63,3876186.07763001,Unchanged
64,418319.319623083,Unchanged
65,418319.317595539,Unchanged
66,477327.524195703,Unchanged
67,895361.965893863,Unchanged
68,0,Unchanged
69,391566.063938862,Unchanged
70,391566.063960088,Unchanged
71,109696.87214806,Unchanged
72,0.923486115470787,Unchanged
73,276182.633037075,Unchanged
74,637069.581173266,Unchanged
75,0,Unchanged
76,219964.786783628,Unchanged
77,0,Unchanged
78,1032747.98010095,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877525654796448,Unchanged
82,351669.252550747,Unchanged
83,75672.4415636096,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,131429.962404866,Unchanged
89,1059577.80084923,Unchanged
90,0,Unchanged
91,1.18545779578988,Unchanged
92,4.02009305528632,Upregulated
93,18279648.2247499,Unchanged
94,1887025.31588059,Unchanged
95,1887025.33753865,Unchanged
96,0,Unchanged
97,1983174.8757231,Unchanged
98,65249883.4503162,Unchanged
99,30860723.7685613,Unchanged
100,17796909.2229859,Unchanged
101,12403610.8285693,Unchanged
102,14609401.4894212,Unchanged
103,14609401.4893839,Unchanged
104,6305264.33683707,Unchanged
105,611896.307601983,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138577336520412,Downregulated
109,0.0138577336520412,Downregulated
110,0.0138577336520412,Downregulated
111,0.015075402222972,Downregulated
112,0.0150754022246548,Downregulated
113,0.015075402222972,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384290464275136,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,674171.707317073,Unchanged
122,3077164.70635827,Unchanged
123,3149019.18530445,Unchanged
124,386320.293565597,Unchanged
125,839875.953458616,Unchanged
126,586739.724053135,Unchanged
127,2132246.04620423,Unchanged
128,0,Unchanged
129,0,Unchanged
130,2901276.28093289,Unchanged
131,0.362871607067272,Downregulated
132,394435.360123514,Unchanged
133,2.05127842292,Upregulated
134,0,Unchanged
135,3122679.08637627,Unchanged
136,1760616.71933182,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,3152632.16841853,Unchanged
142,658009.849641229,Unchanged
143,4520053.71819927,Unchanged
144,1404410.12945223,Unchanged
145,1471831.69571412,Unchanged
146,787777.034570009,Unchanged
147,942514.070194572,Unchanged
148,2233708.88776073,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876911897729137,Unchanged
154,0.279906615063315,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,2031007.27271332,Unchanged
158,0.171529909962808,Downregulated
