Reaction,FSR,RegulationStatus
1,946341.338760934,Unchanged
2,850591.419371668,Unchanged
3,0,Unchanged
4,2596.02328958151,Upregulated
5,14587946.5818491,Unchanged
6,728998.257546172,Unchanged
7,0,Unchanged
8,12703310.3074644,Unchanged
9,13946669.3994908,Unchanged
10,0,Unchanged
11,6404321.23621778,Unchanged
12,200843.676949906,Unchanged
13,0,Unchanged
14,3673163.24997557,Unchanged
15,2.19173584869914e-09,Unchanged
16,11715659.8439808,Unchanged
17,5417626.94136631,Unchanged
18,871388.987183828,Unchanged
19,434007.075802158,Unchanged
20,24851217.107058,Unchanged
21,16803625.5678988,Unchanged
22,3150907.07371943,Unchanged
23,10310613.248297,Unchanged
24,24470482.5772649,Unchanged
25,10019700.2024795,Unchanged
26,6247436.35294054,Unchanged
27,0.44258863344621,Downregulated
28,4494654.98431734,Unchanged
29,0,Unchanged
30,156592.147619243,Unchanged
31,0,Unchanged
32,9721439.2115228,Unchanged
33,5805857.35077571,Unchanged
34,7419113.71795793,Unchanged
35,0,Unchanged
36,2413506.21690487,Unchanged
37,2830924.69804017,Unchanged
38,9146972.41145584,Unchanged
39,8613816.2932578,Unchanged
40,4596206.13124607,Unchanged
41,219168.679383958,Unchanged
42,707351.829202993,Unchanged
43,0,Unchanged
44,363867.753417704,Unchanged
45,6895.89113464135,Upregulated
46,7201692.94078597,Unchanged
47,18741127.4986655,Unchanged
48,9550466.19440747,Unchanged
49,17024021.5705111,Unchanged
50,14521726.4859922,Unchanged
51,34651322.0824708,Unchanged
52,18065544.9852013,Unchanged
53,0,Unchanged
54,0,Unchanged
55,1375180.90709005,Unchanged
56,2105663.47922631,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3084145.93370016,Unchanged
61,2846120.63673877,Unchanged
62,41325898.0217386,Unchanged
63,14004179.2235933,Unchanged
64,1511313.59786698,Unchanged
65,1511313.62931271,Unchanged
66,1724509.65078979,Unchanged
67,3234802.65872896,Unchanged
68,0,Unchanged
69,1414666.38512762,Unchanged
70,1414666.38511214,Unchanged
71,396317.49218107,Unchanged
72,0.923767377687408,Unchanged
73,997799.352976648,Unchanged
74,2301619.68146757,Unchanged
75,0,Unchanged
76,794693.855543412,Unchanged
77,0,Unchanged
78,3731167.40812333,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877518846046796,Unchanged
82,1270542.29351001,Unchanged
83,273396.718391736,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,474833.179966726,Unchanged
89,3828123.01744145,Unchanged
90,0,Unchanged
91,1.18545712212322,Unchanged
92,4.0200984412203,Upregulated
93,63849855.9674707,Unchanged
94,6817627.7431943,Unchanged
95,6817627.70950771,Unchanged
96,0,Unchanged
97,7164900.47579065,Unchanged
98,235741093.209551,Unchanged
99,111495584.09384,Unchanged
100,64297622.802123,Unchanged
101,44812887.6553252,Unchanged
102,52782168.992213,Unchanged
103,52782168.9922182,Unchanged
104,22780268.5425346,Unchanged
105,2210673.10184398,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138574502948759,Downregulated
109,0.0138574502948759,Downregulated
110,0.0138574502948759,Downregulated
111,0.015075093967135,Downregulated
112,0.015075093967135,Downregulated
113,0.015075093967135,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384285256270614,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,11117478.3459667,Unchanged
123,11377081.1139747,Unchanged
124,1396205.56208274,Unchanged
125,17251912.7538143,Unchanged
126,12052389.255818,Unchanged
127,7703584.98342458,Unchanged
128,0,Unchanged
129,0,Unchanged
130,10482011.7403391,Unchanged
131,0.362864498484568,Downregulated
132,1425026.52425914,Unchanged
133,2.0512810470002,Upregulated
134,0,Unchanged
135,11281917.1131904,Unchanged
136,6347553.56307319,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,11390134.2712673,Unchanged
142,2377274.09978839,Unchanged
143,16330266.3232372,Unchanged
144,5073931.70052266,Unchanged
145,5317497.48411305,Unchanged
146,2846120.74946209,Unchanged
147,3405155.84164135,Unchanged
148,8070056.32829968,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876906268843422,Unchanged
154,0.279906108410591,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,7337696.83197125,Unchanged
158,0.171526408376426,Downregulated
159,0.412585314806492,Downregulated
160,1617401.30416123,Unchanged
161,162478.334984413,Unchanged
162,1120501.27057897,Unchanged
163,1785902.12065119,Unchanged
164,0.181651931679682,Downregulated
165,57243847.6539765,Unchanged
166,56341844.9159973,Unchanged
167,28621923.8269882,Unchanged
168,10482011.7403391,Unchanged
169,15263735.3870723,Unchanged
170,21664898.0178615,Unchanged
171,3920162.14038432,Unchanged
172,98527.7541370378,Unchanged
173,108949253.752987,Unchanged
174,0,Unchanged
175,0,Unchanged
176,59864926.6361104,Unchanged
177,0,Unchanged
178,22836003.0938459,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,28080.8794312353,Unchanged
188,75761.7471655629,Unchanged
189,5247217.06744952,Unchanged
190,5247217.06742419,Unchanged
191,138497300.194015,Unchanged
192,1617401.2962619,Unchanged
193,0,Unchanged
194,4057305.92238602,Unchanged
195,2166458.00439342,Unchanged
196,3979937.36557271,Unchanged
197,3717921.57224265,Unchanged
198,0.441661740041623,Downregulated
199,6444118.69727792,Unchanged
200,0,Unchanged
201,6444118.71527686,Unchanged
202,2658748.72944401,Unchanged
203,117265.786576051,Unchanged
204,7840324.28775706,Unchanged
205,2000099.86968936,Unchanged
206,2962915.63695351,Unchanged
207,1.48924297717999,Unchanged
208,57243846.7692044,Unchanged
209,2658748.72021891,Unchanged
210,20728561.6272172,Unchanged
211,1.99999995629552,Unchanged
212,0,Unchanged
213,7840324.14514986,Unchanged
214,0,Unchanged
215,0,Unchanged
216,6534420.32079524,Unchanged
217,1.72970500483391,Unchanged
218,22611345.0627871,Unchanged
219,381853.682717166,Unchanged
220,187660.792053723,Unchanged
221,185015.010150468,Unchanged
222,273631.852541448,Unchanged
223,125186.968479564,Unchanged
224,0,Unchanged
225,0,Unchanged
226,12956240.867867,Unchanged
227,1.93224243111859,Unchanged
228,0,Unchanged
229,15294270.3146665,Unchanged
230,117870546.604776,Unchanged
231,59055876.4798943,Unchanged
232,54547647.3120373,Unchanged
233,1911585.75140485,Unchanged
234,30160952.4578154,Unchanged
235,34955605.181179,Unchanged
236,20894866.7500434,Unchanged
237,27571292.5572943,Unchanged
238,30616734.2452624,Unchanged
239,3801828.94750388,Unchanged
240,0.116250073764266,Downregulated
241,0,Unchanged
242,0.383232850986572,Downregulated
243,0,Unchanged
244,0,Unchanged
245,7636107.2842205,Unchanged
246,1.99999952150431,Unchanged
247,20894866.8283362,Unchanged
248,146204682.398915,Unchanged
249,83466622.0888153,Unchanged
250,21635595.9175526,Unchanged
251,73102340.9254782,Unchanged
252,18821233.3842357,Unchanged
253,31294879.2394542,Unchanged
254,31294879.2384918,Unchanged
255,208390363.872469,Unchanged
256,16345.7524001147,Upregulated
257,0.138574502949964,Downregulated
258,0.412585314819539,Downregulated
259,0.835967897357202,Unchanged
260,4939574.18600822,Unchanged
261,0,Unchanged
262,0,Unchanged
263,42603356.4537066,Unchanged
264,0.011782115819464,Downregulated
265,0.0241683979101133,Downregulated
266,75925.3528457016,Unchanged
267,0,Unchanged
268,59096.8118952425,Unchanged
269,89299.0545418089,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,140313.940044072,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.721927345337649,Unchanged
288,0.667305102474445,Unchanged
289,0,Unchanged
290,0.721927345336106,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.312805066046709,Downregulated
296,0.312841902893376,Downregulated
297,0,Unchanged
298,26692.7874802111,Unchanged
299,110614774.023591,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,58585216.3582166,Unchanged
305,17323460.6338377,Unchanged
306,0,Unchanged
307,607374.696935369,Unchanged
308,33727744.790023,Unchanged
309,15767781.3556276,Unchanged
310,7164592.12218386,Unchanged
311,30845107.4198665,Unchanged
312,19049982.3665754,Unchanged
313,46025544.6697614,Unchanged
314,4506910.2551194,Unchanged
315,15983860.666529,Unchanged
316,39312566.0993987,Unchanged
317,12888237.3927854,Unchanged
318,20964023.4806783,Unchanged
319,7840324.30988702,Unchanged
320,7840324.30988702,Unchanged
321,7840324.30988702,Unchanged
322,18684713831.2813,Unchanged
323,3074153.44155429,Unchanged
324,1202609.94481516,Unchanged
325,5225347.93600262,Unchanged
326,0,Unchanged
327,18813150.2963746,Unchanged
328,38183758.7979909,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,6817627.78744922,Unchanged
334,0,Unchanged
335,43913985.4376551,Unchanged
336,146748161.741624,Unchanged
337,43329796.0357229,Unchanged
338,43329796.0357229,Unchanged
339,4.46849827757344,Upregulated
340,43913985.4849737,Unchanged
341,485998.065867963,Unchanged
342,11667563.8823791,Unchanged
343,3913936.67316919,Unchanged
344,6127329.46688543,Unchanged
345,44669898.3114332,Unchanged
346,0,Unchanged
347,10535969.8108122,Unchanged
348,5262575.44988651,Unchanged
349,7840324.24932081,Unchanged
350,48916053.0395002,Unchanged
351,2590578.53984435,Unchanged
352,2839647283.44966,Unchanged
353,0,Unchanged
354,12888237.4919272,Unchanged
355,255618758.561076,Unchanged
356,50479.8688380874,Unchanged
357,0,Unchanged
358,0,Unchanged
359,1780707.7755836,Unchanged
360,3043184.4116345,Unchanged
361,3708589.01364588,Unchanged
362,0,Unchanged
363,4741834.02564997,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.46663198350011,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.33382227493146,Unchanged
370,2.13744494048655,Upregulated
371,6494829.08157162,Unchanged
372,0,Unchanged
373,1841924.6260912,Unchanged
374,1528628.88903891,Unchanged
375,0.171990780045092,Downregulated
376,6444118.58131749,Unchanged
377,12168484.0010892,Unchanged
378,724400.871323499,Unchanged
379,6444118.734161,Unchanged
380,103893.710672182,Unchanged
381,125186.969400977,Unchanged
382,5524701.49629973,Unchanged
383,5425584.05818358,Unchanged
384,75925.3556155395,Unchanged
385,0,Unchanged
386,925429.424023745,Unchanged
387,10342084.4960902,Unchanged
388,12888237.3408541,Unchanged
389,1357062.67627521,Unchanged
390,1635195.87062863,Unchanged
391,12888237.473043,Unchanged
392,6089772.59182649,Unchanged
393,6089772.60749866,Unchanged
394,12888237.3408541,Unchanged
395,6444118.66334547,Unchanged
396,12888237.2865621,Unchanged
397,1.99853690264979,Unchanged
398,320821.698683299,Unchanged
399,1.99853670272627,Unchanged
400,399451.483454596,Unchanged
401,344684.729262093,Unchanged
402,78147.905897344,Unchanged
403,4022730.98592855,Unchanged
404,5585437.77110704,Unchanged
405,6.39756654244667,Upregulated
406,6.06034756061152,Upregulated
407,10641524.1262728,Unchanged
408,20193444.1753017,Unchanged
409,0,Unchanged
410,5371766.84269174,Unchanged
411,3712383.07601824,Unchanged
412,5386885.8935161,Unchanged
413,2457454.56274885,Unchanged
414,1370747.23180549,Unchanged
415,3737431.23816007,Unchanged
416,5663857.52888337,Unchanged
417,3453636.88722354,Unchanged
418,7164592.05790749,Unchanged
419,2657681.90591432,Unchanged
420,76741.6186052294,Unchanged
421,2590490.9718143,Unchanged
422,43931.8275871754,Unchanged
423,5595707.47041677,Unchanged
424,0.00427655572658662,Unchanged
425,1.05718720997803,Unchanged
426,1.05718725120404,Unchanged
427,22803292.2465471,Unchanged
