Reaction,FSR,RegulationStatus
1,1081654.13982098,Unchanged
2,1004584.21776358,Unchanged
3,0,Unchanged
4,4184.28310772155,Upregulated
5,18125570.3777559,Unchanged
6,1175002.96655329,Unchanged
7,0,Unchanged
8,14907121.9616045,Unchanged
9,16989932.3261892,Unchanged
10,0,Unchanged
11,7376410.89427886,Unchanged
12,243620.8233812,Unchanged
13,0,Unchanged
14,4472696.51909743,Unchanged
15,0,Unchanged
16,17960829.0127642,Unchanged
17,6253611.76321976,Unchanged
18,999516.930207621,Unchanged
19,498589.570563904,Unchanged
20,33211935.1590255,Unchanged
21,22117599.3164521,Unchanged
22,3629172.52405968,Unchanged
23,11826672.9447896,Unchanged
24,29178115.5313018,Unchanged
25,12124008.4329777,Unchanged
26,7548375.13982942,Unchanged
27,0.335444678617922,Downregulated
28,5172456.33715224,Unchanged
29,0,Unchanged
30,185190.045268287,Unchanged
31,0,Unchanged
32,11263401.3688432,Unchanged
33,7641899.77965577,Unchanged
34,8382868.5054669,Unchanged
35,0,Unchanged
36,2796987.58932569,Unchanged
37,3315680.14534207,Unchanged
38,14743107.8371411,Unchanged
39,10088809.172321,Unchanged
40,1992.22104648835,Upregulated
41,259575.28227627,Unchanged
42,852515.41611009,Unchanged
43,0,Unchanged
44,449802.441926912,Unchanged
45,7861.51896894048,Upregulated
46,10519366.0291893,Unchanged
47,16627314.5547324,Unchanged
48,11516348.5225847,Unchanged
49,22505533.6333447,Unchanged
50,18537104.4274674,Unchanged
51,52686210.9942566,Unchanged
52,27007367.570016,Unchanged
53,0,Unchanged
54,0,Unchanged
55,2116837.43058422,Unchanged
56,3029906.67532503,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,3494378.76050866,Unchanged
61,3929803.35885351,Unchanged
62,61162166.7932153,Unchanged
63,19920008.515185,Unchanged
64,1722942.03200777,Unchanged
65,1722942.06383505,Unchanged
66,2135567.06079207,Unchanged
67,4013701.59083837,Unchanged
68,0,Unchanged
69,1622299.25826125,Unchanged
70,1622299.25821443,Unchanged
71,454485.634771378,Unchanged
72,0.664932402718382,Unchanged
73,1120952.62268131,Unchanged
74,2585919.67119126,Unchanged
75,0,Unchanged
76,892855.777531891,Unchanged
77,0,Unchanged
78,4885084.12785812,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.834650188100735,Unchanged
82,1955765.54281545,Unchanged
83,428953.590649451,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,542044.983530552,Unchanged
89,5445249.10016678,Unchanged
90,0,Unchanged
91,1.14814553905848,Unchanged
92,4.02009922363792,Upregulated
93,96909602.7240041,Unchanged
94,10988665.3680199,Unchanged
95,10988665.4383747,Unchanged
96,0,Unchanged
97,8890116.41749983,Unchanged
98,379967944.569526,Unchanged
99,164924089.99915,Unchanged
100,92241746.2942501,Unchanged
101,64649525.7076231,Unchanged
102,70638719.2606165,Unchanged
103,70638719.2604836,Unchanged
104,36717281.6205412,Unchanged
105,2584880.85514032,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0097801651713849,Unchanged
109,0.0097801651713849,Unchanged
110,0.0097801651713849,Unchanged
111,0.0106125188269011,Downregulated
112,0.0106125188269011,Downregulated
113,0.0106125188269011,Downregulated
114,0,Unchanged
115,0.952841453653638,Unchanged
116,0,Unchanged
117,0.326866004143852,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,17919173.5154699,Unchanged
123,18337602.3264651,Unchanged
124,2250406.79272509,Unchanged
125,23269510.436602,Unchanged
126,19426062.9023063,Unchanged
127,12416652.53853,Unchanged
128,0,Unchanged
129,0,Unchanged
130,16894926.6762136,Unchanged
131,0.2608385554691,Downregulated
132,1608123.94035626,Unchanged
133,2.05128142820172,Upregulated
134,0,Unchanged
135,18184215.3723622,Unchanged
136,9136469.68785299,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,17492873.9967632,Unchanged
142,2713260.72261719,Unchanged
143,23893754.2766548,Unchanged
144,7411388.75810576,Unchanged
145,6597882.60473832,Unchanged
146,3929803.51912898,Unchanged
147,4225073.79897408,Unchanged
148,11142793.2358587,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.708765673545355,Unchanged
154,0.249584330517268,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,9080116.94614534,Unchanged
158,0.124432919973494,Downregulated
159,0.317613817881759,Downregulated
160,2001946.05774463,Unchanged
161,201757.524248856,Unchanged
162,1345815.82183396,Unchanged
163,2174688.59680127,Unchanged
164,0.130151169096101,Downregulated
165,92265742.7891401,Unchanged
166,90811889.619424,Unchanged
167,46132871.3945701,Unchanged
168,16894926.6762136,Unchanged
169,24602117.4630836,Unchanged
170,34919525.2290882,Unchanged
171,6318524.94601472,Unchanged
172,158807.410928698,Unchanged
173,175604613.150043,Unchanged
174,0,Unchanged
175,0,Unchanged
176,96490404.9736778,Unchanged
177,0,Unchanged
178,0,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,31392.6253667439,Unchanged
188,95767.7291170074,Unchanged
189,6146625.97971233,Unchanged
190,6146625.97970201,Unchanged
191,175944243.261007,Unchanged
192,2006850.85027238,Unchanged
193,0,Unchanged
194,5034252.9481493,Unchanged
195,2688113.18803341,Unchanged
196,5495329.5578297,Unchanged
197,4613149.24317839,Unchanged
198,0.378351644264073,Downregulated
199,10386642.9913555,Unchanged
200,0,Unchanged
201,10386643.1262683,Unchanged
202,3298941.24399272,Unchanged
203,138885.26356489,Unchanged
204,12637049.9555727,Unchanged
205,2546269.80007798,Unchanged
206,3676347.61287251,Unchanged
207,1.45415054317765,Unchanged
208,92265742.6099217,Unchanged
209,3298941.24783207,Unchanged
210,33410335.0898201,Unchanged
211,1.99999997288471,Unchanged
212,0,Unchanged
213,12637049.5788518,Unchanged
214,0,Unchanged
215,0,Unchanged
216,10532190.8408484,Unchanged
217,1.72968798286576,Unchanged
218,36445009.8636469,Unchanged
219,452253.378362255,Unchanged
220,222258.507756551,Unchanged
221,219166.788332638,Unchanged
222,324079.470214481,Unchanged
223,148266.819414343,Unchanged
224,0,Unchanged
225,0,Unchanged
226,20238682.9754632,Unchanged
227,1.82332082362845,Unchanged
228,0,Unchanged
229,16738653.7199616,Unchanged
230,189983972.284763,Unchanged
231,82039871.7320317,Unchanged
232,75787192.9380883,Unchanged
233,2626491.07324205,Unchanged
234,37423322.3392466,Unchanged
235,43495568.2173951,Unchanged
236,23475836.5791205,Unchanged
237,33259885.2489951,Unchanged
238,36933672.552908,Unchanged
239,6127794.93180037,Unchanged
240,0.0803231308853605,Downregulated
241,0,Unchanged
242,0.27798840673812,Downregulated
243,0,Unchanged
244,0,Unchanged
245,12171553.4662695,Unchanged
246,1.99999970312993,Unchanged
247,23475836.5750797,Unchanged
248,235652986.307621,Unchanged
249,134531660.053368,Unchanged
250,26982463.5781371,Unchanged
251,89655549.7880434,Unchanged
252,28036433.1260378,Unchanged
253,41872236.6895332,Unchanged
254,41872236.6892994,Unchanged
255,335883990.653153,Unchanged
256,18534.0156855359,Upregulated
257,0.098773943685248,Downregulated
258,0.317613817882025,Downregulated
259,0.577448313994525,Unchanged
260,5549718.5200062,Unchanged
261,0,Unchanged
262,0,Unchanged
263,68668170.614914,Unchanged
264,0.00864488631793147,Unchanged
265,0.0177330797469372,Downregulated
266,89791.347885208,Unchanged
267,0,Unchanged
268,67055.4630210991,Unchanged
269,101583.084031664,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,157254.666336239,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.662891414755162,Unchanged
288,0.617859670766674,Unchanged
289,0,Unchanged
290,0.662891414755193,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.21745375809705,Downregulated
296,0.217469598409892,Downregulated
297,0,Unchanged
298,30186.4044901999,Unchanged
299,123219728.445337,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,88919077.2351391,Unchanged
305,19858274.3240101,Unchanged
306,0,Unchanged
307,779074.143343304,Unchanged
308,54362443.4819052,Unchanged
309,25414539.9621654,Unchanged
310,8049574.80873766,Unchanged
311,49716204.3369174,Unchanged
312,26467589.5861439,Unchanged
313,74184056.7537031,Unchanged
314,5063611.27017421,Unchanged
315,20912055.8983988,Unchanged
316,63364067.3553093,Unchanged
317,20773285.5779725,Unchanged
318,33789853.3524272,Unchanged
319,12637049.6197011,Unchanged
320,12637049.6197011,Unchanged
321,12637049.6197011,Unchanged
322,29520968294.6739,Unchanged
323,4954926.41475705,Unchanged
324,1938369.01222772,Unchanged
325,8422225.50352542,Unchanged
326,0,Unchanged
327,30323070.8422658,Unchanged
328,61544655.3246541,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,10988665.3680199,Unchanged
334,0,Unchanged
335,70780643.6704231,Unchanged
336,236528968.015289,Unchanged
337,69839050.417114,Unchanged
338,69839050.417114,Unchanged
339,4.46808352654266,Upregulated
340,70780643.6704231,Unchanged
341,564032.536822426,Unchanged
342,13108760.8931846,Unchanged
343,4397392.79902115,Unchanged
344,7042964.16053724,Unchanged
345,71999026.1916116,Unchanged
346,0,Unchanged
347,16605558.5175955,Unchanged
348,7813537.2415868,Unchanged
349,12637049.5697742,Unchanged
350,78842989.8684561,Unchanged
351,3608879.5448646,Unchanged
352,3875271543.87624,Unchanged
353,0,Unchanged
354,20773285.295882,Unchanged
355,406488903.748385,Unchanged
356,59698.8380380272,Unchanged
357,0,Unchanged
358,0,Unchanged
359,2565211.21010005,Unchanged
360,4035986.29842501,Unchanged
361,5289539.30533193,Unchanged
362,0,Unchanged
363,7236376.14977254,Unchanged
364,0,Unchanged
365,0,Unchanged
366,1.25039794909176,Unchanged
367,0,Unchanged
368,0,Unchanged
369,1.23268875858861,Unchanged
370,1.64540576661892,Unchanged
371,9315682.79703853,Unchanged
372,0,Unchanged
373,2069442.29098768,Unchanged
374,1717447.48590155,Unchanged
375,1.48727084197467,Unchanged
376,10386642.8748399,Unchanged
377,13914744.3924159,Unchanged
378,857953.566826426,Unchanged
379,10386642.6050142,Unchanged
380,123047.872767492,Unchanged
381,148266.822138171,Unchanged
382,6727257.18353091,Unchanged
383,6727257.33437277,Unchanged
384,89791.3530273349,Unchanged
385,0,Unchanged
386,1115347.13042091,Unchanged
387,15558428.080781,Unchanged
388,20773285.3817357,Unchanged
389,1423660.79325256,Unchanged
390,1715443.39521157,Unchanged
391,20773284.866614,Unchanged
392,8253865.61530164,Unchanged
393,8253865.34237518,Unchanged
394,20773285.4307949,Unchanged
395,10386642.9361639,Unchanged
396,20773285.3204116,Unchanged
397,17.2821230764569,Upregulated
398,374829.159653064,Unchanged
399,17.2821230912634,Upregulated
400,463589.577619679,Unchanged
401,400029.154481532,Unchanged
402,92555.4907797479,Unchanged
403,6483856.61330366,Unchanged
404,6275360.428657,Unchanged
405,55.3222371253588,Upregulated
406,52.4061782770766,Upregulated
407,13203866.143471,Unchanged
408,25055766.5159742,Unchanged
409,0,Unchanged
410,6234286.87113216,Unchanged
