Reaction,FSR,RegulationStatus
1,263721.761559572,Unchanged
2,238843.704243514,Unchanged
3,0,Unchanged
4,718.544784408606,Upregulated
5,4064039.32758632,Unchanged
6,201776.927939456,Unchanged
7,0,Unchanged
8,3579406.2293201,Unchanged
9,3907217.31122508,Unchanged
10,0,Unchanged
11,1796940.69368643,Unchanged
12,55995.4945482972,Unchanged
13,0,Unchanged
14,1020978.89814565,Unchanged
15,0,Unchanged
16,3251263.93929045,Unchanged
17,1510335.08755101,Unchanged
18,243019.197060275,Unchanged
19,121039.000229653,Unchanged
20,6923546.01902257,Unchanged
21,4663189.39461483,Unchanged
22,884089.539770486,Unchanged
23,2875497.65059061,Unchanged
24,6875986.17110485,Unchanged
25,2793451.45330986,Unchanged
26,1754683.59787549,Unchanged
27,0.445940877930925,Downregulated
28,1253149.82902187,Unchanged
29,0,Unchanged
30,43629.2415250301,Unchanged
31,0,Unchanged
32,2710139.40428682,Unchanged
33,1611188.71542531,Unchanged
34,2060940.01188297,Unchanged
35,0,Unchanged
36,672824.920952646,Unchanged
37,788962.71645848,Unchanged
38,2531755.81159574,Unchanged
39,2400621.9346094,Unchanged
40,346.631077739675,Upregulated
41,61071.9673617515,Unchanged
42,197270.619507189,Unchanged
43,0,Unchanged
44,101429.355251465,Unchanged
45,1921.22335190891,Upregulated
46,1999496.9027453,Unchanged
47,5330806.29935755,Unchanged
48,2666090.80290496,Unchanged
49,4737493.30122993,Unchanged
50,4038424.27039181,Unchanged
51,9668340.39717498,Unchanged
52,5051927.9160203,Unchanged
53,0,Unchanged
54,1195619.57040386,Unchanged
55,381342.465519998,Unchanged
56,584069.013276818,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,859628.290643163,Unchanged
61,793132.919330454,Unchanged
62,11468557.6210441,Unchanged
63,3894326.51277851,Unchanged
64,421168.750638017,Unchanged
65,421168.748596662,Unchanged
66,481421.026973565,Unchanged
67,903040.481176565,Unchanged
68,0,Unchanged
69,394896.84791644,Unchanged
70,394896.847959481,Unchanged
71,110629.988211454,Unchanged
72,0.931150968514878,Unchanged
73,276305.150510518,Unchanged
74,641094.297063654,Unchanged
75,0,Unchanged
76,221354.42427199,Unchanged
77,0,Unchanged
78,1035641.23872194,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.879826256676324,Unchanged
82,352325.811006646,Unchanged
83,75672.4415636096,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,132325.21296428,Unchanged
89,1064536.59333136,Unchanged
90,0,Unchanged
91,1.18752359591535,Unchanged
92,4.02009305528632,Upregulated
93,18279648.2247499,Unchanged
94,1887025.31588059,Unchanged
95,1887025.33753865,Unchanged
96,0,Unchanged
97,2000182.34218033,Unchanged
98,65249883.4503162,Unchanged
99,30964813.7213247,Unchanged
100,17870899.0338513,Unchanged
101,12447529.1664375,Unchanged
102,14661200.4624234,Unchanged
103,14661200.4624278,Unchanged
104,6305264.33683707,Unchanged
105,616195.060374134,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0139521272285097,Downregulated
109,0.0139521272285097,Downregulated
110,0.0139521272285097,Downregulated
111,0.0151780900905585,Downregulated
112,0.0151780900905585,Downregulated
113,0.0151780900905585,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.385846705859612,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,674171.707317073,Unchanged
122,3077164.70635827,Unchanged
123,3149019.18530445,Unchanged
124,386320.293565597,Unchanged
125,843076.445688011,Unchanged
126,586739.724053135,Unchanged
127,2132246.04620423,Unchanged
128,0,Unchanged
129,0,Unchanged
130,2901276.28093289,Unchanged
131,0.365477879757898,Downregulated
132,396983.510150953,Unchanged
133,2.05127842292,Upregulated
134,0,Unchanged
135,3122679.08637627,Unchanged
136,1766831.44324325,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,3152632.16841853,Unchanged
