Reaction,FSR,RegulationStatus
1,5147317.55443181,Unchanged
2,4620660.46005622,Unchanged
3,0,Unchanged
4,14140.281097919,Upregulated
5,79347010.393828,Unchanged
6,3970781.62758498,Unchanged
7,0,Unchanged
8,67160415.6400655,Unchanged
9,73733808.8019461,Unchanged
10,0,Unchanged
11,34834505.1642714,Unchanged
12,1093992.55122372,Unchanged
13,0,Unchanged
14,20007653.2173815,Unchanged
15,0,Unchanged
16,62094186.7273505,Unchanged
17,29467658.9301055,Unchanged
18,4746442.20177951,Unchanged
19,2364029.81725828,Unchanged
20,131986014.06656,Unchanged
21,89060998.752645,Unchanged
22,17162944.2225056,Unchanged
23,56081676.5986216,Unchanged
24,127215039.241943,Unchanged
25,54499343.8596645,Unchanged
26,33981166.0933876,Unchanged
27,0.442671446438741,Downregulated
28,24482322.3644589,Unchanged
29,0,Unchanged
30,851739.211901313,Unchanged
31,0,Unchanged
32,52877085.5463764,Unchanged
33,31579233.7286129,Unchanged
34,40354200.391286,Unchanged
35,0,Unchanged
36,13146333.2458886,Unchanged
37,15333017.4842059,Unchanged
38,49823065.0122828,Unchanged
39,46274186.2713416,Unchanged
40,25035431.1824455,Unchanged
41,1193809.15259049,Unchanged
42,3852931.95227989,Unchanged
43,0,Unchanged
44,0,Unchanged
45,37341.9999783268,Unchanged
46,39171463.784677,Unchanged
47,98367169.7081552,Unchanged
48,51946989.8195958,Unchanged
49,92729392.4268169,Unchanged
50,79099504.8627159,Unchanged
51,185797073.082837,Unchanged
52,96865809.5470916,Unchanged
53,0,Unchanged
54,4494192.96204366,Unchanged
55,7490541.35683558,Unchanged
56,11453091.0651008,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,16775352.5728401,Unchanged
61,15480636.7210259,Unchanged
62,221018066.159952,Unchanged
63,76171410.0152916,Unchanged
64,8232105.81624416,Unchanged
65,8220368.76915886,Unchanged
66,9393360.7157867,Unchanged
67,17594769.9065846,Unchanged
68,0,Unchanged
69,7694668.13039535,Unchanged
70,7694668.14330134,Unchanged
71,2158731.96363842,Unchanged
72,0.923202034885819,Unchanged
73,5404337.84381657,Unchanged
74,12536893.3495659,Unchanged
75,0,Unchanged
76,4276790.3015159,Unchanged
77,0,Unchanged
78,20294591.6828516,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877522159286679,Unchanged
82,6920581.92289732,Unchanged
83,1484482.25901082,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,2586410.67633551,Unchanged
89,20821894.745923,Unchanged
90,0,Unchanged
91,1.18545847070036,Unchanged
92,4.02010012408156,Upregulated
93,297143877.113149,Unchanged
94,37135252.4611779,Unchanged
95,37135252.2725553,Unchanged
96,0,Unchanged
97,38971391.592772,Unchanged
98,1284068881.07957,Unchanged
99,607312454.660395,Unchanged
100,350227217.173887,Unchanged
101,244093539.007205,Unchanged
102,287501803.526514,Unchanged
103,287501803.537319,Unchanged
104,123905977.819838,Unchanged
105,12024340.0432778,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138575561485705,Downregulated
109,0.0138575561485705,Downregulated
110,0.0138575561485705,Downregulated
111,0.0150752091191088,Downregulated
112,0.0150752091191088,Downregulated
113,0.0150752091191088,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384287202793639,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,0,Unchanged
122,60469962.7883725,Unchanged
123,61881988.6753784,Unchanged
124,7605056.53911364,Unchanged
125,13609103.8428902,Unchanged
126,9507429.55192127,Unchanged
127,41901184.6096461,Unchanged
128,0,Unchanged
129,0,Unchanged
130,57094944.701342,Unchanged
131,3954563.20789564,Unchanged
132,7751030.88641273,Unchanged
133,2.0512818666435,Upregulated
134,0,Unchanged
135,61452000.2941753,Unchanged
136,33958986.7482331,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,61952988.9099188,Unchanged
142,12895691.5185821,Unchanged
143,88823703.7939359,Unchanged
144,27637546.4732286,Unchanged
145,28964279.7804068,Unchanged
146,15480636.8640557,Unchanged
147,18521355.9248855,Unchanged
148,43894694.8294398,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876908371396441,Unchanged
154,0.279906299286847,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,39911300.9105077,Unchanged
158,0.171527716563397,Downregulated
159,0.412587590188537,Downregulated
160,8797384.74000131,Unchanged
161,885703.368454699,Unchanged
162,6030182.19050698,Unchanged
163,9713916.22268322,Unchanged
164,0.181653012107233,Downregulated
165,307516591.004566,Unchanged
166,306453385.437864,Unchanged
167,153758295.502283,Unchanged
168,57094944.701342,Unchanged
169,83022204.9223077,Unchanged
170,118007524.687246,Unchanged
171,21322466.7365595,Unchanged
172,536675.959675257,Unchanged
173,592594566.347956,Unchanged
174,0,Unchanged
175,0,Unchanged
176,326081012.377905,Unchanged
177,0,Unchanged
178,124209112.870477,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,151999.594560671,Unchanged
188,410090.394561036,Unchanged
189,28581517.1036652,Unchanged
190,28581514.6693046,Unchanged
191,754389377.533211,Unchanged
192,8809945.38445752,Unchanged
193,652721.667617444,Unchanged
194,22009097.8262606,Unchanged
195,11790604.7940344,Unchanged
196,21589388.1303528,Unchanged
197,20168083.8766586,Unchanged
198,0.441663852865629,Downregulated
199,35100766.8359331,Unchanged
200,0,Unchanged
201,35100767.9564887,Unchanged
202,14461492.1189389,Unchanged
203,636116.66615609,Unchanged
204,42644934.0933683,Unchanged
205,10894496.7721474,Unchanged
206,16115918.8700554,Unchanged
207,1.48924430974296,Unchanged
208,308642283.973263,Unchanged
209,14461489.4950335,Unchanged
210,112746378.028327,Unchanged
211,1.99999999196488,Unchanged
212,0,Unchanged
213,42705822.2976315,Unchanged
214,0,Unchanged
215,0,Unchanged
216,35592636.0419476,Unchanged
217,1.72967488654651,Unchanged
218,123162759.64679,Unchanged
219,2076986.66603805,Unchanged
