Reaction,FSR,RegulationStatus
1,2195147.45069515,Unchanged
2,1973043.56865933,Unchanged
3,0,Unchanged
4,6021.73681634147,Upregulated
5,33838404.9303526,Unchanged
6,1690984.78797319,Unchanged
7,0,Unchanged
8,28731468.7287854,Unchanged
9,31543591.725206,Unchanged
10,0,Unchanged
11,14855555.944602,Unchanged
12,465879.872260391,Unchanged
13,0,Unchanged
14,8520316.5600573,Unchanged
15,0,Unchanged
16,27175700.3134217,Unchanged
17,12566807.5659069,Unchanged
18,2021286.1923926,Unchanged
19,1006728.9715395,Unchanged
20,56206609.958043,Unchanged
21,38977788.4248223,Unchanged
22,7308889.61707658,Unchanged
23,23916645.03985,Unchanged
24,54174894.4710214,Unchanged
25,23241841.6097885,Unchanged
26,14491640.1626215,Unchanged
27,0.442710522067308,Downregulated
28,10425868.452191,Unchanged
29,0,Unchanged
30,363233.525977713,Unchanged
31,0,Unchanged
32,22549994.2490888,Unchanged
33,13467300.899486,Unchanged
34,17209491.2894851,Unchanged
35,0,Unchanged
36,5598404.53506904,Unchanged
37,6566656.73317971,Unchanged
38,21217283.5028544,Unchanged
39,19980742.4828279,Unchanged
40,10661409.1962792,Unchanged
41,508387.085038699,Unchanged
42,1640782.20958538,Unchanged
43,0,Unchanged
44,844030.896010686,Unchanged
45,15995.8017133094,Upregulated
46,16705096.6408439,Unchanged
47,18323977.3302389,Unchanged
48,22153361.9761388,Unchanged
49,39489062.8566376,Unchanged
50,33684750.4636837,Unchanged
51,79410597.8136044,Unchanged
52,41400934.6723938,Unchanged
53,0,Unchanged
54,10001160.9423361,Unchanged
55,3189867.06569431,Unchanged
56,4884293.52465206,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,7154032.98374888,Unchanged
61,6601885.47911647,Unchanged
62,95859573.8249999,Unchanged
63,32484116.8382749,Unchanged
64,3505666.64457921,Unchanged
65,3505666.48355,Unchanged
66,4000190.30128551,Unchanged
67,7503482.12964118,Unchanged
68,0,Unchanged
69,3281475.4240192,Unchanged
70,3281475.42399085,Unchanged
71,919302.282358829,Unchanged
72,0.922835464329643,Unchanged
73,2314510.5488518,Unchanged
74,5338872.73056837,Unchanged
75,0,Unchanged
76,1843384.33460237,Unchanged
77,0,Unchanged
78,8654843.89995594,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877522294865722,Unchanged
82,2947147.49902541,Unchanged
83,634170.007277228,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,1101430.35149677,Unchanged
89,8879720.98587569,Unchanged
90,0,Unchanged
91,1.18545838871566,Unchanged
92,4.0200996138696,Upregulated
93,120137486.610751,Unchanged
94,15814144.3360234,Unchanged
95,15814144.4923973,Unchanged
96,0,Unchanged
97,16619776.7210069,Unchanged
98,546824180.44273,Unchanged
99,258625715.263187,Unchanged
100,149145265.131363,Unchanged
101,103947875.416974,Unchanged
102,122433401.683546,Unchanged
103,122433401.682793,Unchanged
104,52841027.7698537,Unchanged
105,5127912.0422964,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138575657570374,Downregulated
109,0.0138575657570374,Downregulated
110,0.0138575657570374,Downregulated
111,0.0150752195744291,Downregulated
112,0.0150752195744291,Downregulated
113,0.0150752195744291,Downregulated
114,0,Unchanged
115,1,Unchanged
116,0,Unchanged
117,0.384287369101262,Downregulated
118,0,Unchanged
119,0,Unchanged
120,0,Unchanged
121,815369.911504425,Unchanged
122,25788062.163379,Unchanged
123,26390235.7673562,Unchanged
124,3238633.065823,Unchanged
125,2923158.5254686,Unchanged
126,1483955.46584222,Unchanged
127,17869207.4353855,Unchanged
128,0,Unchanged
129,0,Unchanged
130,24314035.2943182,Unchanged
131,0.362867390159469,Downregulated
132,3305512.34493553,Unchanged
133,2.05128161832647,Upregulated
134,0,Unchanged
135,26169494.2068995,Unchanged
136,14723771.6726871,Unchanged
137,0,Unchanged
138,0,Unchanged
139,0,Unchanged
140,0,Unchanged
141,26420513.8849268,Unchanged
142,5514361.22890136,Unchanged
143,37879834.2159607,Unchanged
144,11769527.3905998,Unchanged
145,12334521.5632446,Unchanged
146,6601885.83251157,Unchanged
147,7898634.31769647,Unchanged
148,18719371.0013002,Unchanged
149,0,Unchanged
150,0,Unchanged
151,0,Unchanged
152,0,Unchanged
153,0.876908565913744,Unchanged
154,0.279906313666432,Downregulated
155,0.01,Downregulated
156,0,Unchanged
157,17020610.2854513,Unchanged
158,0.171527834908319,Downregulated
159,0.412587807405698,Downregulated
160,3751740.99696551,Unchanged
161,377178.785286086,Unchanged
162,2599132.2605759,Unchanged
163,4142606.340153,Unchanged
164,0.181653113678898,Downregulated
165,132782620.875019,Unchanged
166,130690337.835173,Unchanged
167,66391310.4375095,Unchanged
168,24314035.2943182,Unchanged
169,35405703.1234651,Unchanged
170,50253815.4892574,Unchanged
171,9093193.55299974,Unchanged
172,228537.304306567,Unchanged
173,252718283.343054,Unchanged
174,0,Unchanged
175,0,Unchanged
176,138862468.440856,Unchanged
177,0,Unchanged
178,52970307.4679695,Unchanged
179,0,Unchanged
180,0,Unchanged
181,0,Unchanged
182,0,Unchanged
183,0,Unchanged
184,0,Unchanged
185,0,Unchanged
186,0,Unchanged
187,65136.759179582,Unchanged
188,175736.96762648,Unchanged
189,12171522.0193617,Unchanged
190,12171522.0193087,Unchanged
191,321258810.789662,Unchanged
192,3751740.78392673,Unchanged
193,1452536.11543347,Unchanged
194,9411368.06649081,Unchanged
195,5025338.19854407,Unchanged
196,9231896.25399307,Unchanged
197,8624129.17318972,Unchanged
198,0.441664051891274,Downregulated
199,14947754.9239875,Unchanged
200,0,Unchanged
201,14947753.5904004,Unchanged
202,6167261.19087213,Unchanged
203,272011.535566114,Unchanged
204,18186387.5948166,Unchanged
205,4639453.73991484,Unchanged
206,6872809.31999287,Unchanged
207,1.48924472426166,Unchanged
208,132782613.430847,Unchanged
209,6167261.15895557,Unchanged
210,48081894.7669722,Unchanged
211,1.99999998115858,Unchanged
212,0,Unchanged
213,18186386.5419798,Unchanged
214,0,Unchanged
215,0,Unchanged
216,15157216.9443976,Unchanged
217,1.72964244119812,Unchanged
218,52449189.7234192,Unchanged
219,885753.759697597,Unchanged
220,435300.874733026,Unchanged
221,429163.678114975,Unchanged
222,634720.706412297,Unchanged
223,290385.638385945,Unchanged
224,0,Unchanged
225,109325.979627421,Unchanged
226,30053272.8913614,Unchanged
227,1.93169042634913,Unchanged
228,0,Unchanged
229,35476801.8940955,Unchanged
230,273412090.221365,Unchanged
231,136986444.20897,Unchanged
232,126529120.533478,Unchanged
233,4365135.19239588,Unchanged
234,69961656.8160313,Unchanged
235,81083401.6247113,Unchanged
236,48468057.2663305,Unchanged
237,63954767.0654347,Unchanged
238,71019014.5251785,Unchanged
239,8818708.53078788,Unchanged
240,0.116217472395003,Downregulated
241,0,Unchanged
242,0.383126248674549,Downregulated
243,0,Unchanged
244,0,Unchanged
245,17437085.4362814,Unchanged
246,1.99999979371592,Unchanged
247,48468058.7936245,Unchanged
248,339135842.312479,Unchanged
249,193608871.472367,Unchanged
250,50186185.1381445,Unchanged
251,144784281.280694,Unchanged
252,43657704.6682992,Unchanged
253,72591616.8089486,Unchanged
254,72591616.8072939,Unchanged
255,483381468.751252,Unchanged
256,37917.6488063204,Unchanged
257,0.13857565756146,Downregulated
258,0.412587807520089,Downregulated
259,0.835973141869528,Unchanged
260,11457913.3704504,Unchanged
261,0,Unchanged
262,0,Unchanged
263,98822585.8564714,Unchanged
264,0.0117822114628222,Downregulated
265,0.0241686195857323,Downregulated
266,176117.609408863,Unchanged
267,0,Unchanged
268,137081.888593982,Unchanged
269,207139.496779236,Unchanged
270,0,Unchanged
271,0,Unchanged
272,0,Unchanged
273,0,Unchanged
274,0,Unchanged
275,0,Unchanged
276,0,Unchanged
277,0.5,Downregulated
278,0,Unchanged
279,0,Unchanged
280,325474.400657851,Unchanged
281,0,Unchanged
282,0,Unchanged
283,0,Unchanged
284,0,Unchanged
285,0,Unchanged
286,0,Unchanged
287,0.721928654687552,Unchanged
288,0.667306172018299,Unchanged
289,0,Unchanged
290,0.721928654689434,Unchanged
291,0,Unchanged
292,0,Unchanged
293,0,Unchanged
294,0,Unchanged
295,0.31256496620626,Downregulated
296,0.312580839043362,Downregulated
297,0,Unchanged
298,61917.0054103431,Unchanged
299,248887595.001333,Unchanged
300,0,Unchanged
301,0,Unchanged
302,0,Unchanged
303,0,Unchanged
304,110231740.51601,Unchanged
305,32595425.9896279,Unchanged
306,0,Unchanged
307,1408877.33642043,Unchanged
308,78234748.7097985,Unchanged
309,36574887.2719009,Unchanged
310,16619099.2003969,Unchanged
311,71548193.2479344,Unchanged
312,44188473.5591842,Unchanged
313,106760673.513396,Unchanged
314,10454299.2486993,Unchanged
315,30074772.1082913,Unchanged
316,91189286.9365641,Unchanged
317,29895507.3840141,Unchanged
318,48628070.5886365,Unchanged
319,18186387.9708298,Unchanged
320,18186387.9708298,Unchanged
321,18186387.9708298,Unchanged
322,42552213044.8817,Unchanged
323,7130795.0150895,Unchanged
324,2789569.61322083,Unchanged
325,12120697.409276,Unchanged
326,0,Unchanged
327,43638915.3891765,Unchanged
328,88570903.6345424,Unchanged
329,0,Unchanged
330,0,Unchanged
331,2,Upregulated
332,0,Unchanged
333,15814144.4568578,Unchanged
334,0,Unchanged
335,101862724.127045,Unchanged
336,340396495.884679,Unchanged
337,100507630.978515,Unchanged
338,100507630.978515,Unchanged
339,4.46721890466318,Upregulated
340,101862724.127045,Unchanged
341,1127326.17246615,Unchanged
342,27064262.5872184,Unchanged
343,9078828.41109486,Unchanged
344,14213049.0138163,Unchanged
345,103616129.60257,Unchanged
346,0,Unchanged
347,24439216.6794557,Unchanged
348,12207094.8998797,Unchanged
349,18186387.1436008,Unchanged
350,113465501.8379,Unchanged
351,6009100.99294143,Unchanged
352,6466963952.57253,Unchanged
353,0,Unchanged
354,29895507.0283909,Unchanged
