Reaction,FSR,RegulationStatus
1,348850.297663347,Unchanged
2,313552.796604058,Unchanged
3,0,Unchanged
4,956.952358717883,Upregulated
5,5377542.4812212,Unchanged
6,268725.083266191,Unchanged
7,0,Unchanged
8,4707418.84371945,Unchanged
9,5168156.25823078,Unchanged
10,0,Unchanged
11,2360821.27259298,Unchanged
12,74036.4693099227,Unchanged
13,0,Unchanged
14,1354033.58642537,Unchanged
15,0,Unchanged
16,4318689.21806796,Unchanged
17,1997097.34853985,Unchanged
18,321219.510230508,Unchanged
19,159986.831199354,Unchanged
20,9208960.42981659,Unchanged
21,6194250.48403727,Unchanged
22,1161517.12856958,Unchanged
23,3800794.16768159,Unchanged
24,9109433.70411623,Unchanged
25,3693556.8422139,Unchanged
26,2302987.76926518,Unchanged
27,0.442614506258626,Downregulated
28,1656862.75514058,Unchanged
29,0,Unchanged
30,57724.5170446741,Unchanged
31,0,Unchanged
32,3583609.95855448,Unchanged
33,2140189.18937623,Unchanged
34,2734906.90237479,Unchanged
35,0,Unchanged
36,889689.629207974,Unchanged
37,1043563.40307589,Unchanged
38,3371772.73962469,Unchanged
39,3175344.90062543,Unchanged
40,1694289.32376841,Unchanged
41,80792.1192086016,Unchanged
42,260750.118237129,Unchanged
43,0,Unchanged
44,134131.498298125,Unchanged
45,2540.77796428532,Upregulated
46,2654732.90470763,Unchanged
47,7112950.11799168,Unchanged
48,3520566.14685391,Unchanged
49,6275512.05706255,Unchanged
50,5353111.65348678,Unchanged
51,12892301.875091,Unchanged
52,6721448.25690075,Unchanged
53,0,Unchanged
54,0,Unchanged
55,506922.621063383,Unchanged
56,776195.181215917,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1136908.56126856,Unchanged
61,1049156.49051876,Unchanged
62,15233864.7531812,Unchanged
63,5162277.08611594,Unchanged
64,557115.405617433,Unchanged
65,557115.406413527,Unchanged
66,635701.901781749,Unchanged
67,1192437.63995134,Unchanged
68,0,Unchanged
69,521485.325248902,Unchanged
70,521485.325664875,Unchanged
71,146092.818129082,Unchanged
72,0.923340689937978,Unchanged
73,367818.527157046,Unchanged
74,848445.816869397,Unchanged
75,0,Unchanged
76,292947.915490903,Unchanged
77,0,Unchanged
78,1375407.15400617,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877526741621982,Unchanged
82,468350.476079198,Unchanged
83,100779.405989496,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,175037.713039381,Unchanged
89,1411138.26359957,Unchanged
90,0,Unchanged
91,1.18545853652737,Unchanged
92,4.02009491062707,Upregulated
93,24479867.282364,Unchanged
94,2513125.66964083,Unchanged
95,2513125.6641659,Unchanged
96,0,Unchanged
97,2641180.2906353,Unchanged
98,86899287.9888092,Unchanged
99,41100106.253953,Unchanged
100,23701809.4329699,Unchanged
101,16519035.1337251,Unchanged
102,19456690.0342107,Unchanged
103,19456690.0342078,Unchanged
104,8397302.01732444,Unchanged
105,814920.188840968,Unchanged
106,0,Unchanged
107,0,Unchanged
108,0.0138577583006325,Downregulated
109,0.0138577583006325,Downregulated
110,0.0138577583006325,Downregulated
