Reaction,FSR,RegulationStatus
1,336275.124834634,Unchanged
2,302139.353415934,Unchanged
3,0,Unchanged
4,922.488905394681,Upregulated
5,5182504.52021551,Unchanged
6,258940.9651067,Unchanged
7,0,Unchanged
8,4537704.08751976,Unchanged
9,4981845.30485801,Unchanged
10,0,Unchanged
11,2275724.84070191,Unchanged
12,71351.5717914076,Unchanged
13,0,Unchanged
14,1305230.94789305,Unchanged
15,-7.78643871055476e-10,Unchanged
16,4162123.11350434,Unchanged
17,1925110.6247943,Unchanged
18,309641.255745791,Unchanged
19,154221.018891209,Unchanged
20,8877051.68168481,Unchanged
21,5969676.99014482,Unchanged
22,1119388.99082409,Unchanged
23,3662941.12257759,Unchanged
24,8783903.31743362,Unchanged
25,3559590.63533552,Unchanged
26,2219460.02679491,Unchanged
27,0.442630209603932,Downregulated
28,1597139.8455232,Unchanged
29,0,Unchanged
30,55630.7927215172,Unchanged
31,0,Unchanged
32,3453081.25627329,Unchanged
33,2062596.07368151,Unchanged
34,2635287.84433147,Unchanged
35,0,Unchanged
36,857620.271194264,Unchanged
37,1005711.39180376,Unchanged
38,3250344.07456301,Unchanged
39,3061327.62094348,Unchanged
40,1632848.85032196,Unchanged
41,77861.6587948276,Unchanged
42,251352.206749983,Unchanged
43,0,Unchanged
44,129298.029368975,Unchanged
45,2449.20647224242,Upregulated
46,2558480.75470918,Unchanged
47,6951854.46214121,Unchanged
48,3392900.52849309,Unchanged
49,6047965.13543904,Unchanged
50,5158991.54772381,Unchanged
51,12482074.4364634,Unchanged
52,6507547.76142652,Unchanged
53,0,Unchanged
54,3820966.19132527,Unchanged
55,488665.058279073,Unchanged
56,748064.398991827,Unchanged
57,0,Unchanged
58,0,Unchanged
59,0,Unchanged
60,1095670.48949775,Unchanged
61,1011114.74075698,Unchanged
62,14686932.9147593,Unchanged
63,4975156.39963649,Unchanged
64,536907.676049158,Unchanged
65,536907.679506116,Unchanged
66,612792.620485105,Unchanged
67,1149196.71684062,Unchanged
68,0,Unchanged
69,502574.66122286,Unchanged
70,502574.579278662,Unchanged
71,140828.678081212,Unchanged
72,0.92310946454174,Unchanged
73,354560.006183926,Unchanged
74,817671.006083109,Unchanged
75,0,Unchanged
76,282283.621547812,Unchanged
77,0,Unchanged
78,1325537.75778617,Unchanged
79,0,Unchanged
80,0,Unchanged
81,0.877513043088563,Unchanged
82,451482.137548095,Unchanged
83,97150.5501152831,Unchanged
84,0,Unchanged
85,0,Unchanged
86,0,Unchanged
87,0.5,Downregulated
88,168688.73365123,Unchanged
89,1359987.67632597,Unchanged
90,0,Unchanged
91,1.18545458355446,Unchanged
92,4.02009470172169,Upregulated
93,23657625.5000993,Unchanged
94,2422619.73622812,Unchanged
95,2422619.72478082,Unchanged
96,0,Unchanged
97,2545404.13995949,Unchanged
98,83750216.19456,Unchanged
