Reaction,FSR,RegulationStatus
4,4184.28310772155,Upregulated
27,0.335444678617922,Downregulated
40,1992.22104648835,Upregulated
45,7861.51896894048,Upregulated
87,0.5,Downregulated
92,4.02009922363792,Upregulated
111,0.0106125188269011,Downregulated
112,0.0106125188269011,Downregulated
113,0.0106125188269011,Downregulated
117,0.326866004143852,Downregulated
131,0.2608385554691,Downregulated
133,2.05128142820172,Upregulated
154,0.249584330517268,Downregulated
155,0.01,Downregulated
158,0.124432919973494,Downregulated
159,0.317613817881759,Downregulated
164,0.130151169096101,Downregulated
198,0.378351644264073,Downregulated
240,0.0803231308853605,Downregulated
242,0.27798840673812,Downregulated
256,18534.0156855359,Upregulated
257,0.098773943685248,Downregulated
258,0.317613817882025,Downregulated
265,0.0177330797469372,Downregulated
277,0.5,Downregulated
295,0.21745375809705,Downregulated
296,0.217469598409892,Downregulated
331,2,Upregulated
339,4.46808352654266,Upregulated
397,17.2821230764569,Upregulated
399,17.2821230912634,Upregulated
405,55.3222371253588,Upregulated
406,52.4061782770766,Upregulated
424,0.0370020146908292,Downregulated
425,9.14190830727022,Upregulated
426,9.14190848785975,Upregulated
430,70.6540359686407,Upregulated
443,0.5,Downregulated
487,0.22232405416219,Downregulated
561,0.028549516925331,Downregulated
564,0.0627928214452257,Downregulated
565,0.0359541674238105,Downregulated
571,2.94383260553928,Upregulated
574,5360.91439559474,Upregulated
580,842.246121787682,Upregulated
601,2431.87025669558,Upregulated
605,0.318777212182548,Downregulated
615,0.0896982134095625,Downregulated
659,0.0112986900922322,Downregulated
676,6495.98095127699,Upregulated
718,27.9235947711913,Upregulated
720,6334.46206811579,Upregulated
725,2695.13559692887,Upregulated
726,0.0446332448240128,Downregulated
745,2.59771634249503,Upregulated
772,19819.4310363846,Upregulated
780,0.0271404643248221,Downregulated
784,1036.10464908552,Upregulated
785,14.7901436077423,Upregulated
799,0.385539476702656,Downregulated
800,4.18938443154882,Upregulated
801,2.86185975051105,Upregulated
833,0.16745177341441,Downregulated
835,4.43445977218133,Upregulated
838,0.199301277991648,Downregulated
839,0.205040187106248,Downregulated
860,0.318525137698358,Downregulated
868,0.199240730653339,Downregulated
885,0.0151400856299401,Downregulated
887,1682.34350431686,Upregulated
888,1682.34350427247,Upregulated
924,288.315078342283,Upregulated
933,39.628764620209,Upregulated
938,58.1018863731971,Upregulated
942,4.46808352654266,Upregulated
946,0.373094755658915,Downregulated
947,0.31065075181481,Downregulated
948,0.173443877971928,Downregulated
950,0.336430050837014,Downregulated
952,0.19924073065793,Downregulated
953,0.199240730664891,Downregulated
970,2072.20929817128,Upregulated
971,348.57673976469,Upregulated
987,0.124432919975485,Downregulated
988,0.12443291997448,Downregulated
989,0.0905639684789752,Downregulated
990,0.317613817884238,Downregulated
991,0.32331101986748,Downregulated
993,0.344637996799776,Downregulated
1014,6263.51408481767,Upregulated
1015,5242.06338875862,Upregulated
1034,0.408698464679302,Downregulated
1051,0.144187889462766,Downregulated
1058,0.142314807610619,Downregulated
1067,0.258052353702003,Downregulated
1097,0.5,Downregulated
1101,0.317613817900589,Downregulated
1117,17819.1303734175,Upregulated
1120,14530.7994609523,Upregulated
1125,514.721467750452,Upregulated
1136,590.565875306072,Upregulated
1140,2073.50081927765,Upregulated
1144,9289.80686310738,Upregulated
1161,9289.80686306806,Upregulated
1174,15514.7954459447,Upregulated
1195,0.250116342496132,Downregulated
1216,0.12443291997515,Downregulated
1217,0.124432920030255,Downregulated
1225,28.7276633597545,Upregulated
1226,4.10255938476717,Upregulated
1249,17.2821226358857,Upregulated
1252,4.18967894888075,Upregulated
1254,17.2821233933101,Upregulated
1271,5.3900057723959,Upregulated
1277,5.19685383134723,Upregulated
1297,0.47653272155778,Downregulated
1298,0.37835330815245,Downregulated
1300,0.234775050797682,Downregulated
1301,0.19924073065793,Downregulated
1302,0.495864589870337,Downregulated
1303,0.242220589116054,Downregulated
1308,0.051947187147732,Downregulated
1309,0.0151400856298753,Downregulated
1310,0.0282817493132221,Downregulated
1311,0.0287807686170704,Downregulated
1312,0.0151400856298753,Downregulated
1313,0.0151400856298175,Downregulated
1315,0.149057475593146,Downregulated
1321,0.199240730666383,Downregulated
1322,0.0709450930675412,Downregulated
1323,0.48552383227355,Downregulated
1324,0.344541102117301,Downregulated
1328,0.238994038620992,Downregulated
1331,0.344541102117301,Downregulated
1332,0.317613817875091,Downregulated
1338,0.234775050758984,Downregulated
1342,0.0695531770336688,Downregulated
1345,0.178532979295199,Downregulated
1346,0.378351644268758,Downregulated
1348,0.497926528722333,Downregulated
1349,0.333333333333333,Downregulated
1350,0.0899779916895923,Downregulated
1351,0.0573572340224483,Downregulated
1354,0.317613817902537,Downregulated
1355,0.482093709967911,Downregulated
1356,0.157475455406026,Downregulated
1359,0.317613817895861,Downregulated
1361,0.378351644268758,Downregulated
1362,0.378351644275826,Downregulated
1363,0.0573572340224483,Downregulated
1368,0.336430050838523,Downregulated
1370,0.446659478291763,Downregulated
1371,0.477797172956306,Downregulated
1373,0.373094755655698,Downregulated
1374,0.0573572340224483,Downregulated
1379,0.238994038620992,Downregulated
1382,0.382798011692264,Downregulated
1383,0.317613817883774,Downregulated
1384,0.120861517580749,Downregulated
1385,0.120861517580749,Downregulated
1386,0.199240730662585,Downregulated
1388,0.199240873860743,Downregulated
1391,0.320257350104382,Downregulated
1393,0.386185325341449,Downregulated
1399,0.373094755655698,Downregulated
1401,0.119200581889901,Downregulated
1402,0.120861517580749,Downregulated
1403,0.184633199263827,Downregulated
1406,0.477797172956306,Downregulated
1407,0.120861517580749,Downregulated
1408,0.406892090292302,Downregulated
1411,0.19924073065997,Downregulated
1412,0.0709450930675412,Downregulated
1413,0.317613817889027,Downregulated
1414,0.0709450930675412,Downregulated
1415,0.440145247587848,Downregulated
1416,0.120861517580749,Downregulated
1417,0.0695531770336688,Downregulated
1418,0.336430050838523,Downregulated
1419,0.47032367548784,Downregulated
1436,0.468803167103382,Downregulated
1438,0.407607632418938,Downregulated
1439,0.0607649094874472,Downregulated
1444,0.333868059403588,Downregulated
1446,0.40760763243494,Downregulated
1448,0.40760763243494,Downregulated
1450,0.40760763243494,Downregulated
1452,0.40760763243494,Downregulated
1454,0.407607632418938,Downregulated
1457,0.465579023302515,Downregulated
1459,0.465579023302515,Downregulated
1463,0.482093709967911,Downregulated
1464,0.482093709967911,Downregulated
1467,0.33386805940421,Downregulated
1468,0.33386805939761,Downregulated
1470,0.0142747584629009,Downregulated
1471,0.0359541674231551,Downregulated
1474,0.320257350104382,Downregulated
1475,0.320257350104382,Downregulated
1477,0.0695531770336688,Downregulated
1480,0.339821025440068,Downregulated
1493,0.317613821610318,Downregulated
1494,0.485523832275068,Downregulated
1495,0.099620365328725,Downregulated
1496,0.260856913808078,Downregulated
1497,0.313719675843548,Downregulated
1499,0.234775050799794,Downregulated
1500,0.01,Downregulated
1504,0.0573572340224483,Downregulated
1507,0.01,Downregulated
1508,0.0869523046019392,Downregulated
1510,0.0709450930675412,Downregulated
1512,0.31761381788906,Downregulated
1513,0.31761381788906,Downregulated
1516,0.317613817883774,Downregulated
1517,0.382798011692264,Downregulated
1519,0.273977580018681,Downregulated
1521,0.01,Downregulated
1522,0.313719675843548,Downregulated
1523,0.333333333333333,Downregulated
1525,0.0142747584627791,Downregulated
1527,0.238994038620992,Downregulated
1529,0.481120074749356,Downregulated
1530,0.486201399812132,Downregulated
1532,0.317613817895861,Downregulated
1533,0.317613817885731,Downregulated
1534,0.31761381788508,Downregulated
1535,0.350620418281849,Downregulated
1536,0.317613817880559,Downregulated
1537,0.317613817884808,Downregulated
1538,0.356536886125523,Downregulated
1539,0.317613817885836,Downregulated
1540,0.317613817895861,Downregulated
1541,0.317613817885731,Downregulated
1542,0.31761381788508,Downregulated
1543,0.350620418281849,Downregulated
1544,0.317613817880559,Downregulated
1545,0.317613817884808,Downregulated
1546,0.356536886125523,Downregulated
1547,0.317613817885836,Downregulated
1548,0.317613817885731,Downregulated
1549,0.261708014476035,Downregulated
1550,0.191155731210864,Downregulated
1552,0.317613817792766,Downregulated
1553,0.317613817880559,Downregulated
1554,0.318194501574253,Downregulated
1555,0.317613817885631,Downregulated
1556,0.317613817885836,Downregulated
1557,0.0519573066957673,Downregulated
1558,0.318194501580669,Downregulated
1559,0.318194501580669,Downregulated
1562,0.0142747584626795,Downregulated
1563,0.0332067884418063,Downregulated
1564,0.127053584495563,Downregulated
1565,0.386185325342266,Downregulated
1570,0.40760763243494,Downregulated
1571,0.40760763243494,Downregulated
1572,0.407607632433105,Downregulated
1573,0.447148295054208,Downregulated
1580,0.463479404784232,Downregulated
1601,7.18191565287916,Upregulated
1602,7.18191584086466,Upregulated
1603,7.18191475707618,Upregulated
1604,7.1819158408492,Upregulated
1605,7.18191584084934,Upregulated
1606,7.18191583995964,Upregulated
1607,7.18191576433937,Upregulated
1608,7.1819158408511,Upregulated
1609,7.18191584086381,Upregulated
1610,7.18191584083017,Upregulated
1611,7.18191565289803,Upregulated
1619,2.23404230003111,Upregulated
1948,63.0795886550497,Upregulated
1972,16609.1120103664,Upregulated
2009,0.283957045698131,Downregulated
2019,5.90822597298804,Upregulated
2022,16996.5279376828,Upregulated
2038,0.5,Downregulated
2083,0.181885229941577,Downregulated
2084,0.181885229941577,Downregulated
2089,0.425642620539882,Downregulated
2090,0.0695689544378408,Downregulated
2102,19178.4143651978,Upregulated
2103,7715.13741674838,Upregulated
2104,1943.90216971202,Upregulated
2117,9997.0720076279,Upregulated
2157,2.92592575633932,Upregulated
2165,2.20703084115098,Upregulated
2181,159.421294311585,Upregulated
2227,2861.7597614646,Upregulated
2230,0.0110351542502903,Downregulated
2257,0.381989266914044,Downregulated
2261,0.362368734153483,Downregulated
2287,0.209711763208828,Downregulated
2295,8840.66547734706,Upregulated
2331,17894.3644883391,Upregulated
2388,0.242220589116054,Downregulated
2395,0.01,Downregulated
2418,0.0717334978268119,Downregulated
2433,52.9398933429852,Upregulated
2434,106.022219669101,Upregulated
2484,113.679037061428,Upregulated
2548,697.390290225667,Upregulated
2560,697.390290225667,Upregulated
2606,2,Upregulated
2614,2.67712926269504,Upregulated
2636,0.138396262635339,Downregulated
2645,0.144133927938569,Downregulated
2757,34.6406265757938,Upregulated
2766,16737.1319279647,Upregulated
3021,187.862385899085,Upregulated
3098,1146.39792879607,Upregulated
3171,10.6598003849948,Upregulated
3175,0.0288742025284905,Downregulated
3177,16786.8983546012,Upregulated
3184,0.10109401135219,Downregulated
3185,0.0288742025288283,Downregulated
3189,0.0140761899199007,Downregulated
3192,0.0243474165487124,Downregulated
3198,0.0319694674815928,Downregulated
3201,2172.72846210588,Upregulated
3202,0.0594288068327196,Downregulated
3203,0.059428804624983,Downregulated
3204,2171.02018688358,Upregulated
3227,0.0267636330837985,Downregulated
3229,0.0154730987479966,Downregulated
3238,12052.8574205748,Upregulated
3344,5.35046065958431,Upregulated
3356,0.0118520484182321,Downregulated
3359,8.26391058755137,Upregulated
3379,0.182650413401183,Downregulated
3389,0.5,Downregulated
3412,0.214220460843623,Downregulated
3413,0.214220460843623,Downregulated
3442,0.184056790178522,Downregulated
3476,0.386388149213209,Downregulated
3485,0.317613817882942,Downregulated
3487,0.317613817882942,Downregulated
3494,8547.27542130681,Upregulated
3500,0.291711843911634,Downregulated
3511,0.29171184391363,Downregulated
3528,2.99999418036194,Upregulated
3554,754.115964752012,Upregulated
3555,2935.37091078047,Upregulated
3557,567.891953364369,Upregulated
3590,13270.7359336582,Upregulated
3615,0.333334243981304,Downregulated
3616,0.333334243981304,Downregulated
3617,0.333334243981304,Downregulated
3620,2.42306804404647,Upregulated
3636,0.222324054164879,Downregulated
3637,0.206601099603539,Downregulated
3638,0.233976454511621,Downregulated
3640,0.203899008703653,Downregulated
3641,0.182650413400997,Downregulated
3642,0.162998911413364,Downregulated
3646,0.209346997802598,Downregulated
3651,7.75217560300671,Upregulated
3703,2.54091054306354,Upregulated
3704,2.54091054306354,Upregulated
3710,0.317613817882942,Downregulated
3720,0.317613817882063,Downregulated
3726,4.51715748662516,Upregulated
3729,0.317613817882063,Downregulated
3731,0.317613817882063,Downregulated
3757,0.317613817882942,Downregulated
3758,0.317613817882942,Downregulated
3765,12822.7627401278,Upregulated
3769,0.01,Downregulated
3791,0.01,Downregulated
3792,0.080192402186559,Downregulated
3794,0.123300008784509,Downregulated
3795,0.199240730652435,Downregulated
3824,9.79872198916132,Upregulated
3841,0.0721751841504825,Downregulated
3864,2.69144040670819,Upregulated
3867,4.51715748666827,Upregulated
3868,2.83363540076037,Upregulated
3891,0.421508094917079,Downregulated
3914,3.99999752082476,Upregulated
3930,0.317613817887563,Downregulated
3943,658.403952313358,Upregulated
3965,3.79914487837449,Upregulated
3973,6.25857174924832,Upregulated
3982,4.49128144625468,Upregulated
4025,0.266983719625751,Downregulated
4028,5771.91708509301,Upregulated
4039,330.044877038777,Upregulated
4045,0.224208824047936,Downregulated
4133,0.188187891013275,Downregulated
4143,2.50252473345781,Upregulated
4144,0.420169445636588,Downregulated
4156,0.0641636650067508,Downregulated
4168,0.374994300719716,Downregulated
4169,0.0927005591252345,Downregulated
4206,1052.26834046769,Upregulated
4208,0.0185401118251225,Downregulated
4211,0.0609593928210203,Downregulated
4242,0.0283540645809156,Downregulated
4252,2.85355705767196,Upregulated
4260,0.277241301320453,Downregulated
4264,8.95161017759555,Upregulated
4281,0.0460243158252651,Downregulated
4312,12.1265801517975,Upregulated
4313,28.4443385791432,Upregulated
4314,0.374994300724819,Downregulated
4334,0.375769729326782,Downregulated
4336,0.374994300722965,Downregulated
4338,0.447125464914466,Downregulated
4353,0.19681462108949,Downregulated
4385,0.0792093027791093,Downregulated
4408,4.2311438389529,Upregulated
4411,3.99999646804734,Upregulated
4412,3.95076412782883,Upregulated
4420,3.9507641279946,Upregulated
4428,28.4442959640609,Upregulated
4435,0.159249910711898,Downregulated
4437,10.5832908183928,Upregulated
4440,0.01,Downregulated
4451,0.400452740205204,Downregulated
4461,11612.0195240218,Upregulated
4466,0.446578934138723,Downregulated
4480,260.386692110929,Upregulated
4485,1402.21079655348,Upregulated
4494,0.178844902451365,Downregulated
4509,6,Upregulated
4525,0.0299997973449291,Downregulated
4530,0.374994300719887,Downregulated
4549,0.374994300724348,Downregulated
4551,0.277548483986551,Downregulated
4553,0.113918918316347,Downregulated
4624,0.104117670171984,Downregulated
4630,0.0203198370250419,Downregulated
4631,0.0203198370250419,Downregulated
4632,0.0203198370250419,Downregulated
4648,0.0460243158252651,Downregulated
4664,0.0750805675842378,Downregulated
4686,4433.49178514463,Upregulated
4687,0.010292766595557,Downregulated
4688,0.010292766595557,Downregulated
4689,0.010292766595557,Downregulated
4690,0.010292766595557,Downregulated
4691,0.010292766595557,Downregulated
4692,0.010292766595557,Downregulated
4693,0.010292766595557,Downregulated
4695,937.961325884738,Upregulated
4696,939.257935644387,Upregulated
4740,0.323121134248943,Downregulated
4742,0.374994300723677,Downregulated
4759,0.277548475266583,Downregulated
4767,5.75232578657007,Upregulated
4790,3225.73829041243,Upregulated
4796,0.010292766595557,Downregulated
4798,5345.87052509854,Upregulated
4800,15.2523688137066,Upregulated
4801,0.0921368342124095,Downregulated
4802,0.010292766595557,Downregulated
4812,19.597384510353,Upregulated
4814,3.57442323889357,Upregulated
4817,0.0203198370250419,Downregulated
4820,0.0185401118251225,Downregulated
4824,0.125706908112123,Downregulated
4833,0.402084427071215,Downregulated
4849,12576.9930450462,Upregulated
4851,2050.63813827856,Upregulated
4862,0.469050934947933,Downregulated
4868,0.02,Downregulated
4875,2,Upregulated
4878,17655.6505730094,Upregulated
4884,5.61941430381681,Upregulated
4902,6383.07017053441,Upregulated
4913,0.020319837025072,Downregulated
4928,30.0099167228415,Upregulated
4937,0.374994300721955,Downregulated
4943,0.215414089500629,Downregulated
4947,0.169869178560138,Downregulated
4959,0.142221692895629,Downregulated
4969,13545.8883745065,Upregulated
4974,27.999805193737,Upregulated
4982,27.999805193737,Upregulated
4989,5.93223263634772,Upregulated
4990,18.0889240738754,Upregulated
4998,0.133038936083971,Downregulated
5001,8,Upregulated
5046,0.5,Downregulated
5068,0.5,Downregulated
5070,0.5,Downregulated
5072,0.5,Downregulated
5149,0.0490972544070886,Downregulated
5150,0.0490972544070886,Downregulated
5151,0.0460243158252651,Downregulated
