Reaction,FSR,RegulationStatus
4,956.952358717883,Upregulated
40,465.319890109796,Upregulated
45,6605.20823093701,Upregulated
87,0.5,Downregulated
92,4.02009491062707,Upregulated
108,0.0380187588334288,Downregulated
109,0.0380187588334288,Downregulated
110,0.0380187588334288,Downregulated
111,0.0411854414786346,Downregulated
112,0.0411854414786346,Downregulated
113,0.0411854414786346,Downregulated
133,2.05127932686036,Upregulated
154,0.330484591274252,Downregulated
155,0.01,Downregulated
158,0.483553616277967,Downregulated
164,0.446356024396284,Downregulated
225,17373.0031493988,Upregulated
240,0.242667056974144,Downregulated
256,17223.5383875636,Upregulated
257,0.333333333333333,Downregulated
264,0.0335671113350626,Downregulated
265,0.0688552667749106,Downregulated
277,0.5,Downregulated
339,4.46789143620553,Upregulated
370,4.85512956857738,Upregulated
375,0.347379476556027,Downregulated
397,4.03655790108282,Upregulated
399,4.03655793081224,Upregulated
405,12.9215264245811,Upregulated
406,12.2404267061904,Upregulated
425,2.13526089744294,Upregulated
426,2.13526087630041,Upregulated
430,16.5025496010175,Upregulated
443,0.5,Downregulated
487,0.29928088051669,Downregulated
516,8168.8919851298,Upregulated
561,0.107298782948554,Downregulated
564,0.166666666666667,Downregulated
565,0.108627011781953,Downregulated
571,2.9436938919981,Upregulated
574,4766.03739702866,Upregulated
580,747.511420852211,Upregulated
601,2155.78009580788,Upregulated
615,0.255842814723772,Downregulated
659,0.04401735829231,Downregulated
676,3459.39944921062,Upregulated
701,19795.3511335454,Upregulated
718,27.9175693655584,Upregulated
720,4232.28044392076,Upregulated
725,1803.92080769366,Upregulated
726,0.130399569627293,Downregulated
745,3.62329041685927,Upregulated
772,17658.6200011822,Upregulated
780,0.10471972994687,Downregulated
784,1036.08969444017,Upregulated
785,55.5855816194801,Upregulated
797,0.0380187588334288,Downregulated
800,4.66862480917945,Upregulated
801,11.6565782940834,Upregulated
834,3.39143468967934,Upregulated
835,13.0822087351048,Upregulated
858,10293.4337168566,Upregulated
885,0.0582356041377403,Downregulated
887,1495.66783361776,Upregulated
888,1495.66783361321,Upregulated
924,67.3412910861158,Upregulated
933,9.25602718619731,Upregulated
938,13.5707642751189,Upregulated
939,0.201845875967225,Downregulated
940,8382.6846964639,Upregulated
942,4.46789143620553,Upregulated
948,0.371130171688194,Downregulated
961,18542.80398822,Upregulated
970,2072.1793888805,Upregulated
971,1036.08969444,Upregulated
987,0.48355361627823,Downregulated
988,0.483553616278714,Downregulated
989,0.333333333333333,Downregulated
990,0.333333333333333,Downregulated
1014,5820.64234523079,Upregulated
1015,4871.34335414889,Upregulated
1017,12001.6965929795,Upregulated
1051,0.488362389105844,Downregulated
1058,0.5,Downregulated
1059,14911.1088387406,Upregulated
1085,13738.4135000395,Upregulated
1097,0.5,Downregulated
1116,0.031391873009497,Downregulated
1117,15876.4016408567,Upregulated
1120,12854.6767246137,Upregulated
1125,459.48192738684,Upregulated
1136,525.943684770834,Upregulated
1140,1840.11333057804,Upregulated
1144,8235.13519005274,Upregulated
1161,8235.13519005273,Upregulated
1174,4573.11845779369,Upregulated
1193,16443.0170737795,Upregulated
1216,0.483553616275235,Downregulated
1217,0.483553616276737,Downregulated
1225,28.7230281995866,Upregulated
1226,4.10254347403365,Upregulated
1246,0.234525303375981,Downregulated
1249,4.0365579443296,Upregulated
1252,4.46789329059974,Upregulated
1254,4.03655801498793,Upregulated
1271,16.442659513996,Upregulated
1277,15.8532337117616,Upregulated
1300,0.482459670166082,Downregulated
1308,0.168360682506017,Downregulated
1309,0.0582356041377958,Downregulated
1310,0.0916121590683257,Downregulated
1311,0.092833013994285,Downregulated
1312,0.0582356041377958,Downregulated
1313,0.0582356041376732,Downregulated
1315,0.5,Downregulated
1322,0.273225663807828,Downregulated
1328,0.302083547874682,Downregulated
1338,0.482459670166849,Downregulated
1342,0.282925345453269,Downregulated
1349,0.333333333333333,Downregulated
1350,0.325468326498499,Downregulated
1351,0.227602071501725,Downregulated
1363,0.227602071501725,Downregulated
1374,0.227602071501725,Downregulated
1379,0.302083547874682,Downregulated
1384,0.463841696738895,Downregulated
1385,0.463841696738895,Downregulated
1401,0.407091712347972,Downregulated
1402,0.463841696738895,Downregulated
1407,0.463841696738895,Downregulated
1412,0.273225663807828,Downregulated
1414,0.273225663807828,Downregulated
1416,0.463841696738895,Downregulated
1417,0.282925345453269,Downregulated
1438,0.5,Downregulated
1439,0.201884308403395,Downregulated
1446,0.5,Downregulated
1448,0.5,Downregulated
1450,0.5,Downregulated
1452,0.5,Downregulated
1454,0.5,Downregulated
1470,0.0536493914744121,Downregulated
1471,0.108627011781365,Downregulated
1477,0.282925345453269,Downregulated
1495,0.405826929622929,Downregulated
1497,0.5,Downregulated
1499,0.48245967016498,Downregulated
1500,0.01,Downregulated
1504,0.227602071501725,Downregulated
1507,0.01,Downregulated
1508,0.277763330952943,Downregulated
1510,0.273225663807828,Downregulated
1521,0.01,Downregulated
1522,0.5,Downregulated
1523,0.333333333333333,Downregulated
1525,0.0536493914744662,Downregulated
1527,0.302083547874682,Downregulated
1550,0.363635952600658,Downregulated
1557,0.168399763939734,Downregulated
1562,0.0536493914743936,Downregulated
1563,0.13527564320945,Downregulated
1564,0.281612369298726,Downregulated
1570,0.5,Downregulated
1571,0.5,Downregulated
1572,0.5,Downregulated
1601,7.18075716437008,Upregulated
1602,7.18075716547845,Upregulated
1603,7.18075716549925,Upregulated
1604,7.18075715403829,Upregulated
1605,7.18075714814461,Upregulated
1606,7.18075714815038,Upregulated
1607,7.18075700890846,Upregulated
1608,7.18075715586653,Upregulated
1609,7.18075706020414,Upregulated
1610,7.18075716435686,Upregulated
1611,7.18075716436183,Upregulated
1616,16443.142125628,Upregulated
1619,2.23394764334692,Upregulated
1630,8688.0302956813,Upregulated
1948,14.7333987228033,Upregulated
1951,13661.4798536653,Upregulated
1972,14039.1803327504,Upregulated
2009,0.428557728532483,Downregulated
2015,5.13518796044102,Upregulated
2019,14.9475680318279,Upregulated
2022,17045.5514280128,Upregulated
2038,0.5,Downregulated
2090,0.307365012322679,Downregulated
2102,12964.164657608,Upregulated
2103,6395.05457064324,Upregulated
2104,1607.24865851332,Upregulated
2109,6008.98259809936,Upregulated
2117,3519.09860186067,Upregulated
2157,2.9258230591113,Upregulated
2165,2.20700797158681,Upregulated
2181,37.233885942008,Upregulated
2187,8096.58200871986,Upregulated
2188,14450.569027093,Upregulated
2227,654.489129230125,Upregulated
2230,0.0110350398582386,Downregulated
2257,0.48872190313961,Downregulated
2261,0.462748520839259,Downregulated
2279,5861.7197466246,Upregulated
2284,7893.03290725331,Upregulated
2287,0.268305390824622,Downregulated
2295,2590.783606886,Upregulated
2298,8730.20879354699,Upregulated
2331,5235.77172802868,Upregulated
2332,8106.87196987863,Upregulated
2349,14450.5689060191,Upregulated
2353,14450.5689060191,Upregulated
2354,14450.5689060191,Upregulated
2395,0.01,Downregulated
2418,0.242960626522346,Downregulated
2433,12.3650863147234,Upregulated
2434,24.7634404912393,Upregulated
2484,26.5518308648184,Upregulated
2548,648.070660119214,Upregulated
2560,648.070657138179,Upregulated
2606,2,Upregulated
2685,14450.568974865,Upregulated
2686,5812.31258353193,Upregulated
2757,8.09095574971258,Upregulated
2766,3827.80942508523,Upregulated
2872,0.5,Downregulated
2966,12565.6283084885,Upregulated
3098,1065.3243768154,Upregulated
3171,10.6588590094912,Upregulated
3175,0.104642459661726,Downregulated
3177,13913.542362193,Upregulated
3184,0.366315236786656,Downregulated
3185,0.104642459665667,Downregulated
3189,0.0510134555930895,Downregulated
3192,0.0882350359578966,Downregulated
3198,0.115602459472143,Downregulated
3201,1798.59446123525,Upregulated
3202,0.214893443535858,Downregulated
3203,0.214893443529394,Downregulated
3204,1798.45333096054,Upregulated
3227,0.112360391478439,Downregulated
3229,0.0649616311697622,Downregulated
3238,11228.2524361842,Upregulated
3271,14450.569012849,Upregulated
3272,14450.569012849,Upregulated
3273,14450.569012849,Upregulated
3274,14450.569012849,Upregulated
3344,10.0579045065866,Upregulated
3354,10973.4641045125,Upregulated
3355,12480.3005709955,Upregulated
3356,0.011851817550489,Downregulated
3359,11.0306202210382,Upregulated
3374,18149.8945747705,Upregulated
3379,0.248411892522715,Downregulated
3389,0.5,Downregulated
3412,0.329756343833581,Downregulated
3413,0.329756343833581,Downregulated
3441,2.01731190579569,Upregulated
3494,2499.21618902236,Upregulated
3500,0.391558229205212,Downregulated
3511,0.391558229205349,Downregulated
3513,2.93591743308272,Upregulated
3528,2.99997455374289,Upregulated
3549,5264.0598371969,Upregulated
3551,8480.61766461205,Upregulated
3554,172.494785475777,Upregulated
3555,672.972814865371,Upregulated
3556,7423.56264180416,Upregulated
3557,129.877820609313,Upregulated
3559,7379.92166405261,Upregulated
3561,13744.1762974913,Upregulated
3564,3.66046253856813,Upregulated
3590,3647.96011659668,Upregulated
3615,0.336666666666667,Downregulated
3616,0.336666666666667,Downregulated
3617,0.336666666666667,Downregulated
3620,3.02259057463936,Upregulated
3632,16347.4465897813,Upregulated
3633,16347.4465897813,Upregulated
3636,0.293386485229689,Downregulated
3637,0.275784969423774,Downregulated
3638,0.310452823463399,Downregulated
3640,0.276240507748761,Downregulated
3641,0.248411892523,Downregulated
3642,0.225982015039012,Downregulated
3646,0.293846863931058,Downregulated
3647,11164.0798177587,Upregulated
3651,12.057153042366,Upregulated
3703,7.49762047765592,Upregulated
3704,7.49762047764854,Upregulated
3726,13.328886159962,Upregulated
3765,2994.99213232244,Upregulated
3769,0.01,Downregulated
3791,0.01,Downregulated
3792,0.318210571456578,Downregulated
3794,0.434912800167295,Downregulated
3824,9.77310780387098,Upregulated
3841,0.225220969003871,Downregulated
3864,8,Upregulated
3865,2.66662761015633,Upregulated
3866,3.45538378934266,Upregulated
3867,13.3288861599735,Upregulated
3868,11.5433337000626,Upregulated
3888,3.24661532548176,Upregulated
3906,3,Upregulated
3914,3.99998915980586,Upregulated
3931,2,Upregulated
3943,153.782354113414,Upregulated
3947,13744.1762652777,Upregulated
3949,13744.1763554757,Upregulated
3951,13744.176334,Upregulated
3960,5726.74004028889,Upregulated
3961,13744.1763855417,Upregulated
3975,12903.687540402,Upregulated
3979,6451.84380451062,Upregulated
3987,9643.38821390658,Upregulated
3988,9643.38818483275,Upregulated
3991,10434.5602813748,Upregulated
4028,4573.24164420326,Upregulated
4075,6.37003730117247,Upregulated
4090,9492.96724208738,Upregulated
4131,0.0340546797314888,Downregulated
4143,2.49932309227735,Upregulated
4144,4.92995340148414,Upregulated
4156,0.219608357728628,Downregulated
4169,0.192307692307692,Downregulated
4206,499.529709892266,Upregulated
4208,0.0384615384615385,Downregulated
4211,0.124998939739285,Downregulated
4242,0.293781136061588,Downregulated
4252,5.87170562002943,Upregulated
4257,2.80852681289144,Upregulated
4264,8.95148333325565,Upregulated
4281,0.111111111111111,Downregulated
4312,27.7463062394907,Upregulated
4313,28.4439815532225,Upregulated
4385,0.267106672389395,Downregulated
4408,4.23051560993704,Upregulated
4411,3.99998455655058,Upregulated
4412,3.95075340736512,Upregulated
4420,3.95075340736505,Upregulated
4428,28.4437952240059,Upregulated
4435,0.0371957479057718,Downregulated
4436,10162.3934470114,Upregulated
4437,17.3901719937109,Upregulated
4438,5823.15346318497,Upregulated
4440,0.01,Downregulated
4461,9568.85026814643,Upregulated
4466,0.104306152547467,Downregulated
4478,0.5,Downregulated
4480,61.2767391738055,Upregulated
4482,0.0263740563992993,Downregulated
4483,0.0263740563992202,Downregulated
4484,0.0263740563992203,Downregulated
4485,892.903668440332,Upregulated
4494,0.0417725173684094,Downregulated
4496,0.322606345700293,Downregulated
4509,6,Upregulated
4514,19768.2453077045,Upregulated
4525,0.0299991138053671,Downregulated
4553,0.382496170951671,Downregulated
4554,5462.09087066976,Upregulated
4624,598.764288878747,Upregulated
4630,0.0416666666666667,Downregulated
4631,0.0416666666666667,Downregulated
4632,0.0416666666666667,Downregulated
4648,0.111111111111111,Downregulated
4664,0.142857142857143,Downregulated
4686,2418.08208316392,Upregulated
4687,0.0285714285714286,Downregulated
4688,0.0285714285714286,Downregulated
4689,0.0285714285714286,Downregulated
4690,0.0285714285714286,Downregulated
4691,0.0285714285714286,Downregulated
4692,0.0285714285714286,Downregulated
4693,0.0285714285714286,Downregulated
4695,596.277835492782,Upregulated
4696,596.291618139126,Upregulated
4747,5.49311024945654,Upregulated
4767,5.75116526898619,Upregulated
4790,2052.63342138803,Upregulated
4796,0.0285714285714286,Downregulated
4798,3393.79106417942,Upregulated
4800,17.9029666665098,Upregulated
4801,0.255756666664486,Downregulated
4802,0.0285714285714286,Downregulated
4812,19.5459520507575,Upregulated
4814,3.57427556453054,Upregulated
4817,0.0416666666666667,Downregulated
4820,0.0384615384615383,Downregulated
4824,0.423322186910701,Downregulated
4849,9982.8013590377,Upregulated
4851,1286.91280564705,Upregulated
4868,0.02,Downregulated
4878,15507.1370530763,Upregulated
4883,12981.1709824375,Upregulated
4884,8.69508574975014,Upregulated
4902,2993.41223490625,Upregulated
4913,0.0416666666666667,Downregulated
