Reaction,FSR,RegulationStatus
4,718.544784408606,Upregulated
27,0.442581123803152,Downregulated
45,1908.2252519946,Upregulated
87,0.5,Downregulated
92,4.02009305528632,Upregulated
108,0.0138577336520412,Downregulated
109,0.0138577336520412,Downregulated
110,0.0138577336520412,Downregulated
111,0.015075402222972,Downregulated
112,0.0150754022246548,Downregulated
113,0.015075402222972,Downregulated
117,0.384290464275136,Downregulated
131,0.362871607067272,Downregulated
133,2.05127842292,Upregulated
154,0.279906615063315,Downregulated
155,0.01,Downregulated
158,0.171529909962808,Downregulated
159,0.412591402117597,Downregulated
164,0.181654822498091,Downregulated
187,7770.16707726026,Upregulated
198,0.441667392591784,Downregulated
240,0.116241250953902,Downregulated
242,0.383205934769877,Downregulated
256,4524.91191085697,Upregulated
257,0.138577336540736,Downregulated
258,0.412591402117775,Downregulated
264,0.011782350456501,Downregulated
265,0.024168762119414,Downregulated
268,16357.5170293042,Upregulated
277,0.5,Downregulated
295,0.312617158611284,Downregulated
296,0.312750124766897,Downregulated
298,7388.34647487467,Upregulated
331,2,Upregulated
339,4.46808971786431,Upregulated
356,13972.4096051486,Upregulated
370,2.13742206808607,Upregulated
375,0.0520682320384508,Downregulated
422,12159.9662341978,Upregulated
425,0.320051287189817,Downregulated
426,0.3200512859226,Downregulated
429,12008.9149249479,Upregulated
430,2.47354421805487,Upregulated
431,18329.5643706856,Upregulated
443,0.5,Downregulated
487,0.251498168131649,Downregulated
516,5205.4816714593,Upregulated
561,0.0388538804346922,Downregulated
564,0.0856967525484617,Downregulated
565,0.052031686819939,Downregulated
571,2.94347417970116,Upregulated
574,1304.42067314337,Upregulated
575,6013.35312211347,Upregulated
580,205.457502829832,Upregulated
589,16357.5170553437,Upregulated
597,11440.3641258364,Upregulated
601,593.26662254778,Upregulated
602,16357.5170489793,Upregulated
605,0.469997658906157,Downregulated
608,13237.7396344857,Upregulated
615,0.115559043294866,Downregulated
629,17889.3806523517,Upregulated
648,8438.73967831654,Upregulated
651,8693.76846346951,Upregulated
659,0.0159534173788118,Downregulated
676,1315.88300690539,Upregulated
686,16079.2359701287,Upregulated
701,14863.6931837791,Upregulated
718,27.9171511913984,Upregulated
720,1511.07175995318,Upregulated
725,643.586945949812,Upregulated
726,0.0619879076669055,Downregulated
745,3.09512742458647,Upregulated
753,0.0120281573285586,Downregulated
760,13871.9365515948,Upregulated
761,8435.97274449166,Upregulated
763,6935.9682946966,Upregulated
770,8438.73960961283,Upregulated
772,4805.62898804614,Upregulated
777,8438.73965385386,Upregulated
778,8438.73972724191,Upregulated
779,16877.4793503873,Upregulated
780,0.038838369050864,Downregulated
784,1036.09628445561,Upregulated
785,20.128180577536,Upregulated
797,0.0138577336520412,Downregulated
800,4.54019826983765,Upregulated
801,4.105523149246,Upregulated
814,12994.1924099139,Upregulated
817,17111.2145949366,Upregulated
833,0.225264648943278,Downregulated
835,5.75918827717641,Upregulated
838,0.271172413562982,Downregulated
839,0.279033102263207,Downregulated
846,11977.6270253655,Upregulated
858,7729.00871773774,Upregulated
859,19316.0487408106,Upregulated
860,0.454436648756897,Downregulated
868,0.28583616826441,Downregulated
880,16082.3212683616,Upregulated
885,0.0217743985473133,Downregulated
887,411.123496142184,Upregulated
888,411.123496202221,Upregulated
889,8562.75123002654,Upregulated
924,10.0936924932078,Upregulated
938,2.0341029784119,Upregulated
939,0.0302545686003592,Downregulated
940,6294.30016906725,Upregulated
942,4.46808971786431,Upregulated
946,0.490912593793508,Downregulated
947,0.407402013279479,Downregulated
948,0.236786564316493,Downregulated
950,0.478608288953409,Downregulated
952,0.285836168298512,Downregulated
953,0.285836168273195,Downregulated
960,10786.8197450366,Upregulated
961,13923.1958260397,Upregulated
970,2072.19256891153,Upregulated
971,495.884269886521,Upregulated
987,0.171529909962224,Downregulated
988,0.171529909966171,Downregulated
989,0.127897932842424,Downregulated
990,0.333333333333333,Downregulated
991,0.418803821120407,Downregulated
993,0.420842075680465,Downregulated
1000,0.285836168269528,Downregulated
1014,1529.18019935625,Upregulated
1015,1279.71094248386,Upregulated
1017,7633.37418678101,Upregulated
1034,0.285836168454484,Downregulated
1051,0.19397649563188,Downregulated
1058,0.20614194331999,Downregulated
1059,5036.99428502746,Upregulated
1067,0.354290212807445,Downregulated
1085,4469.81666638169,Upregulated
1087,5243.0646627586,Upregulated
1097,0.5,Downregulated
1101,0.412591402118415,Downregulated
1116,0.0113773287443879,Downregulated
1117,4320.61479749053,Upregulated
1120,3556.52106843382,Upregulated
1123,10603.0124339489,Upregulated
1125,125.053120552015,Upregulated
1126,10603.0124339489,Upregulated
1136,143.877359546769,Upregulated
1137,8424.80533979443,Upregulated
1140,505.810022246148,Upregulated
1144,2266.29371900079,Upregulated
1148,6096.15334522561,Upregulated
1152,8424.80533979443,Upregulated
1157,17067.6188187281,Upregulated
1159,13612.3791366361,Upregulated
1161,2266.29371900079,Upregulated
1172,9590.3774812429,Upregulated
1174,3003.65443879266,Upregulated
1193,12347.3658498237,Upregulated
1195,0.344783099697546,Downregulated
1203,19983.5088293269,Upregulated
1208,5846.71530036469,Upregulated
1216,0.171529909963499,Downregulated
1217,0.171529909962846,Downregulated
1225,28.7264076736709,Upregulated
1226,4.10253662969339,Upregulated
1246,0.0351457752223789,Downregulated
1252,4.30699849156091,Upregulated
1266,17712.2667833597,Upregulated
1271,7.0789399835521,Upregulated
1277,6.82489794261541,Upregulated
1298,0.441667731803973,Downregulated
1300,0.311363229858406,Downregulated
1301,0.285836168298512,Downregulated
1303,0.304461190082333,Downregulated
1308,0.070652203976198,Downregulated
1309,0.0217743985497755,Downregulated
1310,0.0357366169061571,Downregulated
1311,0.0363634517132182,Downregulated
1312,0.0217743985497755,Downregulated
1313,0.0217743985567356,Downregulated
1315,0.216529967978329,Downregulated
1321,0.285836168271653,Downregulated
1322,0.0984912083855659,Downregulated
1324,0.443861097479579,Downregulated
1328,0.268567033133888,Downregulated
1331,0.443861097479579,Downregulated
1332,0.412591402138611,Downregulated
1338,0.311363229855764,Downregulated
1342,0.0908980113262626,Downregulated
1345,0.242719036052692,Downregulated
1346,0.441667392642439,Downregulated
1349,0.333333333333333,Downregulated
1350,0.12252136425808,Downregulated
1351,0.0795295823300144,Downregulated
1354,0.412591402118467,Downregulated
1356,0.220247133542406,Downregulated
1359,0.412591402117762,Downregulated
1361,0.441667392642439,Downregulated
1362,0.441667392592656,Downregulated
1363,0.0795295823300144,Downregulated
1368,0.478608288945708,Downregulated
1373,0.490912593794099,Downregulated
1374,0.0795295823300144,Downregulated
1379,0.268567033133888,Downregulated
1382,0.42983163996083,Downregulated
1383,0.412591402119762,Downregulated
1384,0.170504897109056,Downregulated
1385,0.170504897109056,Downregulated
1386,0.28583616831357,Downregulated
1388,0.277463512495507,Downregulated
1391,0.414704068947387,Downregulated
1393,0.467396674099368,Downregulated
1399,0.490912593794099,Downregulated
1401,0.160194887924003,Downregulated
1402,0.170504897109056,Downregulated
1403,0.247167131423189,Downregulated
1407,0.170504897109056,Downregulated
1408,0.427794512950247,Downregulated
1411,0.285836168272274,Downregulated
1412,0.0984912083855659,Downregulated
1413,0.412591402191038,Downregulated
