Reaction,FSR,RegulationStatus
ad_10fthf7glutl,0.305100353118465,Downregulated
ad_10fthf7glutm,0.161658225033612,Downregulated
ad_10fthftl,0,Unchanged
ad_13damppox,0.17754960744358,Downregulated
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,0.629729201245646,Unchanged
ad_34dhoxpegt,0.629729201245646,Unchanged
ad_34hppor,0.63286052391476,Unchanged
ad_3dsphr,0.0724261705987445,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,0.921253531575127,Unchanged
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,0.301624033088712,Downregulated
ad_3mldat,0.211130912034312,Downregulated
ad_3mobt2im,0.921455211833516,Unchanged
ad_3mopt2im,0.23489444787319,Downregulated
ad_3moxtyrox,0.301624032824926,Downregulated
ad_3salacboxl,0.702644682851974,Unchanged
ad_3salaox,0.751429202167007,Unchanged
ad_41r1h2mae12boox,0.646173388331508,Unchanged
ad_41r2a1h12boox,0.629729222748302,Unchanged
ad_42a12boox,0.542585098284161,Unchanged
ad_4hglsdm,1.1340387688076,Unchanged
ad_4hoxpacdox_nadp_,0.385441066993513,Downregulated
ad_4mopt2im,0,Unchanged
ad_4pyrdx,0.312356921833606,Downregulated
ad_5aoptm,0,Unchanged
ad_5hltdl,0.472317102746157,Downregulated
ad_5hoxindacto2ox,0.836800886320223,Unchanged
ad_5hoxinoxda,0.472317102746157,Downregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,0.180240029996486,Downregulated
ad_7dhftm,0.17862347393287,Downregulated
ad_7thftm,0.179294076822759,Downregulated
ad_a4galtg,0.315254435786646,Downregulated
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,1.6606331705501,Unchanged
ad_acact1rm,0.448891122343975,Downregulated
ad_acact1x,0,Unchanged
ad_acact4p,0.979164763541144,Unchanged
ad_acact5p,0.378079543636751,Downregulated
ad_acact6p,0.378079612424623,Downregulated
ad_acact7p,0.378079612424623,Downregulated
ad_acact8p,1.74103186003483,Unchanged
ad_acact9p,1.741031639149,Unchanged
ad_acaldtm,0,Unchanged
ad_accoacm,0.243212840850685,Downregulated
ad_accoalm,0.431277593859197,Downregulated
ad_accoatr,0.999999597725546,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,0.25023926797644,Downregulated
ad_acgam6psi,24.8769441906756,Upregulated
ad_acgamk,1.6148613810933,Unchanged
ad_acgampm,1.61486198802046,Unchanged
ad_acgamtly,1.6148613810933,Unchanged
ad_acitl,0.286198783716931,Downregulated
ad_acnam9pl,0.271765259102007,Downregulated
ad_acnamlt,0,Unchanged
ad_acnamph,0.271765259102007,Downregulated
ad_acnmlr,0.271765259102007,Downregulated
ad_acoad10m,0.234894227804534,Downregulated
ad_acoad1fm,0.294502377576857,Downregulated
ad_acoad9m,0.127789005624215,Downregulated
ad_acoao7p,0.378079612424623,Downregulated
ad_acontm,0,Unchanged
ad_acp1_fmn_,0.350201242942506,Downregulated
ad_acrntm,157741.367665624,Upregulated
ad_acs2,0.250239296691724,Downregulated
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,0.450135303830648,Downregulated
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,0.236526338289876,Downregulated
ad_adncyc,0.250239343691749,Downregulated
ad_adnt,0,Unchanged
ad_adntl,0.0181073679553705,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,1.98465173495612,Unchanged
ad_adrncpt1,0.408573500873173,Downregulated
ad_adrncpt2,0.408573499008737,Downregulated
ad_adrncrnt,0,Unchanged
ad_adsk,0.344827538496626,Downregulated
ad_ag13t16g,0.262767297677032,Downregulated
ad_ag13t17g,0.262767297677032,Downregulated
ad_ag13t18g,0.262767297677032,Downregulated
ad_ag13t1g,0.26268767527045,Downregulated
ad_ag13t2g,0.26268767527045,Downregulated
ad_ag13t3g,0.26268767527045,Downregulated
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,0.448253127971758,Downregulated
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,0.3854410090939,Downregulated
ad_aldd20xm,0.364392331307215,Downregulated
ad_aldd21,0.0428479471925721,Downregulated
ad_aldd2xm,2.23218869460188,Upregulated
ad_aldd2y,1.43535177611658,Unchanged
ad_alox52,11347052.7935979,Upregulated
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,0.52523596118207,Unchanged
ad_ametr,6.03114300657049e-06,Unchanged
ad_amett2m,0.275037678032778,Downregulated
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.119867914047842,Downregulated
ad_arachcpt1,3.05343182891145,Upregulated
ad_arachcpt2,3.05343046293481,Upregulated
ad_arachcrnt,0,Unchanged
ad_argss,0.226011040474845,Downregulated
ad_arsa,0.362989135273888,Downregulated
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,0.122798943832635,Downregulated
ad_artplm3,3.24598587265881,Upregulated
ad_asah1,0.573833706464371,Unchanged
ad_ascbt4,517200.492143813,Upregulated
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
