Reaction,FSR,RegulationStatus
ad_10fthf7glutl,1.21439356001277,Unchanged
ad_10fthf7glutm,0.624714569133795,Unchanged
ad_10fthftl,0,Unchanged
ad_13damppox,0.6698851916734,Unchanged
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,2.51008623487185,Upregulated
ad_34dhoxpegt,2.51008623487185,Upregulated
ad_34hppor,2.41080952604598,Upregulated
ad_3dsphr,0.28437702822496,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,155.362111007352,Upregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,1.20550297379827,Unchanged
ad_3mldat,0.835232766118212,Unchanged
ad_3mobt2im,155.612101992492,Upregulated
ad_3mopt2im,0.909230188411329,Unchanged
ad_3moxtyrox,1.20550297379827,Unchanged
ad_3salacboxl,2.75540084782562,Upregulated
ad_3salaox,2.84037695758088,Upregulated
ad_41r1h2mae12boox,2.45295157383369,Upregulated
ad_41r2a1h12boox,2.51133254592335,Upregulated
ad_42a12boox,2.28087120833244,Upregulated
ad_4hglsdm,1.13404965006595,Unchanged
ad_4hoxpacdox_nadp_,1.5882046799259,Unchanged
ad_4mopt2im,0,Unchanged
ad_4pyrdx,1.24189069496712,Unchanged
ad_5aoptm,0,Unchanged
ad_5hltdl,1.89066568021485,Unchanged
ad_5hoxindacto2ox,3.1973989171425,Upregulated
ad_5hoxinoxda,1.89066568021485,Unchanged
ad_5mthft2,0,Unchanged
ad_7dhftl,0.712598113980594,Unchanged
ad_7dhftm,0.702041282342265,Unchanged
ad_7thftm,0.70582502878322,Unchanged
ad_a4galtg,1.21480674642239,Unchanged
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,6.18922387599587,Upregulated
ad_acact1rm,2.37848450562563,Upregulated
ad_acact1x,0,Unchanged
ad_acact4p,5.28402756872488,Upregulated
ad_acact5p,2.04029460827825,Upregulated
ad_acact6p,2.03895358808695,Upregulated
ad_acact7p,2.03895358808695,Upregulated
ad_acact8p,8.0903598510775,Upregulated
ad_acact9p,8.09036082312561,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,0.943589307746642,Unchanged
ad_accoalm,1.72610857462029,Unchanged
ad_accoatr,0.999649805875107,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,0.994764721512697,Unchanged
ad_acgam6psi,95.3498658414885,Upregulated
ad_acgamk,5.98746894681871,Upregulated
ad_acgampm,5.98745008605336,Upregulated
ad_acgamtly,5.98746894681871,Upregulated
ad_acitl,1.14351850479402,Unchanged
ad_acnam9pl,1.07445262188966,Unchanged
ad_acnamlt,0,Unchanged
ad_acnamph,1.07445262188966,Unchanged
ad_acnmlr,1.07445262188966,Unchanged
ad_acoad10m,0.909230346465122,Unchanged
ad_acoad1fm,1.11749450850709,Unchanged
ad_acoad9m,0.373444151311128,Downregulated
ad_acoao7p,2.03895358808695,Upregulated
ad_acontm,0,Unchanged
ad_acp1_fmn_,1.3845578508954,Unchanged
ad_acrntm,199198.584872725,Unchanged
ad_acs2,0.994764776007773,Unchanged
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,0.806697619028327,Unchanged
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,0.867525700583289,Unchanged
ad_adncyc,0.994764774456122,Unchanged
ad_adnt,0,Unchanged
ad_adntl,0.283545946380525,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,7.66876495395004,Upregulated
ad_adrncpt1,1.37856065079017,Unchanged
ad_adrncpt2,1.37856067444565,Unchanged
ad_adrncrnt,0,Unchanged
ad_adsk,1.36264969429788,Unchanged
ad_ag13t16g,1.02378937517988,Unchanged
ad_ag13t17g,1.02378937517988,Unchanged
ad_ag13t18g,1.02378937517988,Unchanged
ad_ag13t1g,1.02197640224681,Unchanged
ad_ag13t2g,1.02197640224681,Unchanged
ad_ag13t3g,1.02197640224681,Unchanged
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,89.2037915353849,Upregulated
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,1.58820478448885,Unchanged
ad_aldd20xm,1.47832457532931,Unchanged
ad_aldd21,0.155439254335824,Downregulated
ad_aldd2xm,24.7065574086731,Upregulated
ad_aldd2y,18.7527798852927,Upregulated
ad_alox52,14338687.8450607,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,29.6835368841835,Upregulated
ad_ametr,9.15671686925634e-07,Unchanged
ad_amett2m,1.06229616676667,Unchanged
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.490484144523586,Downregulated
ad_arachcpt1,10.4666001365146,Upregulated
ad_arachcpt2,10.4665922649173,Upregulated
ad_arachcrnt,0,Unchanged
ad_argss,0.907937611713215,Unchanged
ad_arsa,1.43806311135537,Unchanged
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,2.15691286600552,Upregulated
ad_artplm3,9.6815187341404,Upregulated
ad_asah1,2.21442609541379,Upregulated
ad_ascbt4,654165.090324698,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.04612439991495,Unchanged
ad_aspt6,1.04612439991499,Unchanged
ad_atp1ter,1.10744751253363,Unchanged
ad_atp2ter,0,Unchanged
ad_atph1e,2374883.58009682,Unchanged
ad_atph2e,2151407.58437169,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,1.21480674642239,Unchanged
ad_b3galt41g,1.0080704344099,Unchanged
ad_b3galt5g,1.15742206937182,Unchanged
ad_baat3x,29.683536884355,Upregulated
ad_bamppaldox,0.86752570899176,Unchanged
ad_bhmt,0,Unchanged
ad_bildglcurte,1.07445268687751,Unchanged
ad_bilglcurtr,0,Unchanged
ad_bilired,0.966642475749447,Unchanged
ad_bilirubt2,0,Unchanged
ad_bilirubtr,8.7895172733225,Upregulated
ad_c14strr,1.81721481170877,Unchanged
ad_c161cpt12,1.63747157443189,Unchanged
ad_c161cpt22,6.56716708664668,Upregulated
ad_c180cpt1,0,Unchanged
ad_c180cpt2,0,Unchanged
ad_c180crnt,0,Unchanged
ad_c204cpt2,0,Unchanged
ad_c204crnt,0,Unchanged
ad_c226cpt1,4.0287333494835,Upregulated
ad_c226cpt2,4.02873317651019,Upregulated
ad_c3stdh1pr,1.8172149292033,Unchanged
ad_c3stkr2r,1.81721509903013,Unchanged
ad_c4stmo2pr,1.81721500327962,Unchanged
ad_caatps,1.07445268998035,Unchanged
ad_catm,1.29747398098851,Unchanged
ad_catp,0,Unchanged
ad_cbpper,1.07642850830331,Unchanged
ad_cbpter,1.07642850830331,Unchanged
ad_cbr2,0,Unchanged
ad_cdiptr,0,Unchanged
ad_cdpdagtm,4613.88863276082,Upregulated
ad_cdsm,0,Unchanged
ad_ceptc,1.7389318399368e-05,Unchanged
ad_cepte,0,Unchanged
ad_cerk,1.0744526851383,Unchanged
ad_cert1gt,0.000144825764105607,Unchanged
ad_cert1rt,0.878342823412179,Unchanged
ad_cert2gt,0,Unchanged
ad_cert2rt,1.15742222377607,Unchanged
ad_chlpctd,1.73893182519e-05,Unchanged
ad_chsterolt1,0,Unchanged
ad_chsteroltg,1.07445270550648,Unchanged
ad_cittam,0,Unchanged
ad_cittbm,0,Unchanged
ad_ckc,1.47742951212948,Unchanged
ad_cloxatex2,3681608.0772435,Unchanged
ad_clpndcoatx,0,Unchanged
ad_clpndcpt1,4.35444775348038,Upregulated
ad_clpndcpt2,4.35444688402651,Upregulated
ad_cmpacnatg,1.00807040032079,Unchanged
ad_cmpsas,0.994764758636039,Unchanged
ad_co2ter,0,Unchanged
ad_coatl,3.46145326413087,Upregulated
ad_coatm,1.99999446002185,Unchanged
ad_coatr,0,Unchanged
ad_core2gtg,1.02197640224681,Unchanged
ad_core3gtg,1.02378937517988,Unchanged
ad_core4gtg,1.02378937517988,Unchanged
ad_cot,0.966642433914679,Unchanged
ad_crncartp,199218.084254536,Unchanged
ad_csapasely,1.0300903470333,Unchanged
ad_csbpasely,1.03172710340855,Unchanged
ad_cscpasely,1.03009041056799,Unchanged
ad_csdpasely,1.03303147549748,Unchanged
ad_csepasely,1.03409523311511,Unchanged
ad_csm,0,Unchanged
ad_csnat2m,0,Unchanged
ad_csnat2x,1.99999952546949,Unchanged
ad_csnat3x,0,Unchanged
ad_csnater,0.999649805875107,Unchanged
ad_csnatm,0.691750135789646,Unchanged
ad_csnatp,0,Unchanged
ad_csnatr,0.999649805911704,Unchanged
ad_cspg_at,1.0300903470333,Unchanged
ad_cspg_atly,1.0300903470333,Unchanged
ad_cspg_bt,1.03172710340855,Unchanged
ad_cspg_btly,1.03172710340855,Unchanged
