Reaction,FSR,RegulationStatus
ad_10fthf7glutl,0.0919101678240053,Downregulated
ad_10fthf7glutm,0.0472970442700556,Downregulated
ad_10fthftl,0,Unchanged
ad_13damppox,0.0529287098457326,Downregulated
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,0.182404517609827,Downregulated
ad_34dhoxpegt,0.182404517609827,Downregulated
ad_34hppor,0.159597715720183,Downregulated
ad_3dsphr,0.0248164327126564,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,0.0648459383769674,Downregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,0.0911658381272572,Downregulated
ad_3mldat,0.0637752770603738,Downregulated
ad_3mobt2im,0.0648306456971805,Downregulated
ad_3mopt2im,0.0662839417863311,Downregulated
ad_3moxtyrox,0.0911658381272572,Downregulated
ad_3salacboxl,0.178747904420731,Downregulated
ad_3salaox,0.187250503653906,Downregulated
ad_41r1h2mae12boox,0.183088146256569,Downregulated
ad_41r2a1h12boox,0.182483642844878,Downregulated
ad_42a12boox,0.168656462338585,Downregulated
ad_4hglsdm,1.13405153950888,Unchanged
ad_4hoxpacdox_nadp_,0.115152116556603,Downregulated
ad_4mopt2im,0,Unchanged
ad_4pyrdx,0.0914053275511128,Downregulated
ad_5aoptm,0,Unchanged
ad_5hltdl,0.133415107981991,Downregulated
ad_5hoxindacto2ox,0.184611561391348,Downregulated
ad_5hoxinoxda,0.133415107981991,Downregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,0.0538148320729712,Downregulated
ad_7dhftm,0.0524298323343914,Downregulated
ad_7thftm,0.0525057934911077,Downregulated
ad_a4galtg,0.0958560505746606,Downregulated
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,0.470406107428592,Downregulated
ad_acact1rm,0.128291132360866,Downregulated
ad_acact1x,0,Unchanged
ad_acact4p,0.187257747514013,Downregulated
ad_acact5p,0.0722376247623734,Downregulated
ad_acact6p,0.0722854363851071,Downregulated
ad_acact7p,0.0722854363851071,Downregulated
ad_acact8p,6623.24632703287,Upregulated
ad_acact9p,6623.24633019941,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,0.0727798332817076,Downregulated
ad_accoalm,0.130353955437447,Downregulated
ad_accoatr,0.999999702985214,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,0.0751235862185977,Downregulated
ad_acgam6psi,5.22594327475024,Upregulated
ad_acgamk,0.484240149718867,Downregulated
ad_acgampm,0.484240609868697,Downregulated
ad_acgamtly,0.484240149718867,Downregulated
ad_acitl,0.0855036719561017,Downregulated
ad_acnam9pl,0.0811416061392689,Downregulated
ad_acnamlt,0,Unchanged
ad_acnamph,0.0811416061392689,Downregulated
ad_acnmlr,0.0811416061392689,Downregulated
ad_acoad10m,0.0662859272323052,Downregulated
ad_acoad1fm,0.0868602036024945,Downregulated
ad_acoad9m,2.08467154667595e-06,Unchanged
ad_acoao7p,0.0722854363851071,Downregulated
ad_acontm,0,Unchanged
ad_acp1_fmn_,0.104560226169499,Downregulated
ad_acrntm,243540.61914986,Unchanged
ad_acs2,0.0751236320772802,Downregulated
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,0.0674702012379817,Downregulated
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,0.0723340746495983,Downregulated
ad_adncyc,0.075123738466908,Downregulated
ad_adnt,0,Unchanged
ad_adntl,8.63916714161268e-07,Unchanged
ad_adntm,0,Unchanged
ad_adrncoatx,0.429126696090705,Downregulated
ad_adrncpt1,0.0954256654194597,Downregulated
ad_adrncpt2,0.0954258140314803,Downregulated
ad_adrncrnt,0,Unchanged
ad_adsk,0.100904787459094,Downregulated
ad_ag13t16g,0.0788579804515091,Downregulated
ad_ag13t17g,0.0788579804515091,Downregulated
ad_ag13t18g,0.0788579804515091,Downregulated
ad_ag13t1g,0.0788554175825733,Downregulated
ad_ag13t2g,0.0788554175825733,Downregulated
ad_ag13t3g,0.0788554175825733,Downregulated
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,0.399438962939874,Downregulated
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,0.115152135678061,Downregulated
ad_aldd20xm,0.108566246355253,Downregulated
ad_aldd21,0.00949251831197362,Unchanged
ad_aldd2xm,1.11699699438969,Unchanged
ad_aldd2y,0.847833763086819,Unchanged
ad_alox52,17536288.0652625,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,0.155038826325846,Downregulated
ad_ametr,1.25638006594715e-06,Unchanged
ad_amett2m,0.0834410981550069,Downregulated
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.0344337433373591,Downregulated
ad_arachcpt1,0,Unchanged
ad_arachcpt2,0,Unchanged
ad_arachcrnt,0,Unchanged
ad_argss,0.0710916156924227,Downregulated
ad_arsa,0.10860112219472,Downregulated
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,0.0369323048288798,Downregulated
ad_artplm3,0.787077066061003,Unchanged
ad_asah1,0.177003727807219,Downregulated
ad_ascbt4,799783.314485251,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.04612433532392,Unchanged
ad_aspt6,1.04612433532391,Unchanged
ad_atp1ter,0.0811416518204149,Downregulated
ad_atp2ter,0,Unchanged
ad_atph1e,5291433.43070974,Unchanged
ad_atph2e,4793510.59164399,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,0.0958560505746606,Downregulated
ad_b3galt41g,0.0776787481040291,Downregulated
ad_b3galt5g,0.0958560729692982,Downregulated
ad_baat3x,0.155038826347958,Downregulated
ad_bamppaldox,0.0704373530054915,Downregulated
ad_bhmt,0,Unchanged
ad_bildglcurte,0.0811415404256438,Downregulated
ad_bilglcurtr,0,Unchanged
ad_bilired,0.074337793475462,Downregulated
ad_bilirubt2,0,Unchanged
ad_bilirubtr,0.68713112490431,Unchanged
ad_c14strr,0.133993763289514,Downregulated
ad_c161cpt12,0.121304353778972,Downregulated
ad_c161cpt22,0,Unchanged
ad_c180cpt1,0,Unchanged
ad_c180cpt2,0,Unchanged
ad_c180crnt,0,Unchanged
ad_c204cpt2,0,Unchanged
ad_c204crnt,0,Unchanged
ad_c226cpt1,0.675066834131306,Unchanged
ad_c226cpt2,0.675065752515275,Unchanged
ad_c3stdh1pr,0.133993607267121,Downregulated
ad_c3stkr2r,0.133994017507294,Downregulated
ad_c4stmo2pr,0.13399719839709,Downregulated
ad_caatps,0.0811416016181567,Downregulated
ad_catm,0.0892016093154376,Downregulated
ad_catp,0,Unchanged
ad_cbpper,0.0827955923511439,Downregulated
ad_cbpter,0.0827955923511439,Downregulated
ad_cbr2,0,Unchanged
ad_cdiptr,0,Unchanged
ad_cdpdagtm,8.96711078437375,Upregulated
ad_cdsm,0,Unchanged
ad_ceptc,1.25639588755932e-06,Unchanged
ad_cepte,0,Unchanged
ad_cerk,0.0811417076634674,Downregulated
ad_cert1gt,9.16314842586841e-06,Unchanged
ad_cert1rt,0.0679634472245632,Downregulated
ad_cert2gt,0,Unchanged
ad_cert2rt,0.0958559248768167,Downregulated
ad_chlpctd,1.2563820196535e-06,Unchanged
ad_chsterolt1,0,Unchanged
ad_chsteroltg,0.0811415664130091,Downregulated
ad_cittam,0,Unchanged
ad_cittbm,0,Unchanged
ad_ckc,0.105376067768596,Downregulated
ad_cloxatex2,4499776.34322692,Unchanged
ad_clpndcoatx,0,Unchanged
ad_clpndcpt1,0.465025794524572,Downregulated
ad_clpndcpt2,0.465025649788061,Downregulated
ad_cmpacnatg,0.0776782968094249,Downregulated
ad_cmpsas,0.0751236118720111,Downregulated
ad_co2ter,0,Unchanged
ad_coatl,0.261405151280669,Downregulated
ad_coatm,1.99999546860565,Unchanged
ad_coatr,0,Unchanged
ad_core2gtg,0.0788554175825733,Downregulated
ad_core3gtg,0.0788579804515091,Downregulated
ad_core4gtg,0.0788579804515091,Downregulated
ad_cot,0.0743378188287835,Downregulated
ad_crncartp,243736.839835304,Unchanged
ad_csapasely,0.0797671243029942,Downregulated
ad_csbpasely,0.0796650059984414,Downregulated
ad_cscpasely,0.0796978307982105,Downregulated
ad_csdpasely,0.0795841530084774,Downregulated
ad_csepasely,0.079518553169156,Downregulated
ad_csm,0,Unchanged
ad_csnat2m,0,Unchanged
ad_csnat2x,1.99999961199627,Unchanged
ad_csnat3x,0,Unchanged
ad_csnater,0.999999702985214,Unchanged
ad_csnatm,0.0714498370949239,Downregulated
ad_csnatp,0.07538655092676,Downregulated
ad_csnatr,0.999999702985218,Unchanged
ad_cspg_at,0.0797671243029942,Downregulated
ad_cspg_atly,0.0797671243029942,Downregulated
ad_cspg_bt,0.0796650059984414,Downregulated
ad_cspg_btly,0.0796650059984414,Downregulated
ad_cspg_ct,0.0796978307982105,Downregulated
ad_cspg_ctly,0.0796978307982105,Downregulated
ad_cspg_dt,0.0795841530084774,Downregulated
ad_cspg_dtly,0.0795841530084774,Downregulated
ad_cspg_et,0.079518553169156,Downregulated
ad_cspg_etly,0.079518553169156,Downregulated
ad_cysalanaex,0,Unchanged
ad_cysasnnaex,0,Unchanged
ad_cysglnnaex,0,Unchanged
ad_cyso,0.178747812307656,Downregulated
ad_cyssernaex,0,Unchanged
ad_cysta,0.231226825888134,Downregulated
ad_cysthrnaex,0,Unchanged
ad_cytdk1,2.2764038485758,Upregulated
ad_cytdk2m,0,Unchanged
ad_cytdt,0,Unchanged
ad_cytdtl,0.0811413386228366,Downregulated
ad_cytdtm,0,Unchanged
ad_cytk10,0,Unchanged
ad_cytk10n,0,Unchanged
ad_cytk11,0,Unchanged
ad_cytk11n,0,Unchanged
ad_cytk12,0,Unchanged
ad_cytk12n,0,Unchanged
ad_cytk13,0,Unchanged
ad_cytk13n,0,Unchanged
ad_cytk14,0,Unchanged
ad_cytk14n,0,Unchanged
ad_cytk1m,0,Unchanged
ad_cytk1n,0,Unchanged
ad_cytk2n,0,Unchanged
ad_cytk3n,0,Unchanged
ad_cytk4n,0,Unchanged
ad_cytk5,0,Unchanged
ad_cytk5n,0,Unchanged
ad_cytk6,0,Unchanged
ad_cytk6n,0,Unchanged
ad_cytk7,0,Unchanged
ad_cytk7n,0,Unchanged
ad_cytk8,0,Unchanged
ad_cytk8n,0,Unchanged
ad_cytk9,0,Unchanged
ad_cytk9n,0,Unchanged
ad_dagk_hs,0.000236779161687938,Unchanged
ad_dagkn_hs,0.00711983352130975,Unchanged
ad_dagt,0,Unchanged
ad_dascbr,0,Unchanged
ad_datptn,0.0819302053546087,Downregulated
ad_dcim,0,Unchanged
ad_dck1m,0,Unchanged
ad_dck1n,1334742.87126134,Unchanged
ad_dcsptn1coatx,0,Unchanged
ad_dcsptn1cpt1,0.274604004333316,Downregulated
ad_dcsptn1cpt2,0.274604108312006,Downregulated
ad_dctptn,0,Unchanged
ad_desat16_2,0.271022380568203,Downregulated
ad_desat18_3,0.214194552848659,Downregulated
ad_desat18_4,0.598293353007565,Unchanged
ad_desat18_5,0.864692107138106,Unchanged
ad_desat18_7,0.352741366019294,Downregulated
ad_desat18_8,0.488010690062872,Downregulated
ad_desat18_9,0.24597997960494,Downregulated
ad_desat22_1p,0.429126160151917,Downregulated
ad_desat22_2p,0,Unchanged
ad_dgat,0.0751234915936237,Downregulated
ad_dgcholtx,0.155038826326932,Downregulated
ad_dgk2m,0.0740741010778955,Downregulated
ad_dgnskm,0.074074100734842,Downregulated
ad_dgsntm,0.0740741010778955,Downregulated
ad_dgtptn,0.0819303171672366,Downregulated
ad_dhaat1r,0.0518038926085541,Downregulated
ad_dhcrd1,265.348452674504,Upregulated
ad_dhcrd2,1479.10196503575,Upregulated
ad_dhftl,0,Unchanged
ad_didptn,1.01178952573536,Unchanged
ad_ditptn,0,Unchanged
ad_d_lact2,0.116534467095562,Downregulated
