Reaction,FSR,RegulationStatus
ad_10fthf7glutl,21.0999055426334,Upregulated
ad_10fthf7glutm,11.1516716206792,Upregulated
ad_10fthftl,0,Unchanged
ad_13damppox,12.0574459466194,Upregulated
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,44.9592447941655,Upregulated
ad_34dhoxpegt,44.9592447941655,Upregulated
ad_34hppor,46.9761242648211,Upregulated
ad_3dsphr,4.72672921205456,Upregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,47.0432807234375,Upregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,21.0669661751888,Upregulated
ad_3mldat,14.6973212461269,Upregulated
ad_3mobt2im,47.7949084880509,Upregulated
ad_3mopt2im,16.4314854949699,Upregulated
ad_3moxtyrox,21.0669661693087,Upregulated
ad_3salacboxl,52.3974704313436,Upregulated
ad_3salaox,56.0336048333969,Upregulated
ad_41r1h2mae12boox,45.1648573490472,Upregulated
ad_41r2a1h12boox,44.9592864620454,Upregulated
ad_42a12boox,38.2861030170092,Upregulated
ad_4hglsdm,1.13407646711399,Unchanged
ad_4hoxpacdox_nadp_,27.4699363749305,Upregulated
ad_4mopt2im,0,Unchanged
ad_4pyrdx,21.8531303365402,Upregulated
ad_5aoptm,0,Unchanged
ad_5hltdl,34.1687772649893,Upregulated
ad_5hoxindacto2ox,66.7140160396282,Upregulated
ad_5hoxinoxda,34.1687772649893,Upregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,12.4831973803919,Upregulated
ad_7dhftm,12.4205126658531,Upregulated
ad_7thftm,12.5022407535837,Upregulated
ad_a4galtg,21.5489702733889,Upregulated
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,109.123300837393,Upregulated
ad_acact1rm,33.4667967768971,Upregulated
ad_acact1x,0,Unchanged
ad_acact4p,107.612735784017,Upregulated
ad_acact5p,41.4878427488001,Upregulated
ad_acact6p,37.2668113695886,Upregulated
ad_acact7p,37.2668113695886,Upregulated
ad_acact8p,133.77297473454,Upregulated
ad_acact9p,133.772994893192,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,16.6348838558559,Upregulated
ad_accoalm,30.237714730719,Upregulated
ad_accoatr,1.00000023226816,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,17.4261387939481,Upregulated
ad_acgam6psi,2094.93089574213,Upregulated
ad_acgamk,111.543974320508,Upregulated
ad_acgampm,111.543928902837,Upregulated
ad_acgamtly,111.543974320508,Upregulated
ad_acitl,19.8401279968982,Upregulated
ad_acnam9pl,18.8221719658847,Upregulated
ad_acnamlt,0,Unchanged
ad_acnamph,18.8221719658847,Upregulated
ad_acnmlr,18.8221719658847,Upregulated
ad_acoad10m,16.4314709264378,Upregulated
ad_acoad1fm,20.6989379962921,Upregulated
ad_acoad9m,0.000107009893518568,Unchanged
ad_acoao7p,37.2668113695886,Upregulated
ad_acontm,0,Unchanged
ad_acp1_fmn_,24.2544841076148,Upregulated
ad_acrntm,3516269.1038576,Unchanged
ad_acs2,17.4261420895885,Upregulated
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,26.7360287944312,Upregulated
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,15.8092767352533,Upregulated
ad_adncyc,17.4261319053409,Upregulated
ad_adnt,0,Unchanged
ad_adntl,0.303252030229045,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,162.006645937721,Upregulated
ad_adrncpt1,30.4218811138617,Upregulated
ad_adrncpt2,30.421872544311,Upregulated
ad_adrncrnt,0,Unchanged
ad_adsk,23.9255660996915,Upregulated
ad_ag13t16g,18.1445235485231,Upregulated
ad_ag13t17g,18.1445235485231,Upregulated
ad_ag13t18g,18.1445235485231,Upregulated
ad_ag13t1g,18.1309167319826,Upregulated
ad_ag13t2g,18.1309167319826,Upregulated
ad_ag13t3g,18.1309167319826,Upregulated
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,28.5631279934447,Upregulated
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,27.4699384106361,Upregulated
ad_aldd20xm,25.6729284365718,Upregulated
ad_aldd21,3.3277516817432,Upregulated
ad_aldd2xm,547.290437893187,Upregulated
ad_aldd2y,415.404491697015,Upregulated
ad_alox52,252940105.052662,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,35.3655883076444,Upregulated
ad_ametr,7.86686528726932e-07,Unchanged
ad_amett2m,18.7230558451553,Upregulated
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,8.66698053710167,Upregulated
ad_arachcpt1,224.968957797952,Upregulated
ad_arachcpt2,225.356670897209,Upregulated
ad_arachcrnt,0,Unchanged
ad_argss,15.4684450431541,Upregulated
ad_arsa,25.1917706918664,Upregulated
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,8.5611227012901,Upregulated
ad_artplm3,236.167891990419,Upregulated
ad_asah1,39.0228599074842,Upregulated
ad_ascbt4,11547329.6049318,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.0461248377479,Unchanged
ad_aspt6,1.04612483774794,Unchanged
ad_atp1ter,18.8220976354171,Upregulated
ad_atp2ter,0,Unchanged
ad_atph1e,50290237.4537704,Unchanged
ad_atph2e,45557951.2113264,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,21.5489702733889,Upregulated
ad_b3galt41g,17.8702410574195,Upregulated
ad_b3galt5g,21.3800455400107,Upregulated
ad_baat3x,35.365588307695,Upregulated
ad_bamppaldox,15.8092484837779,Upregulated
ad_bhmt,0,Unchanged
