Reaction,FSR,RegulationStatus
ad_10fthf7glutl,1.30002435062905,Unchanged
ad_10fthf7glutm,0.68799962197003,Unchanged
ad_10fthftl,0,Unchanged
ad_13damppox,0.756495925541556,Unchanged
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,2.68306673628347,Upregulated
ad_34dhoxpegt,2.68306673628347,Upregulated
ad_34hppor,2.69639769624267,Upregulated
ad_3dsphr,0.308646769426859,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,3.96825346817986,Upregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,1.2850646499145,Unchanged
ad_3mldat,0.899546671754174,Unchanged
ad_3mobt2im,3.96905829210068,Upregulated
ad_3mopt2im,1.00086145546689,Unchanged
ad_3moxtyrox,1.2850646499145,Unchanged
ad_3salacboxl,2.99357932519641,Upregulated
ad_3salaox,3.20154665842115,Upregulated
ad_41r1h2mae12boox,2.7531696381569,Upregulated
ad_41r2a1h12boox,2.6830668102895,Upregulated
ad_42a12boox,2.31169842109848,Upregulated
ad_4hglsdm,1.1340387688076,Unchanged
ad_4hoxpacdox_nadp_,1.64216945835412,Unchanged
ad_4mopt2im,0,Unchanged
ad_4pyrdx,1.33093004739557,Unchanged
ad_5aoptm,0,Unchanged
ad_5hltdl,2.01228211108064,Upregulated
ad_5hoxindacto2ox,3.56430547713711,Upregulated
ad_5hoxinoxda,2.01228211108064,Upregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,0.767790487968131,Unchanged
ad_7dhftm,0.761142418427466,Unchanged
ad_7thftm,0.763978377695714,Unchanged
ad_a4galtg,1.34310976013482,Unchanged
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,7.07777154258522,Upregulated
ad_acact1rm,1.9113784240838,Unchanged
ad_acact1x,0,Unchanged
ad_acact4p,4.52257841622046,Upregulated
ad_acact5p,1.74579150090193,Unchanged
ad_acact6p,1.60861750985676,Unchanged
ad_acact7p,1.60861750985676,Unchanged
ad_acact8p,7.41029527245307,Upregulated
ad_acact9p,7.41029511619003,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,1.03645392610022,Unchanged
ad_accoalm,1.83794751293328,Unchanged
ad_accoatr,0.999999863006964,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,1.0663558624394,Unchanged
ad_acgam6psi,105.948016031762,Upregulated
ad_acgamk,6.88191643688093,Upregulated
ad_acgampm,6.88191625598756,Upregulated
ad_acgamtly,6.88191643688093,Upregulated
ad_acitl,1.21947625735591,Unchanged
ad_acnam9pl,1.15802153136982,Unchanged
ad_acnamlt,0,Unchanged
ad_acnamph,1.15802153136982,Unchanged
ad_acnmlr,1.15802153136982,Unchanged
ad_acoad10m,1.00086138596358,Unchanged
ad_acoad1fm,1.25456306252538,Unchanged
ad_acoad9m,0.127864120542432,Downregulated
ad_acoao7p,1.60861750985676,Unchanged
ad_acontm,0,Unchanged
ad_acp1_fmn_,1.49179508712319,Unchanged
ad_acrntm,157742.213590298,Upregulated
ad_acs2,1.06635593086041,Unchanged
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,1.92493248738751,Unchanged
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,1.00780196634268,Unchanged
ad_adncyc,1.06635578511754,Unchanged
ad_adnt,0,Unchanged
ad_adntl,0.0181327875634243,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,8.45288211035753,Upregulated
ad_adrncpt1,1.74099974518977,Unchanged
ad_adrncpt2,1.74099983728785,Unchanged
ad_adrncrnt,0,Unchanged
ad_adsk,1.46942146421176,Unchanged
ad_ag13t16g,1.11973060760291,Unchanged
ad_ag13t17g,1.11973060760291,Unchanged
ad_ag13t18g,1.11973060760291,Unchanged
ad_ag13t1g,1.11939285080892,Unchanged
ad_ag13t2g,1.11939285080892,Unchanged
ad_ag13t3g,1.11939285080892,Unchanged
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,1.92803593936558,Unchanged
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,1.64216942593192,Unchanged
ad_aldd20xm,1.55252060962248,Unchanged
ad_aldd21,0.182524681952067,Downregulated
ad_aldd2xm,9.49839131708418,Upregulated
ad_aldd2y,6.10954245718893,Upregulated
ad_alox52,11347052.7935979,Upregulated
ad_alr2,0,Unchanged
