Reaction,FSR,RegulationStatus
ad_10fthf7glutl,0.520121090384391,Unchanged
ad_10fthf7glutm,0.275587498121675,Downregulated
ad_10fthftl,0,Unchanged
ad_13damppox,0.302678480132692,Downregulated
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,1.07324809284502,Unchanged
ad_34dhoxpegt,1.07324809284502,Unchanged
ad_34hppor,1.07887189375699,Unchanged
ad_3dsphr,0.123468843980463,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,1.57152869183037,Unchanged
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,0.514194674808457,Unchanged
ad_3mldat,0.359926079845997,Downregulated
ad_3mobt2im,1.57103261408722,Unchanged
ad_3mopt2im,0.400437053530365,Downregulated
ad_3moxtyrox,0.514194674904293,Unchanged
ad_3salacboxl,1.1978371370268,Unchanged
ad_3salaox,1.28100214991125,Unchanged
ad_41r1h2mae12boox,1.10115059895785,Unchanged
ad_41r2a1h12boox,1.07353362062781,Unchanged
ad_42a12boox,0.924974203135218,Unchanged
ad_4hglsdm,1.13404428506952,Unchanged
ad_4hoxpacdox_nadp_,0.657082369851673,Unchanged
ad_4mopt2im,0,Unchanged
ad_4pyrdx,0.53249111899434,Unchanged
ad_5aoptm,0,Unchanged
ad_5hltdl,0.805184289863927,Unchanged
ad_5hoxindacto2ox,1.42654109081914,Unchanged
ad_5hoxinoxda,0.805184289863927,Unchanged
ad_5mthft2,0,Unchanged
ad_7dhftl,0.307265007128089,Downregulated
ad_7dhftm,0.304508811863516,Downregulated
ad_7thftm,0.305652295590425,Downregulated
ad_a4galtg,0.537431464286265,Unchanged
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,2.83097494844157,Upregulated
ad_acact1rm,0.765249423508966,Unchanged
ad_acact1x,0,Unchanged
ad_acact4p,1.66923561245983,Unchanged
ad_acact5p,0.644532980236149,Unchanged
ad_acact6p,0.644460919226441,Unchanged
ad_acact7p,0.644460919226441,Unchanged
ad_acact8p,2.91935397070248,Upregulated
ad_acact9p,2.91935344659211,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,0.414618215613431,Downregulated
ad_accoalm,0.73522233838091,Unchanged
ad_accoatr,0.999999652830786,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,0.426596468663334,Downregulated
ad_acgam6psi,42.4090807758717,Upregulated
ad_acgamk,2.75294243802278,Upregulated
ad_acgampm,2.75294307734124,Upregulated
ad_acgamtly,2.75294243802278,Upregulated
ad_acitl,0.487898521888495,Downregulated
ad_acnam9pl,0.463292965022675,Downregulated
ad_acnamlt,0,Unchanged
ad_acnamph,0.463292965022675,Downregulated
ad_acnmlr,0.463292965022675,Downregulated
ad_acoad10m,0.400437292738942,Downregulated
ad_acoad1fm,0.50205426015336,Unchanged
ad_acoad9m,0.127815743437738,Downregulated
ad_acoao7p,0.644460919226441,Unchanged
ad_acontm,0,Unchanged
ad_acp1_fmn_,0.597006985060473,Unchanged
ad_acrntm,156723.928846711,Unchanged
ad_acs2,0.426596387456547,Downregulated
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,0.767800351321109,Unchanged
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,0.403219011717339,Downregulated
ad_adncyc,0.426596598254205,Downregulated
ad_adnt,0,Unchanged
ad_adntl,0.0181086225006003,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,3.38334349679523,Upregulated
ad_adrncpt1,0.696517580023368,Unchanged
ad_adrncpt2,0.696517531683509,Unchanged
ad_adrncrnt,0,Unchanged
ad_adsk,0.587845301868149,Unchanged
ad_ag13t16g,0.447953707765808,Downregulated
ad_ag13t17g,0.447953707765808,Downregulated
ad_ag13t18g,0.447953707765808,Downregulated
ad_ag13t1g,0.447817756409619,Downregulated
ad_ag13t2g,0.447817756409619,Downregulated
ad_ag13t3g,0.447817756409619,Downregulated
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,0.764408589111462,Unchanged
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,0.657082365271365,Unchanged
ad_aldd20xm,0.621199426233001,Unchanged
ad_aldd21,0.0730837562431577,Downregulated
ad_aldd2xm,3.80533573916371,Upregulated
ad_aldd2y,1.82392723586874,Unchanged
ad_alox52,11274459.0251494,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,0.89631049954885,Unchanged
ad_ametr,4.60597160076404e-07,Unchanged
ad_amett2m,0.46887161263742,Downregulated
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.204345411175037,Downregulated
ad_arachcpt1,5.20535246215308,Upregulated
ad_arachcpt2,5.20535376991918,Upregulated
ad_arachcrnt,0,Unchanged
ad_argss,0.385293304249954,Downregulated
ad_arsa,0.61880669174768,Unchanged
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,0.209341977081861,Downregulated
ad_artplm3,5.53360941588328,Upregulated
ad_asah1,0.97824558723168,Unchanged
ad_ascbt4,514678.922072947,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.0461243839999,Unchanged
ad_aspt6,1.04612438400007,Unchanged
ad_atp1ter,0.463292846750687,Downregulated
ad_atp2ter,0,Unchanged
ad_atph1e,3484685.03438063,Unchanged
ad_atph2e,3156777.15592185,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,0.537431464286265,Unchanged
ad_b3galt41g,0.440757839639095,Downregulated
ad_b3galt5g,0.537431371515997,Unchanged
ad_baat3x,0.896310499553356,Unchanged
ad_bamppaldox,0.403218179310627,Downregulated
ad_bhmt,0,Unchanged
ad_bildglcurte,0.463292956269975,Downregulated
ad_bilglcurtr,0,Unchanged
ad_bilired,0.425867844542647,Downregulated
ad_bilirubt2,0,Unchanged
ad_bilirubtr,3.41733985821323,Upregulated
ad_c14strr,0.779612626524814,Unchanged
ad_c161cpt12,0.716072338500653,Unchanged
ad_c161cpt22,3.25560787541243,Upregulated
ad_c180cpt1,0,Unchanged
ad_c180cpt2,0,Unchanged
ad_c180crnt,0,Unchanged
ad_c204cpt2,0,Unchanged
ad_c204crnt,0,Unchanged
ad_c226cpt1,3.28245642939621,Upregulated
ad_c226cpt2,3.28245105077127,Upregulated
ad_c3stdh1pr,0.779612315179757,Unchanged
ad_c3stkr2r,0.779612668309199,Unchanged
ad_c4stmo2pr,0.779612812009374,Unchanged
ad_caatps,0.463292804022921,Downregulated
ad_catm,0.667785753915039,Unchanged
ad_catp,0,Unchanged
ad_cbpper,0.467585899282013,Downregulated
ad_cbpter,0.467585899127688,Downregulated
ad_cbr2,0,Unchanged
ad_cdiptr,32.6573380189452,Upregulated
ad_cdpdagtm,0,Unchanged
ad_cdsm,31.7929003779887,Upregulated
ad_ceptc,1.03477184046663e-05,Unchanged
ad_cepte,0,Unchanged
ad_cerk,0.463292951466334,Downregulated
ad_cert1gt,7.93264336553667e-05,Unchanged
ad_cert1rt,0.378306928082597,Downregulated
ad_cert2gt,0,Unchanged
ad_cert2rt,0.537431510681909,Unchanged
ad_chlpctd,1.03477184378152e-05,Unchanged
ad_chsterolt1,0,Unchanged
ad_chsteroltg,0.463292886337849,Downregulated
ad_cittam,0,Unchanged
ad_cittbm,0,Unchanged
ad_ckc,0.599758089264513,Unchanged
ad_cloxatex2,2894835.34429449,Unchanged
ad_clpndcoatx,0,Unchanged
ad_clpndcpt1,2.85110687439448,Upregulated
ad_clpndcpt2,2.85111234607763,Upregulated
ad_cmpacnatg,0.440757867307289,Downregulated
ad_cmpsas,0.426596504621823,Downregulated
ad_co2ter,0,Unchanged
ad_coatl,1.49254131901494,Unchanged
ad_coatm,1.99999294824992,Unchanged
ad_coatr,0,Unchanged
ad_core2gtg,0.447817756409619,Downregulated
ad_core3gtg,0.447953707765808,Downregulated
ad_core4gtg,0.447953707765808,Downregulated
ad_cot,0.425867722734191,Downregulated
ad_crncartp,156731.661462012,Unchanged
ad_csapasely,0.453375495795137,Downregulated
ad_csbpasely,0.452926855466971,Downregulated
ad_cscpasely,0.453375409005608,Downregulated
ad_csdpasely,0.4525709006329,Downregulated
ad_csepasely,0.452281706268204,Downregulated
ad_csm,0,Unchanged
ad_csnat2m,0,Unchanged
ad_csnat2x,1.99999939649927,Unchanged
ad_csnat3x,0,Unchanged
ad_csnater,0.999999652830786,Unchanged
ad_csnatm,0.441592428864158,Downregulated
ad_csnatp,0.506673484045516,Unchanged
ad_csnatr,0.999999652830715,Unchanged
ad_cspg_at,0.453375495795137,Downregulated
ad_cspg_atly,0.453375495795137,Downregulated
ad_cspg_bt,0.452926855466971,Downregulated
ad_cspg_btly,0.452926855466971,Downregulated
ad_cspg_ct,0.453375409005608,Downregulated
ad_cspg_ctly,0.453375409005608,Downregulated
ad_cspg_dt,0.4525709006329,Downregulated
ad_cspg_dtly,0.4525709006329,Downregulated
ad_cspg_et,0.452281706268204,Downregulated
ad_cspg_etly,0.452281706268204,Downregulated
ad_cysalanaex,0,Unchanged
ad_cysasnnaex,0,Unchanged
ad_cysglnnaex,0,Unchanged
ad_cyso,1.19783711400778,Unchanged
ad_cyssernaex,0,Unchanged
ad_cysta,1.50955118040943,Unchanged
ad_cysthrnaex,0,Unchanged
ad_cytdk1,2.28840003847187,Upregulated
ad_cytdk2m,31.3345717513698,Upregulated
ad_cytdt,0,Unchanged
ad_cytdtl,0.463292829487741,Downregulated
ad_cytdtm,31.334571756977,Upregulated
ad_cytk10,0,Unchanged
ad_cytk10n,0,Unchanged
ad_cytk11,0,Unchanged
ad_cytk11n,0,Unchanged
ad_cytk12,0,Unchanged
ad_cytk12n,0,Unchanged
ad_cytk13,0,Unchanged
ad_cytk13n,0,Unchanged
ad_cytk14,0,Unchanged
ad_cytk14n,0,Unchanged
ad_cytk1m,31.792900375652,Upregulated
ad_cytk1n,0,Unchanged
ad_cytk2n,0,Unchanged
ad_cytk3n,0,Unchanged
ad_cytk4n,0,Unchanged
ad_cytk5,0,Unchanged
ad_cytk5n,0,Unchanged
ad_cytk6,0,Unchanged
ad_cytk6n,0,Unchanged
ad_cytk7,0,Unchanged
ad_cytk7n,0,Unchanged
ad_cytk8,0,Unchanged
ad_cytk8n,0,Unchanged
ad_cytk9,0,Unchanged
ad_cytk9n,0,Unchanged
ad_dagk_hs,0.00134298773119684,Unchanged
ad_dagkn_hs,0.0406732587899407,Downregulated
ad_dagt,0,Unchanged
ad_dascbr,0,Unchanged
ad_datptn,0.467706068052997,Downregulated
ad_dcim,0,Unchanged
ad_dck1m,0,Unchanged
ad_dck1n,853636.025657593,Unchanged
ad_dcsptn1coatx,1.10478046923493,Unchanged
ad_dcsptn1cpt1,2.06760814508021,Upregulated
ad_dcsptn1cpt2,2.06760800358118,Upregulated
ad_dctptn,0,Unchanged
ad_desat16_2,1.98488704302458,Unchanged
ad_desat18_3,1.56743265776609,Unchanged
ad_desat18_4,4.35671099457531,Upregulated
ad_desat18_5,6.32765043266781,Upregulated
ad_desat18_7,2.56862958584935,Upregulated
ad_desat18_8,3.54167693091413,Upregulated
ad_desat18_9,1.87319006298848,Unchanged
ad_desat22_1p,3.38334431610785,Upregulated
ad_desat22_2p,0,Unchanged
ad_dgat,0.426596411560828,Downregulated
ad_dgcholtx,0.896310499561433,Unchanged
ad_dgk2m,0.422940025426303,Downregulated
ad_dgnskm,0.422940025426303,Downregulated
ad_dgsntm,0.422940025426303,Downregulated
ad_dgtptn,0.467706162531103,Downregulated
ad_dhaat1r,0.379446565597053,Downregulated
ad_dhcrd1,171.063808707095,Upregulated
ad_dhcrd2,953.757975319656,Upregulated
ad_dhftl,0,Unchanged
ad_didptn,1.01178841034622,Unchanged
ad_ditptn,0,Unchanged
ad_d_lact2,0,Unchanged
ad_dlnlcgcpt1,0,Unchanged
ad_dlnlcgcpt2,5.20535404003541,Upregulated
