Reaction,FSR,RegulationStatus
ad_10fthf7glutl,0.0116532932350886,Downregulated
ad_10fthf7glutm,0.00721956331309405,Unchanged
ad_10fthftl,0,Unchanged
ad_13damppox,0.00678114488916659,Unchanged
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,0.0240383812342181,Downregulated
ad_34dhoxpegt,0.0240383812342181,Downregulated
ad_34hppor,0.024170234197298,Downregulated
ad_3dsphr,0.00276663765194467,Unchanged
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,0.0346632863971892,Downregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,0.0115190680892726,Downregulated
ad_3mldat,0.0080633999945513,Unchanged
ad_3mobt2im,0.0347074205996884,Downregulated
ad_3mopt2im,0.0089713978667404,Unchanged
ad_3moxtyrox,0.0115190680892726,Downregulated
ad_3salacboxl,0.0268334697171214,Downregulated
ad_3salaox,0.028697875785369,Downregulated
ad_41r1h2mae12boox,0.0246613764153996,Downregulated
ad_41r2a1h12boox,0.0240503735707923,Downregulated
ad_42a12boox,0.0207214957423168,Downregulated
ad_4hglsdm,1.13404965006595,Unchanged
ad_4hoxpacdox_nadp_,0.0147201292540997,Downregulated
ad_4mopt2im,0,Unchanged
ad_4pyrdx,0.0119302855006947,Downregulated
ad_5aoptm,0,Unchanged
ad_5hltdl,0.0180375938224242,Downregulated
ad_5hoxindacto2ox,0.0319490134240658,Downregulated
ad_5hoxinoxda,0.0180375938224242,Downregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,0.0068843547378302,Unchanged
ad_7dhftm,0.00682268028193719,Unchanged
ad_7thftm,0.00684817607328629,Unchanged
ad_a4galtg,0.0142963884002286,Downregulated
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,0.0626973516366746,Downregulated
ad_acact1rm,0.0171330822841868,Downregulated
ad_acact1x,0,Unchanged
ad_acact4p,0.0707766351460183,Downregulated
ad_acact5p,0.0264511075628783,Downregulated
ad_acact6p,0.0144116503241715,Downregulated
ad_acact7p,0.0144116503241715,Downregulated
ad_acact8p,0.0663224832232481,Downregulated
ad_acact9p,0.0664254953197828,Downregulated
ad_acaldtm,0,Unchanged
ad_accoacm,0.00929053185467861,Unchanged
ad_accoalm,0.0164747587094471,Downregulated
ad_accoatr,0.999999619744265,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,0.00955838222051563,Unchanged
ad_acgam6psi,0.949692422029227,Unchanged
ad_acgamk,0.0616877022123516,Downregulated
ad_acgampm,0.061687633384831,Downregulated
ad_acgamtly,0.0616877022123516,Downregulated
ad_acitl,0.0109311019432446,Downregulated
ad_acnam9pl,0.0103802019698917,Downregulated
ad_acnamlt,0,Unchanged
ad_acnamph,0.0103802019698917,Downregulated
ad_acnmlr,0.0103802019698917,Downregulated
ad_acoad10m,0.00897139365598096,Unchanged
ad_acoad1fm,0.0112455871484,Downregulated
ad_acoad9m,0.127712705337604,Downregulated
ad_acoao7p,0.0144116503241715,Downregulated
ad_acontm,0,Unchanged
ad_acp1_fmn_,0.0133761522658142,Downregulated
ad_acrntm,199197.903020662,Unchanged
ad_acs2,0.00955854930361536,Unchanged
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,0.0173188558684334,Downregulated
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,0.00903382294193569,Unchanged
ad_adncyc,0.00955857527597633,Unchanged
ad_adnt,0,Unchanged
ad_adntl,0.0181224224616473,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,0.0757689902451806,Downregulated
ad_adrncpt1,0.015606292649162,Downregulated
ad_adrncpt2,0.0156059053261102,Downregulated
ad_adrncrnt,0,Unchanged
ad_adsk,0.0136636032834808,Downregulated
ad_ag13t16g,0.0100370056112647,Downregulated
ad_ag13t17g,0.0100370056112647,Downregulated
ad_ag13t18g,0.0100370056112647,Downregulated
ad_ag13t1g,0.0100341181517772,Downregulated
ad_ag13t2g,0.0100341181517772,Downregulated
ad_ag13t3g,0.0100341181517772,Downregulated
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,0.0173162055650895,Downregulated
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,0.014720044513031,Downregulated
ad_aldd20xm,0.0139166401445756,Downregulated
ad_aldd21,0.00163746000393658,Unchanged
ad_aldd2xm,0.219515383817518,Downregulated
ad_aldd2y,0.163896003411486,Downregulated
ad_alox52,14338687.8450607,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,0.0195966157277336,Downregulated
ad_ametr,0,Unchanged
ad_amett2m,0.0105038971803411,Downregulated
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.00457755590655622,Unchanged
ad_arachcpt1,0,Unchanged
ad_arachcpt2,0,Unchanged
ad_arachcrnt,0,Unchanged
ad_argss,0.00863315675225909,Unchanged
ad_arsa,0.0147664397828749,Downregulated
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,0.00500939520551351,Unchanged
ad_artplm3,0.123995584096181,Downregulated
ad_asah1,0.0219202124960352,Downregulated
ad_ascbt4,654165.090324698,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.04612439991495,Unchanged
ad_aspt6,1.04612439991499,Unchanged
ad_atp1ter,0.0103802195548058,Downregulated
ad_atp2ter,0,Unchanged
ad_atph1e,4431769.8594044,Unchanged
ad_atph2e,4014741.34042565,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,0.0142963884002286,Downregulated
ad_b3galt41g,0.0143768644367206,Downregulated
ad_b3galt5g,0.0121978087904969,Downregulated
ad_baat3x,0.0195966157593601,Downregulated
ad_bamppaldox,0.00903367521624692,Unchanged
ad_bhmt,0,Unchanged
ad_bildglcurte,0.0103802949568538,Downregulated
ad_bilglcurtr,0,Unchanged
ad_bilired,0.00954272718433924,Unchanged
ad_bilirubt2,0,Unchanged
ad_bilirubtr,0.076117755575973,Downregulated
ad_c14strr,0.0174683551850699,Downregulated
ad_c161cpt12,0.0184860771989428,Downregulated
ad_c161cpt22,0,Unchanged
ad_c180cpt1,0,Unchanged
ad_c180cpt2,0,Unchanged
ad_c180crnt,0,Unchanged
ad_c204cpt2,0,Unchanged
ad_c204crnt,0,Unchanged
ad_c226cpt1,0.0712857544906466,Downregulated
ad_c226cpt2,0.0712871100270719,Downregulated
ad_c3stdh1pr,0.0174683820511816,Downregulated
ad_c3stkr2r,0.0174680592247427,Downregulated
ad_c4stmo2pr,0.0174682402971573,Downregulated
ad_caatps,0.0103802256512473,Downregulated
ad_catm,0.0149532829709152,Downregulated
ad_catp,0,Unchanged
ad_cbpper,0.010476096596124,Downregulated
ad_cbpter,0.010476096596124,Downregulated
ad_cbr2,0,Unchanged
ad_cdiptr,0.716055651259088,Unchanged
ad_cdpdagtm,0,Unchanged
ad_cdsm,0.696100007653611,Unchanged
ad_ceptc,1.82228472438263e-07,Unchanged
ad_cepte,0,Unchanged
ad_cerk,0.010380210309596,Downregulated
ad_cert1gt,1.39766522598713e-06,Unchanged
ad_cert1rt,0.00847675755214444,Unchanged
ad_cert2gt,0,Unchanged
ad_cert2rt,0.0121978134101504,Downregulated
ad_chlpctd,1.82223764371756e-07,Unchanged
ad_chsterolt1,0,Unchanged
ad_chsteroltg,0.0103800214930561,Downregulated
ad_cittam,0,Unchanged
ad_cittbm,0,Unchanged
ad_ckc,0.0134364493313314,Downregulated
ad_cloxatex2,3681608.0772435,Unchanged
ad_clpndcoatx,0,Unchanged
ad_clpndcpt1,0.0639359992396435,Downregulated
ad_clpndcpt2,0.0639355626754969,Downregulated
ad_cmpacnatg,0.0190295298018558,Downregulated
ad_cmpsas,0.00955871222070624,Unchanged
ad_co2ter,0,Unchanged
ad_coatl,0.0334412051074799,Downregulated
ad_coatm,1.99999446002185,Unchanged
ad_coatr,0,Unchanged
ad_core2gtg,0.0100341181517772,Downregulated
ad_core3gtg,0.0100370056112647,Downregulated
ad_core4gtg,0.0100370056112647,Downregulated
ad_cot,0.00954262294290194,Unchanged
ad_crncartp,199218.084254536,Unchanged
ad_csapasely,0.0104069534492482,Downregulated
ad_csbpasely,0.0114664529513697,Downregulated
ad_cscpasely,0.0157034309129238,Downregulated
ad_csdpasely,0.0101403997668456,Downregulated
ad_csepasely,0.0383902875255091,Downregulated
ad_csm,0,Unchanged
ad_csnat2m,0,Unchanged
ad_csnat2x,1.99999952546949,Unchanged
ad_csnat3x,0,Unchanged
ad_csnater,0.999999619744265,Unchanged
ad_csnatm,0.00989825662453988,Unchanged
ad_csnatp,0.0113339884025713,Downregulated
ad_csnatr,0.999999619744263,Unchanged
ad_cspg_at,0.0104069534492482,Downregulated
ad_cspg_atly,0.0104069534492482,Downregulated
ad_cspg_bt,0.0114664529513697,Downregulated
ad_cspg_btly,0.0114664529513697,Downregulated
ad_cspg_ct,0.0157034309129238,Downregulated
ad_cspg_ctly,0.0157034309129238,Downregulated
ad_cspg_dt,0.0101403997668456,Downregulated
ad_cspg_dtly,0.0101403997668456,Downregulated
ad_cspg_et,0.0383902875255091,Downregulated
ad_cspg_etly,0.0383902875255091,Downregulated
ad_cysalanaex,0,Unchanged
ad_cysasnnaex,0,Unchanged
ad_cysglnnaex,0,Unchanged
ad_cyso,0.0268334260326234,Downregulated
ad_cyssernaex,0,Unchanged
ad_cysta,0.0338151950485052,Downregulated
ad_cysthrnaex,0,Unchanged
ad_cytdk1,2.28843036790428,Upregulated
ad_cytdk2m,0.710326039563413,Unchanged
ad_cytdt,0,Unchanged
ad_cytdtl,0.0103801001853759,Downregulated
ad_cytdtm,0.71032603951284,Unchanged
ad_cytk10,0,Unchanged
ad_cytk10n,0,Unchanged
ad_cytk11,0,Unchanged
ad_cytk11n,0,Unchanged
ad_cytk12,0,Unchanged
ad_cytk12n,0,Unchanged
ad_cytk13,0,Unchanged
ad_cytk13n,0,Unchanged
ad_cytk14,0,Unchanged
ad_cytk14n,0,Unchanged
ad_cytk1m,0.696100007653611,Unchanged
ad_cytk1n,0,Unchanged
ad_cytk2n,0,Unchanged
ad_cytk3n,0,Unchanged
ad_cytk4n,0,Unchanged
ad_cytk5,0,Unchanged
ad_cytk5n,0,Unchanged
ad_cytk6,0,Unchanged
ad_cytk6n,0,Unchanged
ad_cytk7,0,Unchanged
ad_cytk7n,0,Unchanged
ad_cytk8,0,Unchanged
ad_cytk8n,0,Unchanged
ad_cytk9,0,Unchanged
ad_cytk9n,0,Unchanged
ad_dagk_hs,3.06874798512434e-05,Unchanged
ad_dagkn_hs,0.000911412482864025,Unchanged
ad_dagt,0,Unchanged
ad_dascbr,0,Unchanged
ad_datptn,0.0104792273480163,Downregulated
ad_dcim,0,Unchanged
ad_dck1m,0,Unchanged
ad_dck1n,1149854.84133349,Unchanged
ad_dcsptn1coatx,0,Unchanged
ad_dcsptn1cpt1,0.0463158139312802,Downregulated
ad_dcsptn1cpt2,0.0463160994440513,Downregulated
ad_dctptn,0,Unchanged
ad_desat16_2,0.04447207740049,Downregulated
ad_desat18_3,0.0351196951679928,Downregulated
ad_desat18_4,0.0976144694459233,Downregulated
ad_desat18_5,0.141775035232688,Downregulated
ad_desat18_7,0.0575517143148002,Downregulated
ad_desat18_8,0.0793518744542326,Downregulated
ad_desat18_9,0.0419605661396592,Downregulated
ad_desat22_1p,0.0757689270473707,Downregulated
ad_desat22_2p,0,Unchanged
ad_dgat,0.00955854778536116,Unchanged
ad_dgcholtx,0.0195966157593601,Downregulated
ad_dgk2m,0.00947626558529317,Unchanged
ad_dgnskm,0.00947626558529317,Unchanged
ad_dgsntm,0.00947626558529317,Unchanged
ad_dgtptn,0.0104787904992299,Downregulated
ad_dhaat1r,0.00849676314929478,Unchanged
ad_dhcrd1,217.329733496054,Upregulated
ad_dhcrd2,1212.26241519838,Upregulated
ad_dhftl,0,Unchanged
