Reaction,FSR,RegulationStatus
ad_10fthf7glutl,2.03902836927268,Upregulated
ad_10fthf7glutm,1.07909683237502,Unchanged
ad_10fthftl,0,Unchanged
ad_13damppox,1.18679122551964,Unchanged
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,4.2064471341443,Upregulated
ad_34dhoxpegt,4.2064471341443,Upregulated
ad_34hppor,4.22918051786947,Upregulated
ad_3dsphr,0.484205041001592,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,6.22686882056462,Upregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,2.01556656090554,Upregulated
ad_3mldat,1.41089895392525,Unchanged
ad_3mobt2im,6.22533092864924,Upregulated
ad_3mopt2im,1.56980675561884,Unchanged
ad_3moxtyrox,2.01556656090554,Upregulated
ad_3salacboxl,4.69529625436873,Upregulated
ad_3salaox,5.02148341439186,Upregulated
ad_41r1h2mae12boox,4.31183282202314,Upregulated
ad_41r2a1h12boox,4.20827149273093,Upregulated
ad_42a12boox,3.62579660666143,Upregulated
ad_4hglsdm,1.13405153950888,Unchanged
ad_4hoxpacdox_nadp_,2.57566995422759,Upregulated
ad_4mopt2im,0,Unchanged
ad_4pyrdx,2.08750453378883,Upregulated
ad_5aoptm,0,Unchanged
ad_5hltdl,3.15617556196979,Upregulated
ad_5hoxindacto2ox,5.58691776609371,Upregulated
ad_5hoxinoxda,3.15617556196979,Upregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,1.20460960207224,Unchanged
ad_7dhftm,1.19381802939276,Unchanged
ad_7thftm,1.19826626575955,Unchanged
ad_a4galtg,2.10724503439204,Upregulated
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,11.1003800210644,Upregulated
ad_acact1rm,2.99791201737834,Upregulated
ad_acact1x,0,Unchanged
ad_acact4p,7.07390451745002,Upregulated
ad_acact5p,2.72865508100048,Upregulated
ad_acact6p,2.52271944612281,Upregulated
ad_acact7p,2.52271944612281,Upregulated
ad_acact8p,11.6490948283768,Upregulated
ad_acact9p,11.649094864944,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,1.62563218455374,Unchanged
ad_accoalm,2.88273929631646,Upregulated
ad_accoatr,1.00000003885418,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,1.67253197042452,Unchanged
ad_acgam6psi,166.174769151907,Upregulated
ad_acgamk,10.7939809844825,Upregulated
ad_acgampm,10.7939801491811,Upregulated
ad_acgamtly,10.7939809844825,Upregulated
ad_acitl,1.91269443951706,Unchanged
ad_acnam9pl,1.81614020644166,Unchanged
ad_acnamlt,0,Unchanged
ad_acnamph,1.81614020644166,Unchanged
ad_acnmlr,1.81614020644166,Unchanged
ad_acoad10m,1.56980674139217,Unchanged
ad_acoad1fm,1.96616844836339,Unchanged
ad_acoad9m,0.127868518268115,Downregulated
ad_acoao7p,2.52271944612281,Upregulated
ad_acontm,0,Unchanged
ad_acp1_fmn_,2.34052228209953,Upregulated
ad_acrntm,243542.279095841,Unchanged
ad_acs2,1.67253200913023,Unchanged
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,3.02014530126365,Upregulated
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,1.58069269907235,Unchanged
ad_adncyc,1.67253186884443,Unchanged
ad_adnt,0,Unchanged
ad_adntl,0.0181330230653023,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,13.2579707296484,Upregulated
ad_adrncpt1,2.72814415950721,Upregulated
ad_adrncpt2,2.72803782290479,Upregulated
ad_adrncrnt,0,Unchanged
ad_adsk,2.30522847654608,Upregulated
ad_ag13t16g,1.75624757874813,Unchanged
ad_ag13t17g,1.75624757874813,Unchanged
ad_ag13t18g,1.75624757874813,Unchanged
ad_ag13t1g,1.75571781209549,Unchanged
ad_ag13t2g,1.75571781209549,Unchanged
ad_ag13t3g,1.75571781209549,Unchanged
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,3.02392356624019,Upregulated
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,2.5756697812782,Upregulated
ad_aldd20xm,2.43505941078129,Upregulated
ad_aldd21,0.286343619387605,Downregulated
ad_aldd2xm,38.407371517115,Upregulated
ad_aldd2y,29.1543967724378,Upregulated
ad_alox52,17536288.0652625,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,3.52132261746781,Upregulated
ad_ametr,2.60722014150522e-05,Unchanged
ad_amett2m,1.83795928450133,Unchanged
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.800470043772103,Unchanged
ad_arachcpt1,20.3938614691611,Upregulated
ad_arachcpt2,20.3882579695795,Upregulated
ad_arachcrnt,0,Unchanged
ad_argss,1.51061269789284,Unchanged
ad_arsa,2.42603878000922,Upregulated
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,0.820678566810826,Unchanged
ad_artplm3,21.6784397524723,Upregulated
ad_asah1,3.83558281523752,Upregulated
ad_ascbt4,799783.314485251,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.04612433532392,Unchanged
ad_aspt6,1.04612433532391,Unchanged
ad_atp1ter,1.81630548980077,Unchanged
ad_atp2ter,0,Unchanged
ad_atph1e,5420079.45954158,Unchanged
ad_atph2e,4910051.05464492,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,2.10724503439204,Upregulated
ad_b3galt41g,1.72805491494001,Unchanged
ad_b3galt5g,2.1072448898011,Upregulated
ad_baat3x,3.5213226174995,Upregulated
ad_bamppaldox,1.58069259518622,Unchanged
ad_bhmt,0,Unchanged
ad_bildglcurte,1.81630572966877,Unchanged
ad_bilglcurtr,0,Unchanged
ad_bilired,1.66973607323557,Unchanged
ad_bilirubt2,0,Unchanged
ad_bilirubtr,13.4920185731472,Upregulated
ad_c14strr,3.05651951105765,Upregulated
ad_c161cpt12,3.23458940207753,Upregulated
ad_c161cpt22,13.1421940073113,Upregulated
ad_c180cpt1,0,Unchanged
ad_c180cpt2,0,Unchanged
ad_c180crnt,0,Unchanged
ad_c204cpt2,0,Unchanged
ad_c204crnt,0,Unchanged
ad_c226cpt1,12.888233103541,Upregulated
ad_c226cpt2,12.8869539406788,Upregulated
ad_c3stdh1pr,3.05651959198849,Upregulated
ad_c3stkr2r,3.0565195457089,Upregulated
ad_c4stmo2pr,3.05624104872028,Upregulated
ad_caatps,1.81630586154488,Unchanged
ad_catm,2.61682104576668,Upregulated
ad_catp,0,Unchanged
ad_cbpper,1.8330950301625,Unchanged
ad_cbpter,1.8330950301625,Unchanged
ad_cbr2,0,Unchanged
ad_cdiptr,129.161840358559,Upregulated
ad_cdpdagtm,0,Unchanged
ad_cdsm,125.849457125571,Upregulated
ad_ceptc,2.60722015427669e-05,Unchanged
ad_cepte,0,Unchanged
ad_cerk,1.81630580976837,Unchanged
ad_cert1gt,0.000199973959560131,Unchanged
ad_cert1rt,1.48321534478953,Unchanged
ad_cert2gt,0,Unchanged
ad_cert2rt,2.10724496671235,Upregulated
ad_chlpctd,2.60722013016635e-05,Unchanged
ad_chsterolt1,0,Unchanged
ad_chsteroltg,1.81630559828208,Unchanged
ad_cittam,0,Unchanged
ad_cittbm,0,Unchanged
ad_ckc,2.35103369373095,Upregulated
ad_cloxatex2,4499776.34322692,Unchanged
ad_clpndcoatx,0,Unchanged
ad_clpndcpt1,11.1873701821156,Upregulated
ad_clpndcpt2,11.1873717348233,Upregulated
ad_cmpacnatg,1.72805447500665,Unchanged
ad_cmpsas,1.67253192886994,Unchanged
ad_co2ter,0,Unchanged
ad_coatl,5.85140388633304,Upregulated
ad_coatm,1.99999546860565,Unchanged
ad_coatr,0,Unchanged
ad_core2gtg,1.75571781209549,Unchanged
ad_core3gtg,1.75624757874813,Unchanged
ad_core4gtg,1.75624757874813,Unchanged
ad_cot,1.66973615574556,Unchanged
ad_crncartp,243736.839835304,Unchanged
ad_csapasely,1.77750630374714,Unchanged
ad_csbpasely,1.77574246124761,Unchanged
ad_cscpasely,1.77596810788978,Unchanged
ad_csdpasely,1.77434269764814,Unchanged
ad_csepasely,1.77320551527767,Unchanged
ad_csm,0,Unchanged
ad_csnat2m,0,Unchanged
ad_csnat2x,1.99999961199627,Unchanged
ad_csnat3x,0,Unchanged
ad_csnater,1.00000003885418,Unchanged
ad_csnatm,1.73139548989034,Unchanged
ad_csnatp,1.98394503444535,Unchanged
ad_csnatr,1.00000003885417,Unchanged
ad_cspg_at,1.77750630374714,Unchanged
ad_cspg_atly,1.77750630374714,Unchanged
ad_cspg_bt,1.77574246124761,Unchanged
ad_cspg_btly,1.77574246124761,Unchanged
ad_cspg_ct,1.77596810788978,Unchanged
ad_cspg_ctly,1.77596810788978,Unchanged
ad_cspg_dt,1.77434269764814,Unchanged
ad_cspg_dtly,1.77434269764814,Unchanged
ad_cspg_et,1.77320551527767,Unchanged
ad_cspg_etly,1.77320551527767,Unchanged
ad_cysalanaex,0,Unchanged
ad_cysasnnaex,0,Unchanged
ad_cysglnnaex,0,Unchanged
ad_cyso,4.69529707325529,Upregulated
ad_cyssernaex,0,Unchanged
ad_cysta,5.91696091538978,Upregulated
ad_cysthrnaex,0,Unchanged
ad_cytdk1,2.28846702433942,Upregulated
ad_cytdk2m,123.985095196187,Upregulated
ad_cytdt,0,Unchanged
ad_cytdtl,1.8163056243685,Unchanged
ad_cytdtm,123.985095196187,Upregulated
ad_cytk10,0,Unchanged
