Reaction,FSR,RegulationStatus
ad_10fthf7glutl,1.34547372468413,Unchanged
ad_10fthf7glutm,0.712052572654472,Unchanged
ad_10fthftl,0,Unchanged
ad_13damppox,0.782943683153874,Unchanged
ad_2hbo,0,Unchanged
ad_2hbt2,0,Unchanged
ad_34dhoxpegox,2.77613002396745,Upregulated
ad_34dhoxpegt,2.77613002396745,Upregulated
ad_34hppor,2.79066607366133,Upregulated
ad_3dsphr,0.31943730656683,Downregulated
ad_3hbcdm,0,Unchanged
ad_3hbcoahlm,4.11119402347632,Upregulated
ad_3hlytcl,0,Unchanged
ad_3m4hdxpac,1.32999142191215,Unchanged
ad_3mldat,0.930995517374747,Unchanged
ad_3mobt2im,4.10958241199814,Upregulated
ad_3mopt2im,1.03585234916934,Unchanged
ad_3moxtyrox,1.32999142216004,Unchanged
ad_3salacboxl,3.09823738691428,Upregulated
ad_3salaox,3.31347496430324,Upregulated
ad_41r1h2mae12boox,2.8483456751356,Upregulated
ad_41r2a1h12boox,2.77686875709431,Upregulated
ad_42a12boox,2.39251717888191,Upregulated
ad_4hglsdm,1.13404428506952,Unchanged
ad_4hoxpacdox_nadp_,1.69958118332433,Unchanged
ad_4mopt2im,0,Unchanged
ad_4pyrdx,1.37746030762253,Unchanged
ad_5aoptm,0,Unchanged
ad_5hltdl,2.08263314352857,Upregulated
ad_5hoxindacto2ox,3.68891657064898,Upregulated
ad_5hoxinoxda,2.08263314352857,Upregulated
ad_5mthft2,0,Unchanged
ad_7dhftl,0.794873400979499,Unchanged
ad_7dhftm,0.787752522036304,Unchanged
ad_7thftm,0.790687689489564,Unchanged
ad_a4galtg,1.39048625609044,Unchanged
ad_aactoor,0,Unchanged
ad_aacttm,0,Unchanged
ad_abutt2rl,0,Unchanged
ad_acact10m,7.32532345880956,Upregulated
ad_acact1rm,1.97820193259332,Unchanged
ad_acact1x,0,Unchanged
ad_acact4p,4.75836826963333,Upregulated
ad_acact5p,1.83732329992951,Unchanged
ad_acact6p,1.66494159594162,Unchanged
ad_acact7p,1.66494159594162,Unchanged
ad_acact8p,7.55266294553694,Upregulated
ad_acact9p,7.55253030080899,Upregulated
ad_acaldtm,0,Unchanged
ad_accoacm,1.07268925687964,Unchanged
ad_accoalm,1.90220359755218,Unchanged
ad_accoatr,0.999999874321185,Unchanged
ad_acetonet2,0,Unchanged
ad_acgaltly,1.10363672748117,Unchanged
ad_acgam6psi,109.652061829477,Upregulated
ad_acgamk,7.12251431212106,Upregulated
ad_acgampm,7.12251425420278,Upregulated
ad_acgamtly,7.12251431212106,Upregulated
ad_acitl,1.262110083772,Unchanged
ad_acnam9pl,1.19850701307171,Unchanged
ad_acnamlt,0,Unchanged
ad_acnamph,1.19850701307171,Unchanged
ad_acnmlr,1.19850701307171,Unchanged
ad_acoad10m,1.03585235240232,Unchanged
ad_acoad1fm,1.29842360740198,Unchanged
ad_acoad9m,0.127871660836694,Downregulated
ad_acoao7p,1.66494159594162,Unchanged
ad_acontm,0,Unchanged
ad_acp1_fmn_,1.54441637593806,Unchanged
ad_acrntm,313446.974508296,Unchanged
ad_acs2,1.10363663289731,Unchanged
ad_act2m,0,Unchanged
ad_actg,0,Unchanged
ad_adcim,1.99391328558667,Unchanged
ad_adet,0,Unchanged
ad_adk1m,0,Unchanged
ad_adk3,0,Unchanged
ad_adk3m,0,Unchanged
ad_adkd,0,Unchanged
ad_admdc,1.04303539333909,Unchanged
ad_adncyc,1.103636581434,Unchanged
ad_adnt,0,Unchanged
ad_adntl,0.0181327556252753,Downregulated
ad_adntm,0,Unchanged
ad_adrncoatx,8.74840172099296,Upregulated
ad_adrncpt1,1.80186664074668,Unchanged
ad_adrncpt2,1.80186653961323,Unchanged
ad_adrncrnt,0,Unchanged
ad_adsk,1.52079344985383,Unchanged
ad_ag13t16g,1.1588771487002,Unchanged
ad_ag13t17g,1.1588771487002,Unchanged
ad_ag13t18g,1.1588771487002,Unchanged
ad_ag13t1g,1.15852757057173,Unchanged
ad_ag13t2g,1.15852757057173,Unchanged
ad_ag13t3g,1.15852757057173,Unchanged
ad_agpat1,0,Unchanged
ad_ahcystr,0,Unchanged
ad_akgmaltm,0,Unchanged
ad_alaasnnaex,0,Unchanged
ad_alacysnaex,0,Unchanged
ad_alaglnnaex,0,Unchanged
ad_alasernaex,0,Unchanged
ad_alasm,0,Unchanged
ad_alat4,0,Unchanged
ad_alata_l,1.99649977618177,Unchanged
ad_alathrnaex,0,Unchanged
ad_alcd21_d,0,Unchanged
ad_alcd21_l,0,Unchanged
ad_alcd22_d,0,Unchanged
ad_alcd22_l,0,Unchanged
ad_aldd20x,1.69958094281508,Unchanged
ad_aldd20xm,1.60679780061357,Unchanged
ad_aldd21,0.189059832693265,Downregulated
ad_aldd2xm,9.83360270238815,Upregulated
ad_aldd2y,4.71397696458797,Upregulated
ad_alox52,11274459.0251494,Unchanged
ad_alr2,0,Unchanged
ad_alr3,0,Unchanged
ad_amacr2p,2.32370212276855,Upregulated
ad_ametr,0,Unchanged
ad_amett2m,1.21279519794841,Unchanged
ad_ampda,0,Unchanged
ad_aobutdsm,0,Unchanged
ad_aprto2,0.528532390579933,Unchanged
ad_arachcpt1,13.4659040004369,Upregulated
ad_arachcpt2,13.4659042318736,Upregulated
ad_arachcrnt,0,Unchanged
ad_argss,0.996792450986438,Unchanged
ad_arsa,1.60084542598438,Unchanged
ad_r_group_phosphotase_1,0,Unchanged
ad_r_group_phosphotase_2,0,Unchanged
ad_r_group_phosphotase_3,0.541601027491966,Unchanged
ad_artplm3,14.3164597132744,Upregulated
ad_asah1,2.53094747172247,Upregulated
ad_ascbt4,514678.922072947,Unchanged
ad_asnalanaex,0,Unchanged
ad_asncysnaex,0,Unchanged
ad_asnglnnaex,0,Unchanged
ad_asnsernaex,0,Unchanged
ad_asnthrnaex,0,Unchanged
ad_aspdt6,1.0461243839999,Unchanged
ad_aspt6,1.04612438400007,Unchanged
ad_atp1ter,1.19850687761865,Unchanged
ad_atp2ter,0,Unchanged
ad_atph1e,3484686.27270227,Unchanged
ad_atph2e,3156778.27771778,Unchanged
ad_atptm,0,Unchanged
ad_b3galt3g,1.39048625609044,Unchanged
ad_b3galt41g,1.14027383916351,Unchanged
ad_b3galt5g,1.39048626898233,Unchanged
ad_baat3x,2.32370212276855,Upregulated
ad_bamppaldox,1.04303540292582,Unchanged
ad_bhmt,0,Unchanged
ad_bildglcurte,1.19850686053488,Unchanged
ad_bilglcurtr,0,Unchanged
ad_bilired,1.10179162338003,Unchanged
ad_bilirubt2,0,Unchanged
ad_bilirubtr,8.90528366200847,Upregulated
ad_c14strr,2.01687487744693,Upregulated
ad_c161cpt12,2.13437562108183,Upregulated
ad_c161cpt22,8.7364646525859,Upregulated
ad_c180cpt1,0,Unchanged
