Reaction,FSR,RegulationStatus
ad_10fthf7glutl,0.305100353118465,Downregulated
ad_10fthf7glutm,0.161658225033612,Downregulated
ad_13damppox,0.17754960744358,Downregulated
ad_3dsphr,0.0724261705987445,Downregulated
ad_3m4hdxpac,0.301624033088712,Downregulated
ad_3mldat,0.211130912034312,Downregulated
ad_3mopt2im,0.23489444787319,Downregulated
ad_3moxtyrox,0.301624032824926,Downregulated
ad_4hoxpacdox_nadp_,0.385441066993513,Downregulated
ad_4pyrdx,0.312356921833606,Downregulated
ad_5hltdl,0.472317102746157,Downregulated
ad_5hoxinoxda,0.472317102746157,Downregulated
ad_7dhftl,0.180240029996486,Downregulated
ad_7dhftm,0.17862347393287,Downregulated
ad_7thftm,0.179294076822759,Downregulated
ad_a4galtg,0.315254435786646,Downregulated
ad_acact1rm,0.448891122343975,Downregulated
ad_acact5p,0.378079543636751,Downregulated
ad_acact6p,0.378079612424623,Downregulated
ad_acact7p,0.378079612424623,Downregulated
ad_accoacm,0.243212840850685,Downregulated
ad_accoalm,0.431277593859197,Downregulated
ad_acgaltly,0.25023926797644,Downregulated
ad_acgam6psi,24.8769441906756,Upregulated
ad_acitl,0.286198783716931,Downregulated
ad_acnam9pl,0.271765259102007,Downregulated
ad_acnamph,0.271765259102007,Downregulated
ad_acnmlr,0.271765259102007,Downregulated
ad_acoad10m,0.234894227804534,Downregulated
ad_acoad1fm,0.294502377576857,Downregulated
ad_acoad9m,0.127789005624215,Downregulated
ad_acoao7p,0.378079612424623,Downregulated
ad_acp1_fmn_,0.350201242942506,Downregulated
ad_acrntm,157741.367665624,Upregulated
ad_acs2,0.250239296691724,Downregulated
ad_adcim,0.450135303830648,Downregulated
ad_admdc,0.236526338289876,Downregulated
ad_adncyc,0.250239343691749,Downregulated
ad_adntl,0.0181073679553705,Downregulated
ad_adrncpt1,0.408573500873173,Downregulated
ad_adrncpt2,0.408573499008737,Downregulated
ad_adsk,0.344827538496626,Downregulated
ad_ag13t16g,0.262767297677032,Downregulated
ad_ag13t17g,0.262767297677032,Downregulated
ad_ag13t18g,0.262767297677032,Downregulated
ad_ag13t1g,0.26268767527045,Downregulated
ad_ag13t2g,0.26268767527045,Downregulated
ad_ag13t3g,0.26268767527045,Downregulated
ad_alata_l,0.448253127971758,Downregulated
ad_aldd20x,0.3854410090939,Downregulated
ad_aldd20xm,0.364392331307215,Downregulated
ad_aldd21,0.0428479471925721,Downregulated
ad_aldd2xm,2.23218869460188,Upregulated
ad_alox52,11347052.7935979,Upregulated
ad_amett2m,0.275037678032778,Downregulated
ad_aprto2,0.119867914047842,Downregulated
ad_arachcpt1,3.05343182891145,Upregulated
ad_arachcpt2,3.05343046293481,Upregulated
ad_argss,0.226011040474845,Downregulated
ad_arsa,0.362989135273888,Downregulated
ad_r_group_phosphotase_3,0.122798943832635,Downregulated
ad_artplm3,3.24598587265881,Upregulated
ad_ascbt4,517200.492143813,Upregulated
ad_atp1ter,0.271765468622644,Downregulated
ad_atph1e,3507122.09150311,Upregulated
ad_atph2e,3177102.79876207,Upregulated
ad_b3galt3g,0.315254435786646,Downregulated
ad_b3galt41g,0.25854621804204,Downregulated
ad_b3galt5g,0.315254670935339,Downregulated
ad_bamppaldox,0.236526127121449,Downregulated
ad_bildglcurte,0.271765184782282,Downregulated
ad_bilired,0.249811815923855,Downregulated
ad_bilirubtr,2.00347076064534,Upregulated
ad_c14strr,0.457316882086622,Downregulated
ad_c161cpt12,0.420044293532564,Downregulated
ad_c3stdh1pr,0.457316662268097,Downregulated
ad_c3stkr2r,0.457316571056399,Downregulated
ad_c4stmo2pr,0.457316615854411,Downregulated
ad_caatps,0.271765222371298,Downregulated
ad_catm,0.391520861377178,Downregulated
ad_cbpper,0.274283466678096,Downregulated
ad_cbpter,0.274283466514879,Downregulated
ad_cdiptr,19.1566192075985,Upregulated
ad_cdsm,18.6495445517753,Upregulated
ad_cerk,0.271765215838659,Downregulated
ad_cert1rt,0.221912803556191,Downregulated
ad_cert2rt,0.315254567872315,Downregulated
ad_chsteroltg,0.271765252660881,Downregulated
ad_ckc,0.351814846738953,Downregulated
ad_cloxatex2,2913474.57699259,Upregulated
ad_cmpacnatg,0.25854622058065,Downregulated
ad_cmpsas,0.250239390968854,Downregulated
ad_core2gtg,0.26268767527045,Downregulated
ad_core3gtg,0.262767297677032,Downregulated
ad_core4gtg,0.262767297677032,Downregulated
ad_cot,0.24981181831302,Downregulated
ad_crncartp,157741.309218475,Upregulated
ad_csapasely,0.265947795301414,Downregulated
ad_csbpasely,0.265684540100108,Downregulated
ad_cscpasely,0.265947782037099,Downregulated
ad_csdpasely,0.265475539831244,Downregulated
ad_csepasely,0.265306206710246,Downregulated
ad_csnatm,0.259049836443868,Downregulated
ad_csnatp,0.297212824916418,Downregulated
ad_cspg_at,0.265947795301414,Downregulated
ad_cspg_atly,0.265947795301414,Downregulated
ad_cspg_bt,0.265684540100108,Downregulated
ad_cspg_btly,0.265684540100108,Downregulated
ad_cspg_ct,0.265947782037099,Downregulated
ad_cspg_ctly,0.265947782037099,Downregulated
ad_cspg_dt,0.265475539831244,Downregulated
ad_cspg_dtly,0.265475539831244,Downregulated
ad_cspg_et,0.265306206710246,Downregulated
ad_cspg_etly,0.265306206710246,Downregulated
ad_cytdk1,2.28845697669387,Upregulated
ad_cytdk2m,18.3806999637396,Upregulated
ad_cytdtl,0.271765333660169,Downregulated
ad_cytdtm,18.3806999636333,Upregulated
ad_cytk1m,18.649544551863,Upregulated
ad_dagkn_hs,0.0238613927377869,Downregulated
ad_datptn,0.274324769650309,Downregulated
ad_dck1m,464901.187921894,Upregulated
ad_dck1n,857926.8651078,Upregulated
ad_desat18_4,2.55562358816281,Upregulated
ad_desat18_5,3.71176722991158,Upregulated
ad_desat18_8,2.07752946487525,Upregulated
