Reaction,FSR,RegulationStatus
ad_10fthf7glutl,0.0919101678240053,Downregulated
ad_10fthf7glutm,0.0472970442700556,Downregulated
ad_13damppox,0.0529287098457326,Downregulated
ad_34dhoxpegox,0.182404517609827,Downregulated
ad_34dhoxpegt,0.182404517609827,Downregulated
ad_34hppor,0.159597715720183,Downregulated
ad_3dsphr,0.0248164327126564,Downregulated
ad_3hbcoahlm,0.0648459383769674,Downregulated
ad_3m4hdxpac,0.0911658381272572,Downregulated
ad_3mldat,0.0637752770603738,Downregulated
ad_3mobt2im,0.0648306456971805,Downregulated
ad_3mopt2im,0.0662839417863311,Downregulated
ad_3moxtyrox,0.0911658381272572,Downregulated
ad_3salacboxl,0.178747904420731,Downregulated
ad_3salaox,0.187250503653906,Downregulated
ad_41r1h2mae12boox,0.183088146256569,Downregulated
ad_41r2a1h12boox,0.182483642844878,Downregulated
ad_42a12boox,0.168656462338585,Downregulated
ad_4hoxpacdox_nadp_,0.115152116556603,Downregulated
ad_4pyrdx,0.0914053275511128,Downregulated
ad_5hltdl,0.133415107981991,Downregulated
ad_5hoxindacto2ox,0.184611561391348,Downregulated
ad_5hoxinoxda,0.133415107981991,Downregulated
ad_7dhftl,0.0538148320729712,Downregulated
ad_7dhftm,0.0524298323343914,Downregulated
ad_7thftm,0.0525057934911077,Downregulated
ad_a4galtg,0.0958560505746606,Downregulated
ad_acact10m,0.470406107428592,Downregulated
ad_acact1rm,0.128291132360866,Downregulated
ad_acact4p,0.187257747514013,Downregulated
ad_acact5p,0.0722376247623734,Downregulated
ad_acact6p,0.0722854363851071,Downregulated
ad_acact7p,0.0722854363851071,Downregulated
ad_acact8p,6623.24632703287,Upregulated
ad_acact9p,6623.24633019941,Upregulated
ad_accoacm,0.0727798332817076,Downregulated
ad_accoalm,0.130353955437447,Downregulated
ad_acgaltly,0.0751235862185977,Downregulated
ad_acgam6psi,5.22594327475024,Upregulated
ad_acgamk,0.484240149718867,Downregulated
ad_acgampm,0.484240609868697,Downregulated
ad_acgamtly,0.484240149718867,Downregulated
ad_acitl,0.0855036719561017,Downregulated
ad_acnam9pl,0.0811416061392689,Downregulated
ad_acnamph,0.0811416061392689,Downregulated
ad_acnmlr,0.0811416061392689,Downregulated
ad_acoad10m,0.0662859272323052,Downregulated
ad_acoad1fm,0.0868602036024945,Downregulated
ad_acoao7p,0.0722854363851071,Downregulated
ad_acp1_fmn_,0.104560226169499,Downregulated
ad_acs2,0.0751236320772802,Downregulated
ad_adcim,0.0674702012379817,Downregulated
ad_admdc,0.0723340746495983,Downregulated
ad_adncyc,0.075123738466908,Downregulated
ad_adrncoatx,0.429126696090705,Downregulated
ad_adrncpt1,0.0954256654194597,Downregulated
ad_adrncpt2,0.0954258140314803,Downregulated
ad_adsk,0.100904787459094,Downregulated
ad_ag13t16g,0.0788579804515091,Downregulated
ad_ag13t17g,0.0788579804515091,Downregulated
ad_ag13t18g,0.0788579804515091,Downregulated
ad_ag13t1g,0.0788554175825733,Downregulated
ad_ag13t2g,0.0788554175825733,Downregulated
ad_ag13t3g,0.0788554175825733,Downregulated
ad_alata_l,0.399438962939874,Downregulated
ad_aldd20x,0.115152135678061,Downregulated
ad_aldd20xm,0.108566246355253,Downregulated
ad_amacr2p,0.155038826325846,Downregulated
ad_amett2m,0.0834410981550069,Downregulated
ad_aprto2,0.0344337433373591,Downregulated
ad_argss,0.0710916156924227,Downregulated
ad_arsa,0.10860112219472,Downregulated
ad_r_group_phosphotase_3,0.0369323048288798,Downregulated
ad_asah1,0.177003727807219,Downregulated
ad_atp1ter,0.0811416518204149,Downregulated
ad_b3galt3g,0.0958560505746606,Downregulated
ad_b3galt41g,0.0776787481040291,Downregulated
ad_b3galt5g,0.0958560729692982,Downregulated
ad_baat3x,0.155038826347958,Downregulated
ad_bamppaldox,0.0704373530054915,Downregulated
ad_bildglcurte,0.0811415404256438,Downregulated
ad_bilired,0.074337793475462,Downregulated
ad_c14strr,0.133993763289514,Downregulated
ad_c161cpt12,0.121304353778972,Downregulated
ad_c3stdh1pr,0.133993607267121,Downregulated
ad_c3stkr2r,0.133994017507294,Downregulated
ad_c4stmo2pr,0.13399719839709,Downregulated
ad_caatps,0.0811416016181567,Downregulated
ad_catm,0.0892016093154376,Downregulated
ad_cbpper,0.0827955923511439,Downregulated
ad_cbpter,0.0827955923511439,Downregulated
ad_cdpdagtm,8.96711078437375,Upregulated
ad_cerk,0.0811417076634674,Downregulated
ad_cert1rt,0.0679634472245632,Downregulated
ad_cert2rt,0.0958559248768167,Downregulated
ad_chsteroltg,0.0811415664130091,Downregulated
ad_ckc,0.105376067768596,Downregulated
ad_clpndcpt1,0.465025794524572,Downregulated
ad_clpndcpt2,0.465025649788061,Downregulated
ad_cmpacnatg,0.0776782968094249,Downregulated
ad_cmpsas,0.0751236118720111,Downregulated
ad_coatl,0.261405151280669,Downregulated
ad_core2gtg,0.0788554175825733,Downregulated
ad_core3gtg,0.0788579804515091,Downregulated
ad_core4gtg,0.0788579804515091,Downregulated
ad_cot,0.0743378188287835,Downregulated
ad_csapasely,0.0797671243029942,Downregulated
ad_csbpasely,0.0796650059984414,Downregulated
ad_cscpasely,0.0796978307982105,Downregulated
ad_csdpasely,0.0795841530084774,Downregulated
ad_csepasely,0.079518553169156,Downregulated
ad_csnatm,0.0714498370949239,Downregulated
ad_csnatp,0.07538655092676,Downregulated
ad_cspg_at,0.0797671243029942,Downregulated
ad_cspg_atly,0.0797671243029942,Downregulated
ad_cspg_bt,0.0796650059984414,Downregulated
ad_cspg_btly,0.0796650059984414,Downregulated
ad_cspg_ct,0.0796978307982105,Downregulated
ad_cspg_ctly,0.0796978307982105,Downregulated
ad_cspg_dt,0.0795841530084774,Downregulated
ad_cspg_dtly,0.0795841530084774,Downregulated
ad_cspg_et,0.079518553169156,Downregulated
ad_cspg_etly,0.079518553169156,Downregulated
ad_cyso,0.178747812307656,Downregulated
ad_cysta,0.231226825888134,Downregulated
ad_cytdk1,2.2764038485758,Upregulated
ad_cytdtl,0.0811413386228366,Downregulated
ad_datptn,0.0819302053546087,Downregulated
ad_dcsptn1cpt1,0.274604004333316,Downregulated
ad_dcsptn1cpt2,0.274604108312006,Downregulated
ad_desat16_2,0.271022380568203,Downregulated
ad_desat18_3,0.214194552848659,Downregulated
ad_desat18_7,0.352741366019294,Downregulated
ad_desat18_8,0.488010690062872,Downregulated
ad_desat18_9,0.24597997960494,Downregulated
ad_desat22_1p,0.429126160151917,Downregulated
ad_dgat,0.0751234915936237,Downregulated
ad_dgcholtx,0.155038826326932,Downregulated
ad_dgk2m,0.0740741010778955,Downregulated
ad_dgnskm,0.074074100734842,Downregulated
ad_dgsntm,0.0740741010778955,Downregulated
ad_dgtptn,0.0819303171672366,Downregulated
ad_dhaat1r,0.0518038926085541,Downregulated
ad_dhcrd1,265.348452674504,Upregulated
ad_dhcrd2,1479.10196503575,Upregulated
ad_d_lact2,0.116534467095562,Downregulated
ad_dm_dctp_m_,0.0672824810009252,Downregulated
ad_dndpt28m,0.0672824810009252,Downregulated
ad_dndpt39m,0.0244899771517436,Downregulated
ad_dopamt,0.0911658381272572,Downregulated
ad_dopasft,0.100882640538161,Downregulated
ad_dopasult,0.100882640538161,Downregulated
ad_dpcoatl,0.261405151280669,Downregulated
ad_dpgase,0.0810713632258144,Downregulated
ad_dpgm,0.0810713632258144,Downregulated
ad_dsat,0.0740870229880775,Downregulated
ad_dttptn,0.0819294306573684,Downregulated
ad_dutpdpm,0.130354008291065,Downregulated
ad_ecoah12m,0.0648459383696869,Downregulated
ad_ecoah9m,0.470406107428592,Downregulated
ad_eicostetcpt1,0.22182646089967,Downregulated
ad_eicostetcpt2,0.221320729168649,Downregulated
ad_etf,0.341210936593661,Downregulated
ad_etfqo,0.341210936593661,Downregulated
ad_facoal150,0.0751237243626039,Downregulated
ad_facoal160i,0.0686087816794243,Downregulated
ad_facoal170,0.0751236754857506,Downregulated
ad_facoal180i,0.0824491958222607,Downregulated
ad_facoal1812,0.192836402580299,Downregulated
ad_facoal1813,0.226329994286111,Downregulated
ad_facoal181i,0.0751236161625737,Downregulated
ad_facoal1821,0.0686086288873107,Downregulated
ad_facoal1822,0.0751235797940097,Downregulated
ad_facoal1831,0.0837620149245257,Downregulated
ad_facoal1832,0.0753712291619357,Downregulated
ad_facoal184,0.0751237050367475,Downregulated
ad_facoal200,0.0681884108142816,Downregulated
ad_facoal203,0.0751242832526239,Downregulated
ad_facoal204,0.0751234939366044,Downregulated
ad_facoal2042,0.0751236120000728,Downregulated
ad_facoal205,0.0686086322630314,Downregulated
ad_facoal224,0.0751235148697832,Downregulated
ad_facoal2251,0.0751235993106255,Downregulated
ad_facoal2252,0.0751236216802588,Downregulated
ad_facoal226,0.0751236172990627,Downregulated
ad_facoal240,0.0751236898495404,Downregulated
ad_facoal244_1,0.0751234721184524,Downregulated
ad_facoal245_1,0.0751236114851166,Downregulated
ad_facoal245_2,0.0751234721184524,Downregulated
ad_facoal246_1,0.075123469860259,Downregulated
ad_facoal260,0.0751235897410167,Downregulated
ad_fael183,0.308639450214469,Downregulated
ad_fael184,0.217076353788864,Downregulated
ad_fael204,0.159050123829699,Downregulated
ad_fah3,0.148445359672548,Downregulated
ad_faoxc160,0.475917898010353,Downregulated
ad_faoxc16180m,0.485112791338021,Downregulated
ad_faoxc1811602m,0.437269657773077,Downregulated
ad_faoxc1811603m,0.309547675730982,Downregulated
ad_faoxc18280m,0.448202908333165,Downregulated
ad_faoxc183806m,0.346349453832222,Downregulated
ad_faoxc204,0.347730854698832,Downregulated
ad_faoxc204184m,0.221826184543899,Downregulated
ad_faoxc2051843m,0.0794243491413137,Downregulated
ad_faoxc2242046m,0.0954318680480301,Downregulated
ad_faoxc2251836m,0.274603639184915,Downregulated
ad_faoxc2252053m,0.283427502992164,Downregulated
ad_faoxc226,0.412170657880563,Downregulated
ad_fba4,0.155916644147075,Downregulated
ad_fbp26,0.0811414552237535,Downregulated
ad_fcltm,0.0725487423459181,Downregulated
ad_fdh,0.0162187552085591,Downregulated
ad_fe3r2e,0.0518038926085541,Downregulated
ad_fpgs2,0.0811415612979715,Downregulated
ad_fpgs2m,0.0525057934911077,Downregulated
ad_fpgs3,0.0811415612979715,Downregulated
ad_fpgs3m,0.0525057934911077,Downregulated
ad_fpgs4,0.0811417468444254,Downregulated
ad_fpgs4m,0.0524298323343914,Downregulated
ad_fpgs5,0.0811417468444254,Downregulated
ad_fpgs5m,0.0524298323343914,Downregulated
ad_fpgs6,0.0811417468444254,Downregulated
ad_fpgs6m,0.0524298323343914,Downregulated
ad_fpgs7m,0.0472970442700556,Downregulated
ad_fpgs8,0.118936880873706,Downregulated
ad_fpgs8m,0.0472970442700556,Downregulated
ad_fpgs9,0.118936880781722,Downregulated
ad_fpgs9m,0.0472970442700556,Downregulated
ad_fpgsm,0.0525057934911077,Downregulated
ad_fthfdh,0.142733964111769,Downregulated
ad_fucgalgbsidete,0.0958560729692982,Downregulated
ad_fumac,0.159597715720183,Downregulated
ad_fumm,2.05944480602491,Upregulated
ad_fut11g,0.0958560729692982,Downregulated
ad_g14t18g,0.0788579804515091,Downregulated
ad_g14t19g,0.0788579804515091,Downregulated
ad_g14t20g,0.0788579804515091,Downregulated
ad_g14t21g,0.0788579804515091,Downregulated
ad_g14t2g,0.0788554175825733,Downregulated
ad_g14t3g,0.0788554175825733,Downregulated
ad_g14t4g,0.0788554175825733,Downregulated
ad_g14t5g,0.0788554175825733,Downregulated
ad_g6pper,0.0827955923511439,Downregulated
ad_gal3st11,0.10860112219472,Downregulated
ad_galase16ly,0.0788554175825733,Downregulated
ad_galase17ly,0.0788555212931501,Downregulated
ad_galase18ly,0.0788553991322351,Downregulated
ad_galase19ly,0.0788553991322351,Downregulated
ad_galase20ly,0.078857980451509,Downregulated
ad_galglusidetg,0.0838338764998363,Downregulated
ad_galgt1,0.0776787481040291,Downregulated
ad_galnact1g,0.0797669602077655,Downregulated
ad_galnact2g,0.0797669845828378,Downregulated
ad_galnact3g,0.0796978307982105,Downregulated
ad_galnact4g,0.0795841530084774,Downregulated
ad_galnact5g,0.079518553169156,Downregulated
ad_galntg,0.0788553991322351,Downregulated
ad_galor,0.0191748418634543,Downregulated
ad_galsidetg,0.168709351288361,Downregulated
ad_galt2g,0.0797668944206015,Downregulated
ad_galtg,0.0797668944206015,Downregulated
ad_galtly,0.131815968685167,Downregulated
ad_gcalddm,0.0347503655661672,Downregulated
ad_gdpfuctg,0.0958560729692982,Downregulated
ad_gfucs,0.0958561963332081,Downregulated
