Reaction,FSR,RegulationStatus
ad_10fthf7glutm,0.275587498121675,Downregulated
ad_13damppox,0.302678480132692,Downregulated
ad_3dsphr,0.123468843980463,Downregulated
ad_3mldat,0.359926079845997,Downregulated
ad_3mopt2im,0.400437053530365,Downregulated
ad_7dhftl,0.307265007128089,Downregulated
ad_7dhftm,0.304508811863516,Downregulated
ad_7thftm,0.305652295590425,Downregulated
ad_acact10m,2.83097494844157,Upregulated
ad_acact8p,2.91935397070248,Upregulated
ad_acact9p,2.91935344659211,Upregulated
ad_accoacm,0.414618215613431,Downregulated
ad_acgaltly,0.426596468663334,Downregulated
ad_acgam6psi,42.4090807758717,Upregulated
ad_acgamk,2.75294243802278,Upregulated
ad_acgampm,2.75294307734124,Upregulated
ad_acgamtly,2.75294243802278,Upregulated
ad_acitl,0.487898521888495,Downregulated
ad_acnam9pl,0.463292965022675,Downregulated
ad_acnamph,0.463292965022675,Downregulated
ad_acnmlr,0.463292965022675,Downregulated
ad_acoad10m,0.400437292738942,Downregulated
ad_acoad9m,0.127815743437738,Downregulated
ad_acs2,0.426596387456547,Downregulated
ad_admdc,0.403219011717339,Downregulated
ad_adncyc,0.426596598254205,Downregulated
ad_adntl,0.0181086225006003,Downregulated
ad_adrncoatx,3.38334349679523,Upregulated
ad_ag13t16g,0.447953707765808,Downregulated
ad_ag13t17g,0.447953707765808,Downregulated
ad_ag13t18g,0.447953707765808,Downregulated
ad_ag13t1g,0.447817756409619,Downregulated
ad_ag13t2g,0.447817756409619,Downregulated
ad_ag13t3g,0.447817756409619,Downregulated
ad_aldd21,0.0730837562431577,Downregulated
ad_aldd2xm,3.80533573916371,Upregulated
ad_amett2m,0.46887161263742,Downregulated
ad_aprto2,0.204345411175037,Downregulated
ad_arachcpt1,5.20535246215308,Upregulated
ad_arachcpt2,5.20535376991918,Upregulated
ad_argss,0.385293304249954,Downregulated
ad_r_group_phosphotase_3,0.209341977081861,Downregulated
ad_artplm3,5.53360941588328,Upregulated
ad_atp1ter,0.463292846750687,Downregulated
ad_b3galt41g,0.440757839639095,Downregulated
ad_bamppaldox,0.403218179310627,Downregulated
ad_bildglcurte,0.463292956269975,Downregulated
ad_bilired,0.425867844542647,Downregulated
ad_bilirubtr,3.41733985821323,Upregulated
ad_c161cpt22,3.25560787541243,Upregulated
ad_c226cpt1,3.28245642939621,Upregulated
ad_c226cpt2,3.28245105077127,Upregulated
ad_caatps,0.463292804022921,Downregulated
ad_cbpper,0.467585899282013,Downregulated
ad_cbpter,0.467585899127688,Downregulated
ad_cdiptr,32.6573380189452,Upregulated
ad_cdsm,31.7929003779887,Upregulated
ad_cerk,0.463292951466334,Downregulated
ad_cert1rt,0.378306928082597,Downregulated
ad_chsteroltg,0.463292886337849,Downregulated
ad_clpndcpt1,2.85110687439448,Upregulated
ad_clpndcpt2,2.85111234607763,Upregulated
ad_cmpacnatg,0.440757867307289,Downregulated
ad_cmpsas,0.426596504621823,Downregulated
ad_core2gtg,0.447817756409619,Downregulated
ad_core3gtg,0.447953707765808,Downregulated
ad_core4gtg,0.447953707765808,Downregulated
ad_cot,0.425867722734191,Downregulated
ad_csapasely,0.453375495795137,Downregulated
ad_csbpasely,0.452926855466971,Downregulated
ad_cscpasely,0.453375409005608,Downregulated
ad_csdpasely,0.4525709006329,Downregulated
ad_csepasely,0.452281706268204,Downregulated
ad_csnatm,0.441592428864158,Downregulated
ad_cspg_at,0.453375495795137,Downregulated
ad_cspg_atly,0.453375495795137,Downregulated
ad_cspg_bt,0.452926855466971,Downregulated
ad_cspg_btly,0.452926855466971,Downregulated
ad_cspg_ct,0.453375409005608,Downregulated
ad_cspg_ctly,0.453375409005608,Downregulated
ad_cspg_dt,0.4525709006329,Downregulated
ad_cspg_dtly,0.4525709006329,Downregulated
ad_cspg_et,0.452281706268204,Downregulated
ad_cspg_etly,0.452281706268204,Downregulated
ad_cytdk1,2.28840003847187,Upregulated
ad_cytdk2m,31.3345717513698,Upregulated
ad_cytdtl,0.463292829487741,Downregulated
ad_cytdtm,31.334571756977,Upregulated
ad_cytk1m,31.792900375652,Upregulated
ad_dagkn_hs,0.0406732587899407,Downregulated
ad_datptn,0.467706068052997,Downregulated
ad_dcsptn1cpt1,2.06760814508021,Upregulated
ad_dcsptn1cpt2,2.06760800358118,Upregulated
ad_desat18_4,4.35671099457531,Upregulated
ad_desat18_5,6.32765043266781,Upregulated
ad_desat18_7,2.56862958584935,Upregulated
ad_desat18_8,3.54167693091413,Upregulated
ad_desat22_1p,3.38334431610785,Upregulated
ad_dgat,0.426596411560828,Downregulated
ad_dgk2m,0.422940025426303,Downregulated
ad_dgnskm,0.422940025426303,Downregulated
ad_dgsntm,0.422940025426303,Downregulated
ad_dgtptn,0.467706162531103,Downregulated
ad_dhaat1r,0.379446565597053,Downregulated
ad_dhcrd1,171.063808707095,Upregulated
ad_dhcrd2,953.757975319656,Upregulated
ad_dlnlcgcpt2,5.20535404003541,Upregulated
ad_dm_dctp_m_,0.382310839391316,Downregulated
ad_dmattx,0.0213756229441234,Downregulated
ad_dndpt28m,0.382310839391316,Downregulated
ad_dndpt39m,0.138836014044707,Downregulated
ad_dpgase,0.463292830627198,Downregulated
ad_dpgm,0.463292830627198,Downregulated
ad_dpmvdx,0.0213756261121274,Downregulated
ad_dsat,0.421638757413511,Downregulated
ad_dttptn,0.467656455114344,Downregulated
ad_ecoah1x,3.73951273964104,Upregulated
ad_ecoah9m,2.83097494844157,Upregulated
ad_etf,0.236086112223979,Downregulated
ad_etfqo,0.236086112223979,Downregulated
ad_facoal150,0.426596539523462,Downregulated
ad_facoal160i,0.378532332474884,Downregulated
ad_facoal170,0.426596525368927,Downregulated
ad_facoal180i,0.456731129176218,Downregulated
ad_facoal181i,0.426596462772813,Downregulated
ad_facoal1821,0.378532337250681,Downregulated
ad_facoal1822,0.426596602339664,Downregulated
ad_facoal1831,0.462135932475414,Downregulated
ad_facoal1832,0.44283600473916,Downregulated
ad_facoal184,0.426596498900456,Downregulated
ad_facoal200,0.378602641746792,Downregulated
ad_facoal203,0.426596521920994,Downregulated
ad_facoal204,0.429220493911855,Downregulated
ad_facoal2042,0.426596526514545,Downregulated
ad_facoal205,0.378532329552871,Downregulated
ad_facoal224,0.426596553516994,Downregulated
ad_facoal2251,0.426596547647972,Downregulated
ad_facoal2252,0.426596456321424,Downregulated
ad_facoal226,0.426596538638282,Downregulated
ad_facoal240,0.426596535207448,Downregulated
ad_facoal244_1,0.426596622941205,Downregulated
ad_facoal245_1,0.426596600543454,Downregulated
ad_facoal245_2,0.426596622941205,Downregulated
ad_facoal246_1,0.426596616223516,Downregulated
ad_facoal260,0.426596586493025,Downregulated
ad_fael183,2.24943825989891,Upregulated
ad_fael205,3.66734904051334,Upregulated
ad_faoxc140,3.44425183756087,Upregulated
ad_faoxc160,3.22009211732507,Upregulated
ad_faoxc16080m,4.09852914274007,Upregulated
ad_faoxc161802m,5.46470387476673,Upregulated
ad_faoxc16180m,3.52377775141244,Upregulated
ad_faoxc1811601m,4.7523612157177,Upregulated
ad_faoxc1811602m,3.16563652929578,Upregulated
ad_faoxc1811603m,2.2409837006528,Upregulated
ad_faoxc182806m,4.04205717123679,Upregulated
ad_faoxc18280m,3.25277063158907,Upregulated
ad_faoxc183803m,3.58575298837125,Upregulated
ad_faoxc183806m,2.34115668421721,Upregulated
ad_faoxc18480m,3.09408566015422,Upregulated
ad_faoxc200180m,5.20535357151137,Upregulated
ad_faoxc2031836m,5.20535368816649,Upregulated
ad_faoxc204,2.34081205744565,Upregulated
ad_faoxc2051843m,0.450249217748618,Downregulated
ad_faoxc2251836m,2.06760816738331,Upregulated
ad_faoxc2252053m,2.1893578254803,Upregulated
ad_faoxc226,2.43237023037979,Upregulated
ad_faoxc226205m,3.2822617906561,Upregulated
ad_faoxc80,3.41911145101227,Upregulated
ad_fas160coa,7.54902662270744,Upregulated
ad_fas180coa,9.0092250891712,Upregulated
ad_fas80coa_l,12.2848898024511,Upregulated
ad_fbp26,0.463293051025121,Downregulated
ad_fcltm,0.415711146449249,Downregulated
ad_fdh,0.0963733922713749,Downregulated
ad_fe3r2e,0.379446565597053,Downregulated
ad_folt2,15427.3976290801,Upregulated
ad_fpgs2,0.46329302509603,Downregulated
ad_fpgs2m,0.305652295590425,Downregulated
ad_fpgs3,0.46329302509603,Downregulated
ad_fpgs3m,0.305652295590425,Downregulated
ad_fpgs4,0.463292938512472,Downregulated
ad_fpgs4m,0.304508811863516,Downregulated
ad_fpgs5,0.463292938512472,Downregulated
ad_fpgs5m,0.304508811863516,Downregulated
ad_fpgs6,0.463292938512472,Downregulated
ad_fpgs6m,0.304508811863516,Downregulated
ad_fpgs7m,0.275587498121675,Downregulated
ad_fpgs8m,0.275587498121675,Downregulated
ad_fpgs9m,0.275587498121675,Downregulated
ad_fpgsm,0.305652295590425,Downregulated
ad_frdptr,0.0213756229453878,Downregulated
ad_fthflm,0.0173420873638918,Downregulated
ad_fumm,2.16971632294025,Upregulated
ad_g14t18g,0.447953707765808,Downregulated
ad_g14t19g,0.447953707765808,Downregulated
ad_g14t20g,0.447953707765808,Downregulated
ad_g14t21g,0.447953707765808,Downregulated
ad_g14t2g,0.447817756409619,Downregulated
ad_g14t3g,0.447817756409619,Downregulated
ad_g14t4g,0.447817756409619,Downregulated
ad_g14t5g,0.447817756409619,Downregulated
ad_g6pper,0.467585899282013,Downregulated
ad_galase16ly,0.447817756409619,Downregulated
ad_galase17ly,0.447817743808242,Downregulated
ad_galase18ly,0.447817741028873,Downregulated
ad_galase19ly,0.447817741028873,Downregulated
ad_galase20ly,0.447953707765808,Downregulated
ad_galglusidetg,0.470026146056537,Downregulated
ad_galgt1,0.440757839639095,Downregulated
ad_galnact1g,0.453375496057857,Downregulated
ad_galnact2g,0.453375490359138,Downregulated
ad_galnact3g,0.453375409005608,Downregulated
ad_galnact4g,0.4525709006329,Downregulated
ad_galnact5g,0.452281706268204,Downregulated
ad_galntg,0.447817741028873,Downregulated
ad_galor,0.0742056245517958,Downregulated
ad_galt2g,0.453375474974752,Downregulated
ad_galtg,0.453375474974752,Downregulated
ad_gcalddm,0.204539595160155,Downregulated
ad_ggh_5dhfl,0.307265007128089,Downregulated
ad_ggh_6dhfl,0.307265007128089,Downregulated
ad_ggh_7dhfl,0.307265007128089,Downregulated
ad_ggt5r,0.46085704340493,Downregulated
ad_glaco,43.8137129835585,Upregulated
ad_glcaase1ly,0.463318458737792,Downregulated
ad_glcaase4ly,0.453375495795137,Downregulated
ad_glcaase5ly,0.453375409005608,Downregulated
ad_glcaase6ly,0.452570890954937,Downregulated
ad_glcaase7ly,0.452281706268204,Downregulated
ad_glcae1g,0.452926855466971,Downregulated
ad_glcae2g,0.463318458737792,Downregulated
ad_glcat2g,0.453375490359138,Downregulated
ad_glcat3g,0.453375409005608,Downregulated
ad_glcat4g,0.4525709006329,Downregulated
ad_glcat5g,0.452281706268204,Downregulated
ad_glcat6g,0.463318458737792,Downregulated
ad_glcat7g,0.463318458737792,Downregulated
ad_glcat8g,0.463318458737792,Downregulated
ad_glcat9g,0.463318458737792,Downregulated
ad_glcatg,0.453375474974752,Downregulated
ad_glcnacase1ly,0.463318458737792,Downregulated
ad_glcnacase2ly,0.463318458737792,Downregulated
ad_glcnacase3ly,0.463318458737792,Downregulated
ad_glcnacase4ly,0.463318458737792,Downregulated
ad_glcnacase5ly,0.463318458737792,Downregulated
ad_glcnacdasg,0.463318458737792,Downregulated
ad_glcnact1g,0.463318458737792,Downregulated
ad_glcnact2g,0.463318458737792,Downregulated
ad_glcnact3g,0.463318458737792,Downregulated
