Reaction,FSR,RegulationStatus
ad_34dhoxpegox,2.68306673628347,Upregulated
ad_34dhoxpegt,2.68306673628347,Upregulated
ad_34hppor,2.69639769624267,Upregulated
ad_3dsphr,0.308646769426859,Downregulated
ad_3hbcoahlm,3.96825346817986,Upregulated
ad_3mobt2im,3.96905829210068,Upregulated
ad_3salacboxl,2.99357932519641,Upregulated
ad_3salaox,3.20154665842115,Upregulated
ad_41r1h2mae12boox,2.7531696381569,Upregulated
ad_41r2a1h12boox,2.6830668102895,Upregulated
ad_42a12boox,2.31169842109848,Upregulated
ad_5hltdl,2.01228211108064,Upregulated
ad_5hoxindacto2ox,3.56430547713711,Upregulated
ad_5hoxinoxda,2.01228211108064,Upregulated
ad_acact10m,7.07777154258522,Upregulated
ad_acact4p,4.52257841622046,Upregulated
ad_acact8p,7.41029527245307,Upregulated
ad_acact9p,7.41029511619003,Upregulated
ad_acgam6psi,105.948016031762,Upregulated
ad_acgamk,6.88191643688093,Upregulated
ad_acgampm,6.88191625598756,Upregulated
ad_acgamtly,6.88191643688093,Upregulated
ad_acoad9m,0.127864120542432,Downregulated
ad_acrntm,157742.213590298,Upregulated
ad_adntl,0.0181327875634243,Downregulated
ad_adrncoatx,8.45288211035753,Upregulated
ad_aldd21,0.182524681952067,Downregulated
ad_aldd2xm,9.49839131708418,Upregulated
ad_aldd2y,6.10954245718893,Upregulated
ad_alox52,11347052.7935979,Upregulated
ad_amacr2p,2.24239667822204,Upregulated
ad_ametr,22.4661005495202,Upregulated
ad_arachcpt1,13.0110260046555,Upregulated
ad_arachcpt2,13.0092588852409,Upregulated
ad_artplm3,13.8328532627501,Upregulated
ad_asah1,2.44545206907541,Upregulated
ad_ascbt4,517200.492143813,Upregulated
ad_atph1e,3507123.51817898,Upregulated
ad_atph2e,3177104.09118808,Upregulated
ad_baat3x,2.2423966782379,Upregulated
ad_bilirubtr,8.59850784265301,Upregulated
ad_c161cpt12,2.06227677876544,Upregulated
ad_c161cpt22,8.38689510057953,Upregulated
ad_c226cpt1,8.22158044515809,Upregulated
ad_c226cpt2,8.22025120648955,Upregulated
ad_cdiptr,82.4275045348456,Upregulated
ad_cdsm,80.2435320257679,Upregulated
ad_cloxatex2,2913474.57699259,Upregulated
ad_clpndcpt1,7.13273040131849,Upregulated
ad_clpndcpt2,7.13272988754655,Upregulated
ad_coatl,3.73067867049609,Upregulated
ad_crncartp,157741.309218475,Upregulated
ad_cyso,2.99357939815423,Upregulated
ad_cysta,3.77247587880859,Upregulated
ad_cytdk1,2.28845697669387,Upregulated
ad_cytdk2m,79.1042380890008,Upregulated
ad_cytdtm,79.1042380890008,Upregulated
ad_cytk1m,80.2435320259432,Upregulated
ad_dagkn_hs,0.101676028703873,Downregulated
ad_dck1n,857954.474452783,Upregulated
ad_dcsptn1coatx,2.76090177239335,Upregulated
ad_dcsptn1cpt1,5.16705671925873,Upregulated
ad_dcsptn1cpt2,5.16705678334349,Upregulated
ad_desat16_2,4.96130682753077,Upregulated
ad_desat18_3,3.91792834180357,Upregulated
ad_desat18_4,10.8899300962112,Upregulated
ad_desat18_5,15.8164896560638,Upregulated
ad_desat18_7,6.42048483765492,Upregulated
ad_desat18_8,8.8526773840364,Upregulated
ad_desat18_9,4.68114321773414,Upregulated
ad_desat22_1p,8.45288209031637,Upregulated
ad_dgcholtx,2.24239667826837,Upregulated
ad_dhcrd1,172.237078964781,Upregulated
