Reaction,FSR,RegulationStatus
ad_10fthf7glutl,2.03902836927268,Upregulated
ad_34dhoxpegox,4.2064471341443,Upregulated
ad_34dhoxpegt,4.2064471341443,Upregulated
ad_34hppor,4.22918051786947,Upregulated
ad_3dsphr,0.484205041001592,Downregulated
ad_3hbcoahlm,6.22686882056462,Upregulated
ad_3m4hdxpac,2.01556656090554,Upregulated
ad_3mobt2im,6.22533092864924,Upregulated
ad_3moxtyrox,2.01556656090554,Upregulated
ad_3salacboxl,4.69529625436873,Upregulated
ad_3salaox,5.02148341439186,Upregulated
ad_41r1h2mae12boox,4.31183282202314,Upregulated
ad_41r2a1h12boox,4.20827149273093,Upregulated
ad_42a12boox,3.62579660666143,Upregulated
ad_4hoxpacdox_nadp_,2.57566995422759,Upregulated
ad_4pyrdx,2.08750453378883,Upregulated
ad_5hltdl,3.15617556196979,Upregulated
ad_5hoxindacto2ox,5.58691776609371,Upregulated
ad_5hoxinoxda,3.15617556196979,Upregulated
ad_a4galtg,2.10724503439204,Upregulated
ad_acact10m,11.1003800210644,Upregulated
ad_acact1rm,2.99791201737834,Upregulated
ad_acact4p,7.07390451745002,Upregulated
ad_acact5p,2.72865508100048,Upregulated
ad_acact6p,2.52271944612281,Upregulated
ad_acact7p,2.52271944612281,Upregulated
ad_acact8p,11.6490948283768,Upregulated
ad_acact9p,11.649094864944,Upregulated
ad_accoalm,2.88273929631646,Upregulated
ad_acgam6psi,166.174769151907,Upregulated
ad_acgamk,10.7939809844825,Upregulated
ad_acgampm,10.7939801491811,Upregulated
ad_acgamtly,10.7939809844825,Upregulated
ad_acoad9m,0.127868518268115,Downregulated
ad_acoao7p,2.52271944612281,Upregulated
ad_acp1_fmn_,2.34052228209953,Upregulated
ad_adcim,3.02014530126365,Upregulated
ad_adntl,0.0181330230653023,Downregulated
ad_adrncoatx,13.2579707296484,Upregulated
ad_adrncpt1,2.72814415950721,Upregulated
ad_adrncpt2,2.72803782290479,Upregulated
ad_adsk,2.30522847654608,Upregulated
ad_alata_l,3.02392356624019,Upregulated
ad_aldd20x,2.5756697812782,Upregulated
ad_aldd20xm,2.43505941078129,Upregulated
ad_aldd21,0.286343619387605,Downregulated
ad_aldd2xm,38.407371517115,Upregulated
ad_aldd2y,29.1543967724378,Upregulated
ad_amacr2p,3.52132261746781,Upregulated
ad_arachcpt1,20.3938614691611,Upregulated
ad_arachcpt2,20.3882579695795,Upregulated
ad_arsa,2.42603878000922,Upregulated
ad_artplm3,21.6784397524723,Upregulated
ad_asah1,3.83558281523752,Upregulated
ad_b3galt3g,2.10724503439204,Upregulated
ad_b3galt5g,2.1072448898011,Upregulated
ad_baat3x,3.5213226174995,Upregulated
ad_bilirubtr,13.4920185731472,Upregulated
