Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,0.000117284798049467,1.40216993930004e-05,-0.000103263098656467,0.119552573105736,0.880447426894264,Down,Downregulated
AD_10FTHF7GLUtm,0.000104387649798809,6.02180897627906e-07,-0.000103785468901182,0.00576869868024152,0.994231301319758,Down,Unchanged
AD_10FTHFtl,0.000117284798079709,1.40607315870511e-05,-0.000103224066492658,0.11988537148263,0.88011462851737,Down,Downregulated
AD_13DAMPPOX,4.54735664516629e-05,6.37875928077847e-07,-4.4835690523585e-05,0.0140274004845406,0.985972599515459,Down,Downregulated
AD_2HBO,0.00228832103198329,0.000538888935352588,-0.0017494320966307,0.235495338206778,0.764504661793222,Down,Downregulated
AD_2HBt2,1990.00228973078,2000,9.99771026922213,1.00502396922899,0.00502396922898751,Up,Unchanged
AD_34DHOXPEGOX,2.81487102711253e-05,1.26758004626026e-06,-2.6881130224865e-05,0.0450315497246968,0.954968450275303,Down,Downregulated
AD_34DHOXPEGt,2.81487092252064e-05,1.26758004626026e-06,-2.68811291789461e-05,0.0450315513979298,0.95496844860207,Down,Downregulated
AD_34HPPOR,3.21624093544415e-05,3.3116464237537e-07,-3.18312447120661e-05,0.0102966366333385,0.989703363366662,Down,Downregulated
AD_3DSPHR,0.00130297785494804,0.000298449442770021,-0.00100452841217802,0.229051815145333,0.770948184854667,Down,Downregulated
AD_3HBCDm,5.96855898038484e-13,6.70883082420914e-07,6.70882485565016e-07,NaN,NaN,Unchanged,Unchanged
AD_3HBCOAHLm,0.000394363327855403,1.31639581013587e-06,-0.000393046932045267,0.00333802794822378,0.996661972051776,Down,Unchanged
AD_3HLYTCL,5.7357536775271e-05,6.47439719284049e-07,-5.67100970559869e-05,0.0112877880690857,0.988712211930914,Down,Downregulated
AD_3M4HDXPAC,4.51157203812843e-05,4.38165898231091e-07,-4.46775544830532e-05,0.00971204481559956,0.9902879551844,Down,Unchanged
AD_3MLDAt,9.83408528896634e-05,1.27814837469487e-06,-9.70627045149685e-05,0.0129971251736948,0.987002874826305,Down,Downregulated
AD_3MOBt2im,0.000394229033554439,0.000103974380351701,-0.000290254653202737,0.263741052794235,0.736258947205765,Down,Downregulated
AD_3MOPt2im,0.000606376844274337,0.000104050081461082,-0.000502326762813254,0.171593098324197,0.828406901675803,Down,Downregulated
AD_3MOXTYROX,4.51157203812843e-05,4.3499494495336e-07,-4.46807254363309e-05,0.00964175992929091,0.990358240070709,Down,Unchanged
AD_3SALACBOXL,6.61236790051589e-05,6.59822489978978e-07,-6.54638565151799e-05,0.00997861129184145,0.990021388708159,Down,Unchanged
AD_3SALAOX,2.2314435170756e-05,2.20465608435916e-07,-2.20939695623201e-05,0.00987995469071271,0.990120045309287,Down,Unchanged
AD_41R1H2MAE12BOOX,2.70860036453472e-05,1.26758004626026e-06,-2.5818423599087e-05,0.0467983414185948,0.953201658581405,Down,Downregulated
AD_41R2A1H12BOOX,2.82329884420178e-05,2.63635047303978e-07,-2.79693533947138e-05,0.00933783711368022,0.99066216288632,Down,Unchanged
AD_42A12BOOX,4.78729699580072e-05,4.38990203595798e-07,-4.74339797544114e-05,0.00916989699993269,0.990830103000067,Down,Unchanged
AD_4HGLSDm,666.932581857618,1000,333.067418142382,1.49940192937446,0.499401929374457,Up,Unchanged
AD_4HOXPACDOX_NADP_,0.000106237206409787,1.28902638607542e-06,-0.000104948180023712,0.0121334740401896,0.98786652595981,Down,Downregulated
AD_4MOPt2im,0,0.000103974368812487,0.000103974368812487,NaN,NaN,Unchanged,Unchanged
AD_4PYRDX,8.9711911186896e-05,1.25761243907618e-06,-8.84542987478198e-05,0.0140183440798202,0.98598165592018,Down,Downregulated
AD_5AOPtm,0.000112386647079814,0.000308993739281505,0.000196607092201691,2.74938124154613,1.74938124154613,Up,Upregulated
AD_5HLTDL,4.25006132142395e-05,4.36855013200936e-07,-4.20637582010386e-05,0.0102787931787904,0.98972120682121,Down,Downregulated
AD_5HOXINDACTO2OX,0.000124849419460005,1.31355170651659e-06,-0.000123535867753488,0.0105210878208159,0.989478912179184,Down,Downregulated
AD_5HOXINOXDA,4.25006132142395e-05,4.38070856034756e-07,-4.20625423582048e-05,0.010307400832701,0.989692599167299,Down,Downregulated
AD_5MTHFt2,2000,3.17508263307786e-05,-1999.99996824917,1.58754131653893e-08,0.999999984124587,Down,Unchanged
AD_7DHFtl,0.000108359465230023,9.3310893084385e-06,-9.9028375921585e-05,0.0861123602689496,0.91388763973105,Down,Downregulated
AD_7DHFtm,0.000108402829880561,7.36981564841699e-06,-0.000101033014232144,0.0679854544068373,0.932014545593163,Down,Downregulated
AD_7THFtm,0.000110445167138096,7.52572928635631e-06,-0.000102919437851739,0.0681399601391926,0.931860039860807,Down,Downregulated
AD_A4GALTg,3.23576544149416e-05,5.61821176042462e-06,-2.6739442654517e-05,0.173628523513445,0.826371476486555,Down,Downregulated
