Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,6.01579201932451e-05,0.00040429341147636,0.000344135491283115,6.72053505469686,5.72053505469686,Up,Upregulated
AD_10FTHF7GLUtm,5.35772607966915e-05,1.38219163694394e-05,-3.97553444272521e-05,0.257981019632361,0.742018980367639,Down,Downregulated
AD_10FTHFtl,6.01579201932451e-05,0.000404293415044776,0.000344135494851531,6.72053511401434,5.72053511401434,Up,Upregulated
AD_13DAMPPOX,2.3339443628161e-05,1.46070415212307e-05,-8.73240210693024e-06,0.625852173425682,0.374147826574318,Down,Unchanged
AD_2HBO,0.0011744878142963,0.0186992344789587,0.0175247466646624,15.9211821964815,14.9211821964815,Up,Upregulated
AD_2HBt2,1990.00117448909,2000,9.99882551090695,1.00502453246716,0.00502453246716006,Up,Unchanged
AD_34DHOXPEGOX,1.4447411558649e-05,2.90696996216866e-05,1.46222880630376e-05,2.01210434849721,1.01210434849721,Up,Upregulated
AD_34DHOXPEGt,1.4447411558649e-05,2.90696996216866e-05,1.46222880630376e-05,2.01210434849721,1.01210434849721,Up,Upregulated
AD_34HPPOR,1.65074391702547e-05,7.53026455768691e-06,-8.97717461256775e-06,0.456174000099056,0.543825999900944,Down,Downregulated
AD_3DSPHR,0.000668757449830082,0.00873405736399491,0.00806529991416483,13.0601272048843,12.0601272048843,Up,Upregulated
AD_3HBCDm,1.13686837721616e-13,0,-1.13686837721616e-13,NaN,NaN,Unchanged,Unchanged
AD_3HBCOAHLm,0.000202303810226567,3.00629396221552e-05,-0.000172240870604412,0.148602933323335,0.851397066676665,Down,Downregulated
AD_3HLYTCL,2.94389593591404e-05,1.47666731962204e-05,-1.467228616292e-05,0.501603097313136,0.498396902686864,Down,Unchanged
AD_3M4HDXPAC,2.31557597452912e-05,9.89432157894043e-06,-1.32614381663508e-05,0.427294188909197,0.572705811090803,Down,Downregulated
AD_3MLDAt,5.04737367140135e-05,2.8554569780681e-05,-2.19191669333325e-05,0.565731242417666,0.434268757582334,Down,Unchanged
AD_3MOBt2im,0.000202303621620103,0.00278844703740333,0.00258614341578323,13.7834756247697,12.7834756247697,Up,Upregulated
AD_3MOPt2im,0.000311225081475186,0.00278787175216166,0.00247664667068648,8.95773482955595,7.95773482955595,Up,Upregulated
AD_3MOXTYROX,2.32252369212931e-05,9.91115372528384e-06,-1.33140831960093e-05,0.426740694136782,0.573259305863218,Down,Downregulated
AD_3SALACBOXL,3.3932228291178e-05,1.50391772422154e-05,-1.88930510489627e-05,0.443212190875345,0.556787809124655,Down,Downregulated
AD_3SALAOX,1.14529536574537e-05,5.01437568800611e-06,-6.43857796944758e-06,0.437823799692292,0.562176200307708,Down,Downregulated
AD_41R1H2MAE12BOOX,1.39044307452838e-05,2.90697011422481e-05,1.51652703969643e-05,2.0906789838993,1.0906789838993,Up,Upregulated
AD_41R2A1H12BOOX,1.44474288265798e-05,6.01281860213021e-06,-8.43461022444959e-06,0.416186068421259,0.583813931578741,Down,Downregulated
AD_42A12BOOX,2.4651022007068e-05,1.00162699254724e-05,-1.46347520815956e-05,0.406322704291958,0.593677295708042,Down,Downregulated
