Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,0.000259525631021752,5.26372312682118e-05,-0.00020688839975354,0.20282093549288,0.79717906450712,Down,Downregulated
AD_10FTHFtl,0.000259525631008728,5.26372313061074e-05,-0.000206888399702621,0.202820935649077,0.797179064350923,Down,Downregulated
AD_13DAMPPOX,0.000100687739419523,1.70767604856792e-06,-9.89800633709555e-05,0.0169601190612966,0.983039880938703,Down,Downregulated
AD_2HBO,0.00506687889662771,0.00221689341572073,-0.00284998548090698,0.437526426217962,0.562473573782038,Down,Downregulated
AD_34DHOXPEGOX,6.23269869493015e-05,3.39002053806325e-06,-5.89369664112382e-05,0.0543908939609224,0.945609106039078,Down,Downregulated
AD_34DHOXPEGt,6.23269792413339e-05,3.39002053806325e-06,-5.89369587032707e-05,0.0543909006874356,0.945609099312564,Down,Downregulated
AD_34HPPOR,7.12140507630465e-05,8.7588960795415e-07,-7.03381611550924e-05,0.0122993931474076,0.987700606852592,Down,Downregulated
AD_3DSPHR,0.0028856556386927,0.00114528027552296,-0.00174037536316973,0.396887369430476,0.603112630569524,Down,Downregulated
AD_3HLYTCL,0.000127001283945763,1.72186011049291e-06,-0.00012527942383527,0.0135578165589904,0.98644218344101,Down,Downregulated
AD_3M4HDXPAC,9.98966663557404e-05,1.16172236630518e-06,-9.87349439894352e-05,0.0116292405811441,0.988370759418856,Down,Downregulated
AD_3MLDAt,0.00021774962019872,3.36293146574462e-06,-0.000214386688732976,0.0154440290764943,0.984555970923506,Down,Downregulated
AD_3MOBt2im,0.00087274937320585,0.000350441708064864,-0.000522307665140986,0.401537622167054,0.598462377832946,Down,Downregulated
AD_3MOPt2im,0.00134379222953385,0.000350441745013086,-0.000993350484520761,0.260785661139484,0.739214338860516,Down,Downregulated
AD_3MOXTYROX,9.98952865908602e-05,1.16172239827961e-06,-9.87335641925805e-05,0.0116294015255961,0.988370598474404,Down,Downregulated
AD_3SALACBOXL,0.000146385590198861,1.74952006304352e-06,-0.000144636070135817,0.0119514500072503,0.98804854999275,Down,Downregulated
AD_3SALAOX,4.9408703186297e-05,5.8331094502743e-07,-4.88253922412696e-05,0.0118058339403898,0.98819416605961,Down,Downregulated
AD_41R1H2MAE12BOOX,5.99739382189731e-05,3.39001974225539e-06,-5.65839184767177e-05,0.0565248813555975,0.943475118644402,Down,Downregulated
AD_41R2A1H12BOOX,6.23278226157709e-05,6.99646108870411e-07,-6.16281765069004e-05,0.011225261520581,0.988774738479419,Down,Downregulated
AD_42A12BOOX,0.000106022344766643,1.16534753639523e-06,-0.000104856997230248,0.0109915276723994,0.989008472327601,Down,Downregulated
AD_4HOXPACDOX_NADP_,0.000235233727938839,3.44573800248327e-06,-0.000231787989936356,0.0146481460489338,0.985351853951066,Down,Downregulated
AD_4PYRDX,0.000198640449544629,3.38611356198726e-06,-0.000195254335982642,0.0170464453224392,0.982953554677561,Down,Downregulated
AD_5AOPtm,0.000248856512592214,0.00168365914532842,0.00143480263273621,6.76558201266499,5.76558201266499,Up,Upregulated
AD_5HLTDL,9.41856644275107e-05,1.16154041525836e-06,-9.30241240122523e-05,0.0123324544379292,0.987667545562071,Down,Downregulated
AD_5HOXINDACTO2OX,0.000276431017812828,3.49006040778477e-06,-0.000272940957405043,0.0126254297922091,0.987374570207791,Down,Downregulated
AD_5HOXINOXDA,9.41050120699891e-05,1.1615400884087e-06,-9.29434719815804e-05,0.0123430204498016,0.987656979550198,Down,Downregulated
AD_7DHFtl,0.000239907558040664,3.59792352545204e-05,-0.000203928322786143,0.149971245376196,0.850028754623804,Down,Downregulated
AD_7DHFtm,0.00023996349175913,2.81665130993739e-05,-0.000211796978659756,0.117378326564971,0.882621673435029,Down,Downregulated
AD_7THFtm,0.000244549135258094,2.88682479852772e-05,-0.000215680887272817,0.118046820958128,0.881953179041872,Down,Downregulated
AD_A4GALTg,7.16463743108326e-05,2.19664768617524e-05,-4.96798974490802e-05,0.306595791804515,0.693404208195485,Down,Downregulated
AD_AACTOOR,0.000242858680690783,3.53658556306868e-06,-0.000239322095127714,0.0145623189297137,0.985437681070286,Down,Downregulated
