Reaction,CT_Span,Disease_Span,SpanDiff,FSR,AbsDistToCT,Direction,RegulationStatus
AD_10FTHF7GLUtl,0.000259525631021752,1.36986214442913e-05,-0.000245827009577461,0.0527833084938851,0.947216691506115,Down,Downregulated
AD_10FTHFtl,0.000259525631008728,1.36986214442913e-05,-0.000245827009564437,0.052783308496534,0.947216691503466,Down,Downregulated
AD_2HBO,0.00506687889662771,0.000654295795357029,-0.00441258310127068,0.129131919018728,0.870868080981272,Down,Downregulated
AD_34DHOXPEGOX,6.23269869493015e-05,8.69234575873179e-07,-6.14577523734283e-05,0.0139463596496368,0.986053640350363,Down,Downregulated
AD_34DHOXPEGt,6.23269792413339e-05,8.69535142555833e-07,-6.14574440987781e-05,0.0139511837913553,0.986048816208645,Down,Downregulated
AD_3DSPHR,0.0028856556386927,0.000297921879109708,-0.00258773375958299,0.103242353354636,0.896757646645364,Down,Downregulated
AD_3MOBt2im,0.00087274937320585,9.11036631663364e-05,-0.000781645710039513,0.10438697060496,0.89561302939504,Down,Downregulated
AD_3MOPt2im,0.00134379222953385,9.11352161665491e-05,-0.0012526570133673,0.0678194248810051,0.932180575118995,Down,Downregulated
AD_41R1H2MAE12BOOX,5.99739382189731e-05,8.69234689560017e-07,-5.91047035294131e-05,0.0144935402838867,0.985506459716113,Down,Downregulated
AD_7DHFtl,0.000239907558040664,9.31056284672296e-06,-0.000230596995193941,0.0388089600959752,0.961191039904025,Down,Downregulated
AD_7DHFtm,0.00023996349175913,7.32696499502102e-06,-0.000232636526764109,0.0305336655226523,0.969466334477348,Down,Downregulated
AD_7THFtm,0.000244549135258094,7.51213212154961e-06,-0.000237037003136545,0.0307182935389299,0.96928170646107,Down,Downregulated
AD_A4GALTg,7.16463743108326e-05,5.68677610398741e-06,-6.59595982068452e-05,0.0793728385935587,0.920627161406441,Down,Downregulated
AD_ABUTt2rL,0.000430446203645409,3.55686697730562e-05,-0.000394877533872353,0.082632090774244,0.917367909225756,Down,Downregulated
AD_ACACT10m,0.00134264218684166,0.00948219650535975,0.00813955431851809,7.06234065806098,6.06234065806098,Up,Upregulated
