commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,7.8683971030955e-06,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,12.0972404260094,Upregulated
AD_ACGAMPM,12.0972405398078,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33051.2808514227,Upregulated
AD_FAS80COA_L,11.0219033541129,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,2.51351188665152e-06,Unchanged
AD_HMGCOAtx,85746.6844418278,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.543990055583607,Unchanged
AD_HMR_0830,1.41437408904232,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,60637.9457705893,Upregulated
AD_HMR_2611,60638.977498374,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,3.8745117077236,Upregulated
AD_LALDO,1.0001173562618,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,0.000212536003266582,Unchanged
AD_NDPK4m,0.74347646948486,Unchanged
AD_NDPK8m,0.743476464697067,Unchanged
AD_P450LTB4r,5.56905104826609e-05,Unchanged
AD_PEHSFABPe,3.09394373140913,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,3.43608580664998,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,12.0972405398078,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,2.86562859188698,Upregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
