commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,7.70831529052884e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,7.11055195044742,Upregulated
AD_ACGAMPM,11.5281677469426,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33050.6561305327,Upregulated
AD_FAS80COA_L,6.47469932077666,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,1.47739946039446e-06,Unchanged
AD_HMGCOAtx,51738.3063188172,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.319748091637694,Downregulated
AD_HMR_0830,0.831344974124883,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,55184.1565065463,Upregulated
AD_HMR_2611,55188.0843180112,Upregulated
AD_HMR_2612,833252.591468797,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,2.27744164698651,Upregulated
AD_LALDO,1.00007684124408,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,0.000396935578095467,Unchanged
AD_NDPK4m,0.447225156555777,Downregulated
AD_NDPK8m,0.447225169674321,Downregulated
AD_P450LTB4r,3.27339336177828e-05,Unchanged
AD_PEHSFABPe,4.83145427597187,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,2.01966089376049,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,11.528167746811,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,1.68436793715786,Unchanged
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],2640.31950995044,Upregulated
EN_3DHCDCHOLt,1.00000248162186,Unchanged
EN_3DHCHOLt,1.00000248162188,Unchanged
EN_3DHDCAt,1.00000248162188,Unchanged
EN_3DHLCAt,1.00000248162188,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5664070155222,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0629715588462208,Downregulated
EN_C10DCc,2.82857169280717,Upregulated
EN_C30CPT1,2.75222038430911e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,17122.2160743552,Upregulated
EN_CHOLD2m,0.0629715588462208,Downregulated
EN_CYTK1m,17122.2240685975,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,2.2274052658173,Upregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5664070154879,Upregulated
EN_G6PPer,473.770653315433,Upregulated
EN_GLB1,16.1926337659344,Upregulated
EN_GLYBtm,0.0629715588430267,Downregulated
EN_GLYKm,17122.2160743552,Upregulated
EN_H2CO3D,317229192.038355,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,391.84035058023,Upregulated
EN_HMR_0582,17122.2160743552,Upregulated
EN_HMR_0761,198.29932486888,Upregulated
EN_HMR_0770,1.00000040334785,Unchanged
EN_HMR_0803,399.960377294173,Upregulated
EN_HMR_0847,14.1160182664134,Upregulated
EN_HMR_1565,7134.44990186783,Upregulated
EN_HMR_1766,2055.01025396468,Upregulated
