commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,9.17036839666707e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,8.7648810824868,Upregulated
AD_ACGAMPM,11.9972028671668,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33236.6424364774,Upregulated
AD_FAS80COA_L,8.95804433156153,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,1.72195359998864e-06,Unchanged
AD_HMGCOAtx,746392.489075048,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.393428658367853,Downregulated
AD_HMR_0830,0.997358067350994,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,85799.2884587977,Upregulated
AD_HMR_2611,85799.8899744709,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,3.43188343991894,Upregulated
AD_LALDO,1.00011890686824,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,1.50990554220036e-05,Unchanged
AD_NDPK4m,0.51988620324406,Unchanged
AD_NDPK8m,0.519886205675052,Unchanged
AD_P450LTB4r,4.76505457599387e-05,Unchanged
AD_PEHSFABPe,4.30957185210858,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,2.44465822602252,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,11.9972028671403,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,1.68392459012509,Unchanged
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],3112.81148679772,Upregulated
EN_3DHCDCHOLt,1.00000273808411,Unchanged
EN_3DHCHOLt,1.00000273808406,Unchanged
EN_3DHDCAt,1.00000273808411,Unchanged
EN_3DHLCAt,1.00000273808412,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5656063954801,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0648866280843861,Downregulated
EN_C10DCc,1.81014205413906,Unchanged
EN_C30CPT1,2.86738208762927e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,17642.9309795284,Upregulated
EN_CHOLD2m,0.0648866280843861,Downregulated
EN_CYTK1m,17642.9392156556,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,2.40077276177323,Upregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5656063954654,Upregulated
EN_G6PPer,522.732270886416,Upregulated
EN_GLB1,17.3573871976596,Upregulated
EN_GLYBtm,0.0648866280765593,Downregulated
EN_GLYKm,17642.9309795284,Upregulated
EN_H2CO3D,304938792.568102,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,432.334969394177,Upregulated
EN_HMR_0582,17642.9309795284,Upregulated
EN_HMR_0761,213.890670386055,Upregulated
EN_HMR_0770,1.00000043506122,Unchanged
