commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,1.52405859500959e-06,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,14.5666918322765,Upregulated
AD_ACGAMPM,19.9386091708669,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33241.6435339568,Upregulated
AD_FAS80COA_L,14.8877166525394,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,2.86178047694578e-06,Unchanged
AD_HMGCOAtx,1240458.22656961,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.653854125182284,Unchanged
AD_HMR_0830,1.65754747909465,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,85806.9580838412,Upregulated
AD_HMR_2611,85807.9577659119,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,5.70357836965724,Upregulated
AD_LALDO,1.00019761586846,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,2.50936971352246e-05,Unchanged
AD_NDPK4m,0.864018753980874,Unchanged
AD_NDPK8m,0.864018759173079,Unchanged
AD_P450LTB4r,7.91922613552255e-05,Unchanged
AD_PEHSFABPe,7.16224208063851,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,4.06287093014397,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,19.9386091709222,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,2.79857867283468,Upregulated
AD_r0841,NaN,Unchanged
