commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,4.36801412206478e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,4.23152536593271,Upregulated
AD_ACGAMPM,5.99236940361838,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33366.410311471,Upregulated
AD_FAS80COA_L,4.24216101895647,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,8.35419121555927e-07,Unchanged
AD_HMGCOAtx,45556.5483369235,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.188833908142649,Downregulated
AD_HMR_0830,0.484045381502715,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,74268.9266678628,Upregulated
AD_HMR_2611,74270.867161093,Upregulated
AD_HMR_2612,833250.61072732,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,1.48944695375961,Unchanged
AD_LALDO,1.00002703799658,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,8.95888310209946e-06,Unchanged
AD_NDPK4m,0.250123472875157,Downregulated
AD_NDPK8m,0.250123477132906,Downregulated
AD_P450LTB4r,2.31869506493053e-05,Unchanged
AD_PEHSFABPe,2.18586587405482,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,1.37281770998445,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,5.99236940370013,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.823778333895354,Unchanged
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],1507.60238184397,Upregulated
EN_3DHCDCHOLt,1.00000133587205,Unchanged
EN_3DHCHOLt,1.00000133587205,Unchanged
EN_3DHDCAt,1.00000133587205,Unchanged
EN_3DHLCAt,1.00000133587204,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5655128028982,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0316904160959172,Downregulated
EN_C10DCc,0,Unchanged
EN_C30CPT1,1.39895463695439e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,8616.74955840931,Upregulated
EN_CHOLD2m,0.0316904160959172,Downregulated
EN_CYTK1m,8616.75358191595,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,1.17130267196485,Unchanged
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5655128029054,Upregulated
