commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,9.56993544605211e-08,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,0.919059568670249,Unchanged
AD_ACGAMPM,1.22041722803637,Unchanged
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,30759.1541853453,Upregulated
AD_FAS80COA_L,0.872677940525541,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,1.77908782473718e-07,Unchanged
AD_HMGCOAtx,70668.2373709225,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0407999931411912,Downregulated
AD_HMR_0830,0.103757216454626,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,84751.0068220558,Upregulated
AD_HMR_2611,84751.343722713,Upregulated
AD_HMR_2612,833249.007131661,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.329771558038911,Downregulated
AD_LALDO,1.0000177852479,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,1.53441795828139e-06,Unchanged
