commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,1.59424743230829e-06,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,15.1409232177596,Upregulated
AD_ACGAMPM,19.5385005615432,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,32191.3867979937,Upregulated
AD_FAS80COA_L,14.9614354693237,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,2.91288426529488e-06,Unchanged
AD_HMGCOAtx,846881.624669151,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.676136292806465,Unchanged
AD_HMR_0830,1.70401930866246,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,88969.6936184793,Upregulated
AD_HMR_2611,88974.7845658248,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,5.71593334082899,Upregulated
AD_LALDO,1.00035445162981,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,2.65462278783498e-05,Unchanged
AD_NDPK4m,0.845940918813259,Unchanged
AD_NDPK8m,0.845940922635396,Unchanged
AD_P450LTB4r,8.80079825561278e-05,Unchanged
AD_PEHSFABPe,6.58476081823795,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,4.03515544331835,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,19.5385005616274,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,2.77673189972486,Upregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],5284.99981925723,Upregulated
EN_3DHCDCHOLt,1.00000442647829,Unchanged
EN_3DHCHOLt,1.0000044264783,Unchanged
EN_3DHDCAt,1.00000442647829,Unchanged
EN_3DHLCAt,1.00000442647831,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5662719196691,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.10500776233889,Downregulated
EN_C10DCc,0.834354427353833,Unchanged
EN_C30CPT1,4.63550572993654e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,28552.0261717154,Upregulated
EN_CHOLD2m,0.10500776233889,Downregulated
EN_CYTK1m,28552.0395040865,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,3.88116954411418,Upregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5662719196761,Upregulated
EN_G6PPer,845.06646525942,Upregulated
EN_GLB1,28.060532379566,Upregulated
EN_GLYBtm,0.105007762339561,Downregulated
EN_GLYKm,28552.0261717154,Upregulated
EN_H2CO3D,285746332.815699,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,698.927144279882,Upregulated
EN_HMR_0582,28552.0261717154,Upregulated
EN_HMR_0761,345.782799391471,Upregulated
EN_HMR_0770,1.00000070333451,Unchanged
EN_HMR_0803,685.675684763635,Upregulated
EN_HMR_0847,24.1999269759158,Upregulated
EN_HMR_1565,15558.2808314436,Upregulated
EN_HMR_1766,3523.02785405747,Upregulated
EN_HMR_1769,3523.02784404068,Upregulated
EN_HMR_1771,3523.02784404068,Upregulated
EN_HMR_4278,1.55728332832439e-06,Unchanged
EN_HMR_4696,0.296933833040105,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,70579657.8781462,Upregulated
EN_HYOCHOLt,1.0000044264783,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,1177.5622223594,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,70579656.7796764,Upregulated
EN_MI3PP,70579657.8801993,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,28552.0395040865,Upregulated
EN_NTD2e,139.785428723215,Upregulated
EN_ORNDC,NaN,Unchanged
EN_PGLYCtm,28552.0395040865,Upregulated
EN_PGPP_hs,28699.1472548034,Upregulated
EN_PGPP_hsc,28552.0261717154,Upregulated
EN_PPAer,0.000161005789256066,Unchanged
EN_PSSA1_hs,108638.695825829,Upregulated
EN_PTRCAT1,NaN,Unchanged
EN_PUNP7,NaN,Unchanged
EN_RDH3,2,Upregulated
EN_RE3010M,1.00001811322956,Unchanged
EN_RE3597C,NaN,Unchanged
EN_SEBACACT,0.834354431054091,Unchanged
EN_THYOCHOLt,1.00000442647832,Unchanged
EN_UDCHOLt,1.00000442647831,Unchanged
EN_UDPDOLPT_L,3.88116954411418,Upregulated
EN_UGCG,345.782805609261,Upregulated
EN_UREAt,NaN,Unchanged
EN_VLCS2p,NaN,Unchanged
EN_XOLEST183CEH,917.384555814426,Upregulated
EN_XOLEST183te,1177.56222235704,Upregulated
EN_XOLEST183tl,894.726318066279,Upregulated
EN_r0022,19.1260934081184,Upregulated
EN_r0051,NaN,Unchanged
EN_r0166,NaN,Unchanged
EN_r0224,3.89147395885643,Upregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,917.384555814426,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],8.27159068224372e-06,Unchanged
EN_sink_gln_L[c],0.0402597800002622,Downregulated
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],0.000425190133474194,Unchanged
GN_2OBUTt,5.38940140774002e-05,Unchanged
GN_4ABUTtm,0.689463944998201,Unchanged
GN_ABTArm,0.689463944998201,Unchanged
GN_ABUTt2rL,0.398671323096393,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.23792355802643e-06,Unchanged
GN_ACGALK,0.6920729992968,Unchanged
GN_ACMPthc,0,Unchanged
GN_ADSK,0.103440009430579,Downregulated
GN_ARACHDFATPtc,9.69078453381821e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.692073001829229,Unchanged
GN_BPNT,0.103440007776241,Downregulated
