commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,3.09864839488228e-06,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,4.78090003999887,Upregulated
AD_ACGAMPM,4.78090024914912,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33091.0723545948,Upregulated
AD_FAS80COA_L,4.30132559984753,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,9.91756321545869e-07,Unchanged
AD_HMGCOAtx,1746333.28294976,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.217701202844166,Downregulated
AD_HMR_0830,0.5585895307441,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,87593.8445115131,Upregulated
AD_HMR_2611,87594.2434445576,Upregulated
AD_HMR_2612,833249.069166558,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,1.56193939919506,Unchanged
AD_LALDO,1.00427494007053,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,0.00914650259850896,Unchanged
AD_NDPK4m,0.309041073834445,Downregulated
AD_NDPK8m,0.309041059188771,Downregulated
AD_P450LTB4r,2.21179277473499e-05,Unchanged
AD_PEHSFABPe,1.21912231890928,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,1.36412387176049,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,4.78090024891829,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,1.13195311086276,Unchanged
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],1776.87028794658,Upregulated
EN_3DHCDCHOLt,1.00000094515535,Unchanged
EN_3DHCHOLt,1.00000094515533,Unchanged
EN_3DHDCAt,1.00000094515533,Unchanged
EN_3DHLCAt,1.00000094515536,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,27.8861619552499,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0260698565158289,Downregulated
EN_C10DCc,0,Unchanged
EN_C30CPT1,0.000106071943681627,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,7088.49716395814,Upregulated
EN_CHOLD2m,0.0260698565158289,Downregulated
EN_CYTK1m,7088.50047202533,Upregulated
EN_DALAt2r,NaN,Unchanged
