commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,1.48107451963142e-06,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,14.228092089904,Upregulated
AD_ACGAMPM,18.9158895930622,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33301.3896800845,Upregulated
AD_FAS80COA_L,14.0923420665681,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,2.75423285954683e-06,Unchanged
AD_HMGCOAtx,1255179.18582268,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.633510356989016,Unchanged
AD_HMR_0830,1.60628119970378,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,89383.0107874933,Upregulated
AD_HMR_2611,89383.957105198,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,5.39911170084153,Upregulated
AD_LALDO,1.0002424597066,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,2.37545464376728e-05,Unchanged
AD_NDPK4m,0.818690852953434,Unchanged
AD_NDPK8m,0.818690833017521,Unchanged
AD_P450LTB4r,8.09347062045457e-05,Unchanged
AD_PEHSFABPe,6.58740806656702,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,3.81460942528821,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,18.9158895931007,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,2.66344607631437,Upregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],4982.58092275402,Upregulated
EN_3DHCDCHOLt,1.000004307683,Unchanged
EN_3DHCHOLt,1.00000430768308,Unchanged
EN_3DHDCAt,1.000004307683,Unchanged
EN_3DHLCAt,1.00000430768308,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5658617401635,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.102082703198542,Downregulated
EN_C10DCc,4.43491256934806,Upregulated
EN_C30CPT1,4.51110071196581e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,27756.6910148772,Upregulated
EN_CHOLD2m,0.102082703198542,Downregulated
EN_CYTK1m,27756.7039749227,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,3.77700892342052,Upregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5658617401441,Upregulated
EN_G6PPer,822.387050134083,Upregulated
EN_GLB1,27.3074598599247,Upregulated
EN_GLYBtm,0.102082703195724,Downregulated
EN_GLYKm,27756.6910148772,Upregulated
EN_H2CO3D,287089975.368012,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,680.169745616229,Upregulated
EN_HMR_0582,27756.6910148772,Upregulated
EN_HMR_0761,336.502879907898,Upregulated
EN_HMR_0770,1.00000068445885,Unchanged
EN_HMR_0803,667.27391120256,Upregulated
EN_HMR_0847,23.5352866854401,Upregulated
EN_HMR_1565,14856.925037219,Upregulated
EN_HMR_1766,3428.47884820111,Upregulated
EN_HMR_1769,3428.47892599154,Upregulated
EN_HMR_1771,3428.47892599154,Upregulated
EN_HMR_4278,1.51152835097644e-06,Unchanged
EN_HMR_4696,0.288111583508554,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,95951528.3187271,Upregulated
EN_HYOCHOLt,1.00000430768317,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,1145.95949101725,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,95951526.8255522,Upregulated
EN_MI3PP,95951528.3206377,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,27756.7039749227,Upregulated
