commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,8.20227778604021e-08,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,0.762567780964465,Unchanged
AD_ACGAMPM,1.33314569627492,Unchanged
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33196.1754492849,Upregulated
AD_FAS80COA_L,0.713958238178297,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,1.56770973393929e-07,Unchanged
AD_HMGCOAtx,27203.8508872257,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0349361296320655,Downregulated
AD_HMR_0830,0.0887582650231012,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,66095.2830802762,Upregulated
AD_HMR_2611,66095.3388680264,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.253779361973003,Downregulated
AD_LALDO,1.0000571126932,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,0.000177838700099826,Unchanged
AD_NDPK4m,0.0483702443627499,Downregulated
AD_NDPK8m,0.0483702381787833,Downregulated
AD_P450LTB4r,3.62856990787934e-06,Unchanged
AD_PEHSFABPe,0.581513866921968,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.222483908135946,Downregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,1.33314569632903,Unchanged
AD_r0208,NaN,Unchanged
AD_r0392,0.177195935523959,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],281.642672531666,Upregulated
EN_3DHCDCHOLt,1.00000026268241,Unchanged
EN_3DHCHOLt,1.00000026268243,Unchanged
EN_3DHDCAt,1.00000026268243,Unchanged
EN_3DHLCAt,1.0000002626824,Unchanged
EN_ABUTD,NaN,Unchanged
