commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
AD_5MTHFt2,1.41024394685019e-06,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,13.6716788134685,Upregulated
AD_ACGAMPM,19.53976247431,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33444.981301768,Upregulated
AD_FAS80COA_L,15.4640044441898,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,2.70306723963529e-06,Unchanged
AD_HMGCOAtx,650946.063549618,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.616350244848406,Unchanged
AD_HMR_0830,1.56488767898476,Unchanged
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76616.1230286167,Upregulated
AD_HMR_2611,76617.1000306631,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,5.94091990922669,Upregulated
AD_LALDO,1.00012090412528,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.11951810150293e-05,Unchanged
AD_NDPK4m,0.81728704690813,Unchanged
AD_NDPK8m,0.817287043468908,Unchanged
AD_P450LTB4r,7.4503938777653e-05,Unchanged
AD_PEHSFABPe,7.19288071880137,Upregulated
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,4.47111987258586,Upregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,19.539762474197,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,2.69193064309922,Upregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],4894.52358124257,Upregulated
EN_3DHCDCHOLt,1.00000432951188,Unchanged
EN_3DHCHOLt,1.00000432951198,Unchanged
EN_3DHDCAt,1.00000432951188,Unchanged
EN_3DHLCAt,1.00000432951188,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5660926940312,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.102599997224608,Downregulated
EN_C10DCc,0,Unchanged
EN_C30CPT1,4.53396032827413e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,27897.3453078717,Upregulated
EN_CHOLD2m,0.102599997224608,Downregulated
EN_CYTK1m,27897.3583324206,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,3.79614858427541,Upregulated
