commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.94153399430519e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.88199280425722,Unchanged
AD_ACGAMPM,2.68987254993907,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6134572958,Upregulated
AD_FAS80COA_L,2.12871444980292,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.72141072364619e-07,Unchanged
AD_HMGCOAtx,89617.8050377773,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0848551729588618,Downregulated
AD_HMR_0830,0.215443778761519,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76884.0979128933,Upregulated
AD_HMR_2611,76884.2324130845,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.817826004646517,Unchanged
AD_LALDO,1.0000166436854,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,4.29421066891954e-06,Unchanged
AD_NDPK4m,0.112518878035229,Downregulated
AD_NDPK8m,0.11251887373708,Downregulated
AD_P450LTB4r,1.02572272624054e-05,Unchanged
AD_PEHSFABPe,0.990269976892111,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.615477548370101,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.68987254993907,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.370607885720693,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],673.822122672944,Upregulated
EN_3DHCDCHOLt,1.00000059605959,Unchanged
EN_3DHCHOLt,1.0000005960596,Unchanged
EN_3DHDCAt,1.00000059605959,Unchanged
EN_3DHLCAt,1.00000059605959,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653724124058,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0141253137998641,Downregulated
EN_C10DCc,1.00435393004494,Unchanged
EN_C30CPT1,6.24206772272373e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3840.72872628052,Upregulated
EN_CHOLD2m,0.0141253137998641,Downregulated
