commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.6836193338321e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.63159332387468,Unchanged
AD_ACGAMPM,2.33215451745112,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6027344544,Upregulated
AD_FAS80COA_L,1.8454915105717,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.22705610817195e-07,Unchanged
AD_HMGCOAtx,77683.8687085411,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0735829592400859,Downregulated
AD_HMR_0830,0.186824071919739,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76876.4359207336,Upregulated
AD_HMR_2611,76876.5530634546,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.70925662426031,Unchanged
AD_LALDO,1.00001442872374,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.72286793328691e-06,Unchanged
AD_NDPK4m,0.0975717898339148,Downregulated
AD_NDPK8m,0.0975717902904822,Downregulated
AD_P450LTB4r,8.89474320952809e-06,Unchanged
AD_PEHSFABPe,0.858546056020684,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.533588547512534,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.33215451732849,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.321376060080144,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],584.332540841538,Upregulated
EN_3DHCDCHOLt,1.00000051687865,Unchanged
EN_3DHCHOLt,1.00000051687863,Unchanged
EN_3DHDCAt,1.00000051687863,Unchanged
EN_3DHLCAt,1.00000051687865,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653571363008,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0122444063997869,Downregulated
EN_C10DCc,2.82857169280717,Upregulated
EN_C30CPT1,5.41146950065283e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3329.30256008664,Upregulated
EN_CHOLD2m,0.0122444063997869,Downregulated
EN_CYTK1m,3329.30411470476,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.453203086200796,Downregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5653571363054,Upregulated
EN_G6PPer,98.6781806585885,Upregulated
EN_GLB1,3.27662063157306,Upregulated
EN_GLYBtm,0.0122444063998652,Downregulated
EN_GLYKm,3329.30256008664,Upregulated
EN_H2CO3D,275129909.267804,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,81.6135287598635,Upregulated
EN_HMR_0582,3329.30256008664,Upregulated
EN_HMR_0761,40.3769625288005,Upregulated
EN_HMR_0770,1.00000008212818,Unchanged
EN_HMR_0803,80.0661578180992,Upregulated
EN_HMR_0847,2.82399774965929,Upregulated
EN_HMR_1565,1963.29160899754,Upregulated
EN_HMR_1766,411.382988930735,Upregulated
EN_HMR_1769,411.38295606107,Upregulated
EN_HMR_1771,411.38295606107,Upregulated
EN_HMR_4278,1.81368201538135e-07,Unchanged
EN_HMR_4696,0.0345708901477915,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,213618122.973544,Upregulated
EN_HYOCHOLt,1.00000051687866,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,137.503613528801,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,213618119.646535,Upregulated
EN_MI3PP,213618127.470168,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,3329.30411470476,Upregulated
EN_NTD2e,16.322705519867,Upregulated
EN_ORNDC,NaN,Unchanged
EN_PGLYCtm,3329.30411470476,Upregulated
EN_PGPP_hs,3347.75065502948,Upregulated
EN_PGPP_hsc,3329.30256008664,Upregulated
EN_PPAer,1.88007865585865e-05,Unchanged
EN_PSSA1_hs,107909.721848866,Upregulated
EN_PTRCAT1,NaN,Unchanged
EN_PUNP7,NaN,Unchanged
EN_RDH3,2,Upregulated
EN_RE3010M,1.00000211427878,Unchanged
EN_RE3597C,NaN,Unchanged
EN_SEBACACT,2.82857169902297,Upregulated
EN_THYOCHOLt,1.00000051687865,Unchanged
EN_UDCHOLt,1.00000051687864,Unchanged
EN_UDPDOLPT_L,0.453203086200796,Downregulated
EN_UGCG,40.3769620491919,Upregulated
EN_UREAt,NaN,Unchanged
EN_VLCS2p,NaN,Unchanged
EN_XOLEST183CEH,107.122739694597,Upregulated
EN_XOLEST183te,137.503613528801,Upregulated
EN_XOLEST183tl,104.476943568363,Upregulated
EN_r0022,19.1257874162379,Upregulated
EN_r0051,NaN,Unchanged
EN_r0166,NaN,Unchanged
EN_r0224,0.397304353055573,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,107.122739694597,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],9.63592979745345e-07,Unchanged
EN_sink_gln_L[c],0.0010732833470778,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],4.96493344184968e-05,Unchanged
GN_2OBUTt,7.11812690952129e-06,Unchanged
GN_4ABUTtm,0.0850350841040628,Downregulated
GN_ABTArm,0.0850350841040628,Downregulated
GN_ABUTt2rL,0.0451370582320134,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.45047005257399e-07,Unchanged
GN_ACGALK,0.0784931234592705,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0115964833475559,Downregulated
GN_ARACHDFATPtc,1.07156757815175e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0784931226040877,Downregulated
GN_BPNT,0.0115964831709115,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,5.29978916033975e-05,Unchanged
GN_C226CPT2,5.29978905275186e-05,Unchanged
GN_CERT2rt,2.45531028172256e-08,Unchanged
GN_CHSTEROLt,0.00483414049733441,Unchanged
GN_CKc,0.00793830652629085,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00648772827958998,Unchanged
GN_DDCAte,2.95264962607563e-05,Unchanged
GN_DESAT18_4,3.17313006420125e-05,Unchanged
GN_DESAT18_7,0.000468882318800857,Unchanged
GN_DM_pcreat[c],0.00793830652629085,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,1.07156757150213e-07,Unchanged
GN_FAEL183,1.24807148235433e-07,Unchanged
GN_FAEL205,1.50279633415211e-07,Unchanged
GN_FAOXC101x,0.212023401329344,Downregulated
GN_FAOXC185C164m,0.00129508549092669,Unchanged
GN_FAOXC185m,0.00129508549092669,Unchanged
GN_FAOXC205C185m,0.00129508549092669,Unchanged
GN_FAOXC226C205m,0.00129508549092669,Unchanged
GN_FAOXC226C227m,0.00129508549092669,Unchanged
GN_FAOXC226m,0.00129508549092669,Unchanged
GN_FAOXC227C226m,0.00129508549092669,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0153024266251505,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0125661029987121,Downregulated
GN_GALNTg,0.0125661029987121,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,962711.946829997,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,3.450470052574e-07,Unchanged
GN_HMR_0261,0.000673563207867261,Unchanged
GN_HMR_0267,1.73350952202669e-07,Unchanged
GN_HMR_0317,0.0227107750104965,Downregulated
GN_HMR_0815,0.156986309997817,Downregulated
GN_HMR_0816,0.39003603039604,Downregulated
GN_HMR_0835,0.0784931226040877,Downregulated
GN_HMR_0836,0.0784931226040877,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,3.45047005257399e-07,Unchanged
GN_HMR_2215,3.45047005257399e-07,Unchanged
GN_HMR_2217,3.45047005257399e-07,Unchanged
GN_HMR_2218,3.45047005257399e-07,Unchanged
GN_HMR_2219,3.45047005257399e-07,Unchanged
GN_HMR_2374,3.84004936097588e-07,Unchanged
GN_HMR_2376,3.84004936097588e-07,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,3.45047005257399e-07,Unchanged
GN_HMR_3058,3.45047005257399e-07,Unchanged
GN_HMR_3059,3.45047005257399e-07,Unchanged
GN_HMR_3062,3.45047005257399e-07,Unchanged
GN_HMR_3063,3.45047005257399e-07,Unchanged
GN_HMR_3064,3.45047005257399e-07,Unchanged
GN_HMR_3065,3.45047005257399e-07,Unchanged
GN_HMR_3066,3.45047005257399e-07,Unchanged
GN_HMR_3067,3.45047005257399e-07,Unchanged
GN_HMR_3068,3.45047005257399e-07,Unchanged
GN_HMR_3069,3.45047005257399e-07,Unchanged
GN_HMR_3070,3.45047005257399e-07,Unchanged
GN_HMR_3071,3.45047005257399e-07,Unchanged
GN_HMR_3072,3.45047005257399e-07,Unchanged
GN_HMR_3073,3.45047005257399e-07,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,0.212023401329344,Downregulated
GN_HMR_7703,NaN,Unchanged
