commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.8250272607645e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.76879509916888,Unchanged
AD_ACGAMPM,2.52848507387576,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6089059908,Upregulated
AD_FAS80COA_L,2.0012318354109,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.4980978743725e-07,Unchanged
AD_HMGCOAtx,84217.71061525,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0797632225907939,Downregulated
AD_HMR_0830,0.202515508462352,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76880.6097293505,Upregulated
AD_HMR_2611,76880.7361692707,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.768616146167894,Unchanged
AD_LALDO,1.00001564321042,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,4.03706203756294e-06,Unchanged
AD_NDPK4m,0.105766882560404,Downregulated
AD_NDPK8m,0.105766891755666,Downregulated
AD_P450LTB4r,9.63912409130876e-06,Unchanged
AD_PEHSFABPe,0.930846273037818,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.578556735502835,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.52848507387576,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.348368592858191,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],633.410888659052,Upregulated
EN_3DHCDCHOLt,1.00000056029151,Unchanged
EN_3DHCHOLt,1.00000056029158,Unchanged
EN_3DHDCAt,1.00000056029151,Unchanged
EN_3DHLCAt,1.00000056029152,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653655117804,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.013277687647548,Downregulated
EN_C10DCc,1.81014205413906,Unchanged
EN_C30CPT1,5.86636264722301e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3610.25582079517,Upregulated
EN_CHOLD2m,0.013277687647548,Downregulated
EN_CYTK1m,3610.25750660444,Upregulated
EN_DALAt2r,NaN,Unchanged
