commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,2.11178532481426e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,2.04728086203238,Upregulated
AD_ACGAMPM,2.92543466658085,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6211415251,Upregulated
AD_FAS80COA_L,2.31503116739187,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,4.04773762622321e-07,Unchanged
AD_HMGCOAtx,97476.6312894648,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0922960454625418,Downregulated
AD_HMR_0830,0.234335823287094,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76889.0365686361,Upregulated
AD_HMR_2611,76889.1828623652,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.889382733235928,Unchanged
AD_LALDO,1.00001809997231,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,4.67005988377706e-06,Unchanged
AD_NDPK4m,0.122385546290956,Downregulated
AD_NDPK8m,0.122385557690738,Downregulated
AD_P450LTB4r,1.11535731484102e-05,Unchanged
AD_PEHSFABPe,1.0771058329637,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.669421742963003,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.92543466626105,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.403106097864631,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],732.935759857208,Upregulated
EN_3DHCDCHOLt,1.00000064832762,Unchanged
EN_3DHCHOLt,1.00000064832756,Unchanged
EN_3DHDCAt,1.00000064832756,Unchanged
EN_3DHLCAt,1.00000064832756,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653824962543,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0153639489041071,Downregulated
