commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.71296870892235e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.65991206709671,Unchanged
AD_ACGAMPM,2.3741508109954,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6039449637,Upregulated
AD_FAS80COA_L,1.87828314797983,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.28276268726932e-07,Unchanged
AD_HMGCOAtx,79032.9559898689,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0750197444452894,Downregulated
AD_HMR_0830,0.190080860093356,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76877.4226336171,Upregulated
AD_HMR_2611,76877.4044288023,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.721299003473826,Unchanged
AD_LALDO,1.00001468237939,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.78748359225963e-06,Unchanged
AD_NDPK4m,0.0994769863814006,Downregulated
AD_NDPK8m,0.0994769911560416,Downregulated
AD_P450LTB4r,9.04567795869541e-06,Unchanged
AD_PEHSFABPe,0.873427875219489,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.542849738962957,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.374150810993,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.326936974087395,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],594.475771288649,Upregulated
EN_3DHCDCHOLt,1.00000052588904,Unchanged
EN_3DHCHOLt,1.00000052697128,Unchanged
EN_3DHDCAt,1.00000052697122,Unchanged
EN_3DHLCAt,1.00000052697128,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653590834401,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0124624254664124,Downregulated
EN_C10DCc,0.0114326690930305,Downregulated
EN_C30CPT1,5.50967085510876e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3388.58280716147,Upregulated
EN_CHOLD2m,0.0124624254664124,Downregulated
EN_CYTK1m,3388.58438946051,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.46227343682477,Downregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5653591494886,Upregulated
EN_G6PPer,100.381597791994,Upregulated
EN_GLB1,3.34219863997995,Upregulated
EN_GLYBtm,0.0124624254664921,Downregulated
EN_GLYKm,3388.58280716147,Upregulated
EN_H2CO3D,275129971.243058,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,83.0223764736672,Upregulated
EN_HMR_0582,3388.58280716147,Upregulated
EN_HMR_0761,41.1850612143551,Upregulated
