commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.69482194017689e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.64286500744259,Unchanged
AD_ACGAMPM,2.34801909401088,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6029398938,Upregulated
AD_FAS80COA_L,1.8584639713159,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.2485288220241e-07,Unchanged
AD_HMGCOAtx,78221.3112443627,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0740725687789382,Downregulated
AD_HMR_0830,0.188067180911617,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76876.7817611012,Upregulated
AD_HMR_2611,76876.8991763082,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.713897729592487,Unchanged
AD_LALDO,1.00001453019647,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.74861837447929e-06,Unchanged
AD_NDPK4m,0.0982210265703767,Downregulated
AD_NDPK8m,0.0982210239233355,Downregulated
AD_P450LTB4r,8.95280821526519e-06,Unchanged
AD_PEHSFABPe,0.864380569206774,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.53727745231831,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.34810000300335,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.323514478101372,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],588.220651274989,Upregulated
EN_3DHCDCHOLt,1.00000052031792,Unchanged
EN_3DHCHOLt,1.00000052031789,Unchanged
EN_3DHDCAt,1.00000052031789,Unchanged
