commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.9828174420411e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.92227035275552,Unchanged
AD_ACGAMPM,2.74765137144528,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6163189685,Upregulated
AD_FAS80COA_L,2.17427592179103,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.80054014725055e-07,Unchanged
AD_HMGCOAtx,91524.5272879397,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0866594645894696,Downregulated
AD_HMR_0830,0.220024778704386,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76885.2959416869,Upregulated
AD_HMR_2611,76885.4333046751,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.835307295273379,Unchanged
AD_LALDO,1.00001699936894,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,4.38611684950891e-06,Unchanged
AD_NDPK4m,0.114911382532924,Downregulated
AD_NDPK8m,0.114911380877118,Downregulated
AD_P450LTB4r,1.0475328591131e-05,Unchanged
AD_PEHSFABPe,1.01133167444086,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.628643940779723,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.74765137147654,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.37848815522165,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],688.176837570532,Upregulated
EN_3DHCDCHOLt,1.00000060873373,Unchanged
EN_3DHCHOLt,1.00000060873372,Unchanged
EN_3DHDCAt,1.00000060873372,Unchanged
EN_3DHLCAt,1.00000060873372,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653748575682,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0144258010288676,Downregulated
EN_C10DCc,0.834354427353833,Unchanged
EN_C30CPT1,6.37479433724053e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3922.43239309217,Upregulated
EN_CHOLD2m,0.0144258010288676,Downregulated
EN_CYTK1m,3922.43422467232,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.533742315806787,Unchanged
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5653748575743,Upregulated
EN_G6PPer,116.21438618123,Upregulated
EN_GLB1,3.85891247191901,Upregulated
EN_GLYBtm,0.0144258010289598,Downregulated
EN_GLYKm,3922.43239309217,Upregulated
EN_H2CO3D,275130576.305549,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,96.1171633153389,Upregulated
EN_HMR_0582,3922.43239309217,Upregulated
EN_HMR_0761,47.5523975958324,Upregulated
EN_HMR_0770,1.00000009672327,Unchanged
EN_HMR_0803,94.2948049350548,Upregulated
EN_HMR_0847,3.32585350042771,Upregulated
EN_HMR_1565,2309.97612555675,Upregulated
EN_HMR_1766,484.49029395595,Upregulated
EN_HMR_1769,484.490329711247,Upregulated
EN_HMR_1771,484.490329711247,Upregulated
EN_HMR_4278,2.13599334983883e-07,Unchanged
EN_HMR_4696,0.0407144396409192,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,213620354.398393,Upregulated
EN_HYOCHOLt,1.00000060873373,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,161.939533721658,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,213620351.07171,Upregulated
EN_MI3PP,213620358.054178,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,3922.43422467232,Upregulated
EN_NTD2e,19.2234307256298,Upregulated
EN_ORNDC,NaN,Unchanged
EN_PGLYCtm,3922.43422467232,Upregulated
EN_PGPP_hs,3942.68300198224,Upregulated
EN_PGPP_hsc,3922.43239309217,Upregulated
EN_PPAer,2.21416757273414e-05,Unchanged
EN_PSSA1_hs,107926.848456254,Upregulated
EN_PTRCAT1,NaN,Unchanged
EN_PUNP7,NaN,Unchanged
EN_RDH3,2,Upregulated
EN_RE3010M,1.00000249094943,Unchanged
EN_RE3597C,NaN,Unchanged
EN_SEBACACT,0.834354431054091,Unchanged
EN_THYOCHOLt,1.00000060873365,Unchanged
EN_UDCHOLt,1.0000006087338,Unchanged
EN_UDPDOLPT_L,0.533742315806787,Unchanged
EN_UGCG,47.5523967573895,Upregulated
EN_UREAt,NaN,Unchanged
EN_VLCS2p,NaN,Unchanged
EN_XOLEST183CEH,126.159640986424,Upregulated
EN_XOLEST183te,161.939533721658,Upregulated
EN_XOLEST183tl,123.043657485996,Upregulated
EN_r0022,19.1257946203427,Upregulated
EN_r0051,NaN,Unchanged
EN_r0166,NaN,Unchanged
EN_r0224,0.467909766985647,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,126.159640986424,Upregulated
