commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.70134656997334e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.6506011149975,Unchanged
AD_ACGAMPM,2.35731623552159,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6035497319,Upregulated
AD_FAS80COA_L,1.86560818371019,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.26103471672669e-07,Unchanged
AD_HMGCOAtx,78531.4387489948,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0743577282091695,Downregulated
AD_HMR_0830,0.188791187341153,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76876.9753729098,Upregulated
AD_HMR_2611,76877.0932302036,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.716724486280763,Unchanged
AD_LALDO,1.00001458611497,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.76344923633044e-06,Unchanged
AD_NDPK4m,0.0985991489430301,Downregulated
AD_NDPK8m,0.0985991512176939,Downregulated
AD_P450LTB4r,8.98830401850529e-06,Unchanged
AD_PEHSFABPe,0.867763521908901,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.539404947951635,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.35731623577166,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.324759916539136,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],590.485118364842,Upregulated
EN_3DHCDCHOLt,1.00000052232109,Unchanged
EN_3DHCHOLt,1.000000522321,Unchanged
EN_3DHDCAt,1.000000522321,Unchanged
EN_3DHLCAt,1.000000522321,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.565358186277,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0123778693821646,Downregulated
EN_C10DCc,0.263381676937371,Downregulated
EN_C30CPT1,5.46986039841144e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3365.59167320483,Upregulated
EN_CHOLD2m,0.0123778693821646,Downregulated
EN_CYTK1m,3365.59324476815,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.457974863755151,Downregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.565358186272,Upregulated
EN_G6PPer,99.71719570705,Upregulated
EN_GLB1,3.3111211623712,Upregulated
EN_GLYBtm,0.0123778693822438,Downregulated
EN_GLYKm,3365.59167320483,Upregulated
EN_H2CO3D,275129946.528897,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,82.4728627737044,Upregulated
EN_HMR_0582,3365.59167320483,Upregulated
EN_HMR_0761,40.80209960644,Upregulated
EN_HMR_0770,1.00000008299293,Unchanged
EN_HMR_0803,80.9091959153822,Upregulated
EN_HMR_0847,2.85373232149961,Upregulated
EN_HMR_1565,1982.76943273695,Upregulated
EN_HMR_1766,415.714596610685,Upregulated
EN_HMR_1769,415.714535669683,Upregulated
EN_HMR_1771,415.714535669683,Upregulated
EN_HMR_4278,1.8327787725525e-07,Unchanged
EN_HMR_4696,0.0349345045786527,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,213618265.305982,Upregulated
EN_HYOCHOLt,1.00000052232101,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,138.951418484932,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,213618262.305358,Upregulated
EN_MI3PP,213618265.307172,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,3365.59324476815,Upregulated
EN_NTD2e,16.4945714989742,Upregulated
EN_ORNDC,NaN,Unchanged
EN_PGLYCtm,3365.59324476815,Upregulated
EN_PGPP_hs,3382.99997208353,Upregulated
EN_PGPP_hsc,3365.59167320483,Upregulated
EN_PPAer,1.89985590728322e-05,Unchanged
EN_PSSA1_hs,107910.736144799,Upregulated
EN_PTRCAT1,NaN,Unchanged
EN_PUNP7,NaN,Unchanged
EN_RDH3,2,Upregulated
EN_RE3010M,1.00000213734705,Unchanged
EN_RE3597C,NaN,Unchanged
EN_SEBACACT,0,Unchanged
EN_THYOCHOLt,1.000000522321,Unchanged
