commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,2.28431586251077e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,2.21454078899909,Upregulated
AD_ACGAMPM,3.16505459956388,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6289020712,Upregulated
AD_FAS80COA_L,2.5048624389962,Upregulated
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,4.37843343792639e-07,Unchanged
AD_HMGCOAtx,105440.367448627,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0998365351187498,Downregulated
AD_HMR_0830,0.253480801389288,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76894.1804249626,Upregulated
AD_HMR_2611,76894.3386719683,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.962311622139145,Unchanged
AD_LALDO,1.00001958468494,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,5.05300104349404e-06,Unchanged
AD_NDPK4m,0.132384317402415,Downregulated
AD_NDPK8m,0.132384309083645,Downregulated
AD_P450LTB4r,1.20681619930443e-05,Unchanged
AD_PEHSFABPe,1.16510413552789,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.72423296897365,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,3.16505459956388,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.436039422270409,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],792.844270472508,Upregulated
EN_3DHCDCHOLt,1.00000070129514,Unchanged
EN_3DHCHOLt,1.00000070129513,Unchanged
EN_3DHDCAt,1.00000070129514,Unchanged
EN_3DHLCAt,1.00000070129515,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653927151217,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0166191673461614,Downregulated
EN_C10DCc,4.43491256934806,Upregulated
EN_C30CPT1,7.3441173686857e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,4518.8173755035,Upregulated
EN_CHOLD2m,0.0166191673461614,Downregulated
EN_CYTK1m,4518.81948556566,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.614900859808494,Unchanged
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5653927151164,Upregulated
EN_G6PPer,133.885442866059,Upregulated
EN_GLB1,4.44568198179525,Upregulated
EN_GLYBtm,0.0166191673462676,Downregulated
EN_GLYKm,4518.8173755035,Upregulated
EN_H2CO3D,275131248.294918,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,110.732316259798,Upregulated
EN_HMR_0582,4518.8173755035,Upregulated
EN_HMR_0761,54.7830078229909,Upregulated
EN_HMR_0770,1.00000011143059,Unchanged
EN_HMR_0803,108.632865522692,Upregulated
EN_HMR_0847,3.83156832863391,Upregulated
EN_HMR_1565,2666.93879199951,Upregulated
EN_HMR_1766,558.159839285932,Upregulated
EN_HMR_1769,558.159807975171,Upregulated
EN_HMR_1771,558.159807975171,Upregulated
EN_HMR_4278,2.46078330860655e-07,Unchanged
EN_HMR_4696,0.0469048557073139,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,213622600.474949,Upregulated
EN_HYOCHOLt,1.00000070129513,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,186.563361828156,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,213622597.150992,Upregulated
EN_MI3PP,213622600.783512,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,4518.81948556566,Upregulated
EN_NTD2e,22.1464639719867,Upregulated
EN_ORNDC,NaN,Unchanged
EN_PGLYCtm,4518.81948556566,Upregulated
EN_PGPP_hs,4542.19060248885,Upregulated
EN_PGPP_hsc,4518.8173755035,Upregulated
EN_PPAer,2.5508445750071e-05,Unchanged
EN_PSSA1_hs,107944.107232537,Upregulated
EN_PTRCAT1,NaN,Unchanged
EN_PUNP7,NaN,Unchanged
EN_RDH3,2,Upregulated
