commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.73790006652297e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.68463311024029,Unchanged
AD_ACGAMPM,2.40776748554237,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.6052435178,Upregulated
AD_FAS80COA_L,1.9082427283588,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,3.33109787869746e-07,Unchanged
AD_HMGCOAtx,80213.2029985311,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0760570030903731,Downregulated
AD_HMR_0830,0.192847362281026,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76878.1171823154,Upregulated
AD_HMR_2611,76878.1634332478,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.732258639823463,Unchanged
AD_LALDO,1.00001489787883,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.84403860793532e-06,Unchanged
AD_NDPK4m,0.100852405303501,Downregulated
AD_NDPK8m,0.100852404125471,Downregulated
AD_P450LTB4r,9.18042025701176e-06,Unchanged
AD_PEHSFABPe,0.886311039144265,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.550934486327655,Unchanged
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.40776748560729,Upregulated
AD_r0208,NaN,Unchanged
