commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_5MTHFt2,1.44626854744701e-07,Unchanged
AD_ACGAM6PSi,NaN,Unchanged
AD_ACGAMK,1.40184441274795,Unchanged
AD_ACGAMPM,2.00364229086247,Upregulated
AD_ADMDC,NaN,Unchanged
AD_ASCBt4,214175.225861459,Upregulated
AD_BAMPPALDOX,NaN,Unchanged
AD_DMATTx,NaN,Unchanged
AD_DNDPt28m,NaN,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,33453.5922911111,Upregulated
AD_FAS80COA_L,1.58562294812465,Unchanged
AD_FRDPtr,NaN,Unchanged
AD_FTHFLm,NaN,Unchanged
AD_GF6PTA,NaN,Unchanged
AD_GLYPROt,NaN,Unchanged
AD_GRTTx,NaN,Unchanged
AD_H2Otn,2.7721168697228e-07,Unchanged
AD_HMGCOAtx,66754.5731462763,Upregulated
AD_HMR_0197,NaN,Unchanged
AD_HMR_0807,0.0632094826619339,Downregulated
AD_HMR_0830,0.160486239603907,Downregulated
AD_HMR_1135,NaN,Unchanged
AD_HMR_1242,NaN,Unchanged
AD_HMR_1526,NaN,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,76869.4286924671,Upregulated
AD_HMR_2611,76869.5288853412,Upregulated
AD_HMR_2612,834082.752985036,Upregulated
AD_HMR_2634,505449.280111658,Upregulated
AD_HMR_2673,763331.569653363,Upregulated
AD_HMR_2712,204710.683848362,Upregulated
AD_HMR_2713,204710.683848362,Upregulated
AD_HMR_2727,204710.689603532,Upregulated
AD_HMR_4078,NaN,Unchanged
AD_HMR_4079,NaN,Unchanged
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,NaN,Unchanged
AD_KAS8,0.609160710760506,Unchanged
AD_LALDO,1.00001239876624,Unchanged
AD_LPS6e,NaN,Unchanged
AD_LTHSTRLtr,NaN,Unchanged
AD_L_LACt2r,3.1986416818975e-06,Unchanged
AD_NDPK4m,0.0838164545826216,Downregulated
AD_NDPK8m,0.083978329706152,Downregulated
AD_P450LTB4r,7.63935352994202e-06,Unchanged
AD_PEHSFABPe,0.737662806681776,Unchanged
AD_PROGLyt,NaN,Unchanged
AD_PROSTGE2t,0.458453206817128,Downregulated
AD_PSSA2_hs,NaN,Unchanged
AD_RE3597X,NaN,Unchanged
AD_SPRMS,NaN,Unchanged
AD_SQLSr,NaN,Unchanged
AD_TRDR,NaN,Unchanged
AD_UAGDP,2.00364229116785,Upregulated
AD_r0208,NaN,Unchanged
AD_r0392,0.276436855262339,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],501.929698559003,Upregulated
EN_3DHCDCHOLt,1.00000044401089,Unchanged
EN_3DHCHOLt,1.00000044401091,Unchanged
EN_3DHDCAt,1.00000044401088,Unchanged
EN_3DHLCAt,1.00000044401087,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653432000189,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0105220903713355,Downregulated
EN_C10DCc,0.475347071131356,Downregulated
EN_C30CPT1,4.65116964427595e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,2860.99801549874,Upregulated
EN_CHOLD2m,0.0105220903713355,Downregulated
EN_CYTK1m,2860.99935144201,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.3898657609303,Downregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5653430781826,Upregulated
EN_G6PPer,84.7668651908787,Upregulated
EN_GLB1,2.82013082600757,Upregulated
EN_GLYBtm,0.0105220903714028,Downregulated
EN_GLYKm,2860.99801549874,Upregulated
EN_H2CO3D,275129377.395718,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,70.1079357777323,Upregulated
EN_HMR_0582,2860.99801549874,Upregulated
EN_HMR_0761,34.7340874837766,Upregulated
EN_HMR_0770,1.00000007055003,Unchanged
EN_HMR_0803,68.7787109158854,Upregulated
EN_HMR_0847,2.42588032627923,Upregulated
EN_HMR_1565,1686.13910569336,Upregulated
EN_HMR_1766,353.387616891186,Upregulated
EN_HMR_1769,353.387627681901,Upregulated
EN_HMR_1771,353.387627681901,Upregulated
EN_HMR_4278,1.55799536344148e-07,Unchanged
EN_HMR_4696,0.0297008574139717,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,213616380.325229,Upregulated
EN_HYOCHOLt,1.00000044401088,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,118.118833105909,Upregulated
EN_LCAT34e,NaN,Unchanged
EN_LCAT50e,NaN,Unchanged
EN_LCAT7e,NaN,Unchanged
EN_LYSt4,NaN,Unchanged
EN_MI1PS,213616376.982918,Upregulated
EN_MI3PP,213616380.333083,Upregulated
EN_NABTNO,NaN,Unchanged
EN_NDPK3m,2860.99935144201,Upregulated
EN_NTD2e,14.0215869666169,Upregulated
EN_ORNDC,NaN,Unchanged
EN_PGLYCtm,2860.99935144201,Upregulated
EN_PGPP_hs,2875.82194609046,Upregulated
EN_PGPP_hsc,2860.99801549874,Upregulated
EN_PPAer,1.61473034523666e-05,Unchanged
EN_PSSA1_hs,107896.134636172,Upregulated
EN_PTRCAT1,NaN,Unchanged
EN_PUNP7,NaN,Unchanged
EN_RDH3,2,Upregulated
EN_RE3010M,1.0000018165771,Unchanged
EN_RE3597C,NaN,Unchanged
EN_SEBACACT,0.475347072033947,Downregulated
EN_THYOCHOLt,1.00000044401095,Unchanged
EN_UDCHOLt,1.00000044401091,Unchanged
EN_UDPDOLPT_L,0.3898657609303,Downregulated
EN_UGCG,34.684757610385,Upregulated
EN_UREAt,NaN,Unchanged
EN_VLCS2p,NaN,Unchanged
EN_XOLEST183CEH,92.0209490289761,Upregulated
EN_XOLEST183te,118.118833105909,Upregulated
EN_XOLEST183tl,89.7481480236303,Upregulated
EN_r0022,19.1257817957731,Upregulated
EN_r0051,NaN,Unchanged
EN_r0166,NaN,Unchanged
EN_r0224,0.341952896275114,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,92.0209490289761,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],8.28926262770974e-07,Unchanged
EN_sink_gln_L[c],0.000922151355531242,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],4.26453849606922e-05,Unchanged
GN_2OBUTt,6.13318249497752e-06,Unchanged
GN_4ABUTtm,0.0730361581464259,Downregulated
GN_ABTArm,0.0730361581464259,Downregulated
GN_ABUTt2rL,0.0388289388510961,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,2.96825041073256e-07,Unchanged
GN_ACGALK,0.0675576549842312,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.00997581898883879,Unchanged
GN_ARACHDFATPtc,9.21810963233734e-08,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0674274443587706,Downregulated
GN_BPNT,0.00997581912516052,Unchanged
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,4.55911863649181e-05,Unchanged
GN_C226CPT2,4.55264320424398e-05,Unchanged
GN_CERT2rt,2.11216876832756e-08,Unchanged
GN_CHSTEROLt,0.00415264141450383,Unchanged
GN_CKc,0.00682889032155645,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00557311579321164,Unchanged
GN_DDCAte,2.53622624504156e-05,Unchanged
GN_DESAT18_4,2.73105752670953e-05,Unchanged
GN_DESAT18_7,0.000403353785176302,Unchanged
GN_DM_pcreat[c],0.00682889032155645,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,9.21810861164634e-08,Unchanged
GN_FAEL183,1.0736475609315e-07,Unchanged
GN_FAEL205,1.29093725930928e-07,Unchanged
GN_FAOXC101x,0.182160568000525,Downregulated
GN_FAOXC185C164m,0.00111250883770948,Unchanged
GN_FAOXC185m,0.00111250883770948,Unchanged
GN_FAOXC205C185m,0.00111250883770948,Unchanged
GN_FAOXC226C205m,0.00111250883770948,Unchanged
GN_FAOXC226C227m,0.00111250883770948,Unchanged
GN_FAOXC226m,0.00111250883770948,Unchanged
GN_FAOXC227C226m,0.00111250883770948,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0131638386705147,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.010809929186398,Downregulated
GN_GALNTg,0.010809929186398,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,962711.110524334,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,2.96825041073257e-07,Unchanged
GN_HMR_0261,0.000579429551034377,Unchanged
GN_HMR_0267,1.49200102103e-07,Unchanged
GN_HMR_0317,0.0195368288305644,Downregulated
GN_HMR_0815,0.135115352868153,Downregulated
GN_HMR_0816,0.335697187365434,Downregulated
GN_HMR_0835,0.0674274443587706,Downregulated
GN_HMR_0836,0.0674274443587706,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,2.96825041073256e-07,Unchanged
GN_HMR_2215,2.96825041073256e-07,Unchanged
GN_HMR_2217,2.96825041073256e-07,Unchanged
GN_HMR_2218,2.96825041073256e-07,Unchanged
GN_HMR_2219,2.96825041073256e-07,Unchanged
GN_HMR_2374,3.3033837958595e-07,Unchanged
GN_HMR_2376,3.3033837958595e-07,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,2.96825041073256e-07,Unchanged
GN_HMR_3058,2.96825041073256e-07,Unchanged
GN_HMR_3059,2.96825041073256e-07,Unchanged
GN_HMR_3062,2.96825041073256e-07,Unchanged
GN_HMR_3063,2.96825041073256e-07,Unchanged
GN_HMR_3064,2.96825041073256e-07,Unchanged
GN_HMR_3065,2.96825041073256e-07,Unchanged
GN_HMR_3066,2.96825041073256e-07,Unchanged
GN_HMR_3067,2.96825041073256e-07,Unchanged
GN_HMR_3068,2.96825041073256e-07,Unchanged
GN_HMR_3069,2.96825041073256e-07,Unchanged
GN_HMR_3070,2.96825041073256e-07,Unchanged
GN_HMR_3071,2.96825041073256e-07,Unchanged
GN_HMR_3072,2.96825041073256e-07,Unchanged
GN_HMR_3073,2.96825041073256e-07,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,0.182160568000525,Downregulated
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.000788425731750884,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.010809929186398,Downregulated
GN_NAGLCAly,0.010809929186398,Downregulated
GN_NEU11l,0.0674274443587706,Downregulated
GN_O2Stm,0.00557311186056307,Unchanged
GN_OCT11EFATP,0.000579429551034377,Unchanged
GN_OLEICFATPtc,0.00539588184415599,Unchanged
GN_PAPStg,0.00997581898878651,Unchanged
GN_PAPtg,0.00997581912516052,Unchanged
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,9439.12434091086,Upregulated
GN_RE0574C,2.96825041073257e-07,Unchanged
GN_RE0575C,2.96825041073257e-07,Unchanged
GN_RE0576C,2.96825041073257e-07,Unchanged
GN_RE0578C,0.0211673033933379,Downregulated
GN_RE1342C,2.61002345345061e-05,Unchanged
GN_RE1518X,0.182160568000525,Downregulated
GN_RE1520X,0.182160568016248,Downregulated
GN_RE1521X,0.182160568016248,Downregulated
GN_RE1522X,0.182160568016248,Downregulated
GN_RE1525X,0.182160568016248,Downregulated
GN_RE1526X,0.182160568016248,Downregulated
GN_RE1527X,0.182160568016248,Downregulated
