commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,8.0538924801319e-06,Unchanged
AD_ACGAM6PSi,332.158849965214,Upregulated
AD_ACGAMK,25.2025047484769,Upregulated
AD_ACGAMPM,25.2025050589249,Upregulated
AD_ADMDC,11.2058332385266,Upregulated
AD_ASCBt4,1960985.2334907,Upregulated
AD_BAMPPALDOX,11.1482293419481,Upregulated
AD_DMATTx,8.82090981639083,Upregulated
AD_DNDPt28m,3.27169458887423,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,75522.1161701181,Upregulated
AD_FAS80COA_L,169.122982784998,Upregulated
AD_FRDPtr,8.82090981622899,Upregulated
AD_FTHFLm,0.449746986184308,Downregulated
AD_GF6PTA,6.89594274530139,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,8.82090981639083,Upregulated
AD_H2Otn,3.3248933431555e-06,Unchanged
AD_HMGCOAtx,1149.39873468107,Upregulated
AD_HMR_0197,2.75053035805166,Upregulated
AD_HMR_0807,1.39359014588324,Unchanged
AD_HMR_0830,0.776979885167479,Unchanged
AD_HMR_1135,33049113.8244765,Upregulated
AD_HMR_1242,33049113.8244765,Upregulated
AD_HMR_1526,0.377069687479964,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,1307669.87112833,Upregulated
AD_HMR_2611,1134951.66276353,Upregulated
AD_HMR_2612,15611140.6629199,Upregulated
AD_HMR_2634,14824595.3848441,Upregulated
AD_HMR_2673,19067504.5106746,Upregulated
AD_HMR_2712,2777041.68372133,Upregulated
AD_HMR_2713,2777041.68372133,Upregulated
AD_HMR_2727,7724802.26063824,Upregulated
AD_HMR_4078,11.1482292644638,Upregulated
AD_HMR_4079,11.1482283077904,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,8.82090981622899,Upregulated
AD_KAS8,67.1181142918737,Upregulated
AD_LALDO,1.0001173562618,Unchanged
AD_LPS6e,21.39344277556,Upregulated
AD_LTHSTRLtr,27.7842226619206,Upregulated
AD_L_LACt2r,0.000212535529317435,Unchanged
AD_NDPK4m,1.98226295344725,Unchanged
AD_NDPK8m,1.98433017180531,Unchanged
AD_P450LTB4r,51.4408802602086,Upregulated
AD_PEHSFABPe,7.21126051792383,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,6.38322935274656,Upregulated
