commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,7.70831529052884e-07,Unchanged
AD_ACGAM6PSi,378.524356821722,Upregulated
AD_ACGAMK,26.9628670903127,Upregulated
AD_ACGAMPM,43.7142506795806,Upregulated
AD_ADMDC,5.84941015969964,Upregulated
AD_ASCBt4,3569272.30412078,Upregulated
AD_BAMPPALDOX,5.83458480463267,Upregulated
AD_DMATTx,9.4469099924058,Upregulated
AD_DNDPt28m,3.57182049663137,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,137457.98416477,Upregulated
AD_FAS80COA_L,180.830213553918,Upregulated
AD_FRDPtr,9.44690999503771,Upregulated
AD_FTHFLm,0.450298225477369,Downregulated
AD_GF6PTA,39.0102506834391,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,9.4469099924058,Upregulated
AD_H2Otn,1.95450895828792e-06,Unchanged
AD_HMGCOAtx,1262.32411775778,Upregulated
AD_HMR_0197,2.48104360529209,Upregulated
AD_HMR_0807,1.4909306079178,Unchanged
AD_HMR_0830,0.831250880177935,Unchanged
AD_HMR_1135,59266691.5192132,Upregulated
AD_HMR_1242,59266691.5192132,Upregulated
AD_HMR_1526,0.403900786826451,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,2166074.58980877,Upregulated
AD_HMR_2611,1838737.86404332,Upregulated
AD_HMR_2612,27762027.0603571,Upregulated
AD_HMR_2634,26982874.0433112,Upregulated
AD_HMR_2673,34705573.0315329,Upregulated
AD_HMR_2712,5054611.16875271,Upregulated
AD_HMR_2713,5054611.16875271,Upregulated
AD_HMR_2727,14079087.4790824,Upregulated
AD_HMR_4078,5.8345849291898,Upregulated
AD_HMR_4079,5.83458498298826,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,9.44690999503771,Upregulated
AD_KAS8,71.8297713329907,Upregulated
AD_LALDO,1.00007684124408,Unchanged
AD_LPS6e,22.8877470814964,Upregulated
AD_LTHSTRLtr,29.7551033619144,Upregulated
AD_L_LACt2r,0.000394950923055831,Unchanged
AD_NDPK4m,2.17323851184902,Upregulated
AD_NDPK8m,2.17323860567224,Upregulated
AD_P450LTB4r,55.1077299666341,Upregulated
AD_PEHSFABPe,20.5240842649929,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,6.82904949193164,Upregulated
AD_PSSA2_hs,56.9898007099331,Upregulated
AD_RE3597X,59266691.5192132,Upregulated
AD_SPRMS,5.8345849291898,Upregulated
AD_SQLSr,152960777.252845,Upregulated
AD_TRDR,4.6140716752221,Upregulated
AD_UAGDP,43.7142506790814,Upregulated
AD_r0208,195.210402415394,Upregulated
AD_r0392,10.7992966325194,Upregulated
AD_r0841,5.22487975679448,Upregulated
AD_r0899,5.83458502876332,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,29924843.6546586,Upregulated
AD_sink_34dhpac[c],503.429806669299,Upregulated
AD_sink_retfa[c],28.0123930878444,Upregulated
EN_3DHCDCHOLt,1.00000248162186,Unchanged
EN_3DHCHOLt,1.00000248162188,Unchanged
EN_3DHDCAt,1.00000248162188,Unchanged
EN_3DHLCAt,1.00000248162188,Unchanged
EN_ABUTD,40.4077186478485,Upregulated
EN_ACONT,2697715.42527974,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,164.959929431824,Upregulated
EN_APRTO2,48.974533977534,Upregulated
EN_BETALDHxm,7.03666722928207,Upregulated
EN_C10DCc,0.572501283949356,Unchanged
EN_C30CPT1,2.75222038430911e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3583.77787752448,Upregulated
EN_CHOLD2m,7.03666722928207,Upregulated
EN_CYTK1m,3583.77787731979,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.262615247826806,Downregulated
EN_FADH2tru,17.7296421418598,Upregulated
EN_FADtru,17.7296421418598,Upregulated
EN_FUM,2697715.38931423,Upregulated
EN_G6PPer,45.0824474553824,Upregulated
EN_GLB1,1.77237699549935,Unchanged
EN_GLYBtm,7.03666722888017,Upregulated
EN_GLYKm,3583.77787752448,Upregulated
EN_H2CO3D,18238340.4631953,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,46.5817249137873,Upregulated
EN_HMR_0582,3583.77787752448,Upregulated
EN_HMR_0761,35.3212375824818,Upregulated
EN_HMR_0770,1.00000040334785,Unchanged
EN_HMR_0803,61.4995996937103,Upregulated
EN_HMR_0847,2.98983538225972,Upregulated
EN_HMR_1565,0.000119082476883769,Unchanged
EN_HMR_1766,602.190514087216,Upregulated
EN_HMR_1769,602.190514113135,Upregulated
EN_HMR_1771,602.190514113135,Upregulated
EN_HMR_4278,2.82427667020822e-06,Unchanged
EN_HMR_4696,19.6886556195503,Upregulated
EN_HMR_6511,17.7296421418598,Upregulated
EN_HMR_6572,25848488.4514006,Upregulated
EN_HYOCHOLt,1.0000024816218,Unchanged
EN_LCAT10e,24.8892166285428,Upregulated
EN_LCAT11e,24.8892184097793,Upregulated
EN_LCAT15e,24.8892187338065,Upregulated
EN_LCAT23e,186.349250557151,Upregulated
EN_LCAT34e,24.8892177749462,Upregulated
EN_LCAT50e,24.8892174708756,Upregulated
EN_LCAT7e,24.8892172221679,Upregulated
EN_LYSt4,12561717.2048355,Upregulated
EN_MI1PS,25848488.2486828,Upregulated
EN_MI3PP,25848488.4514239,Upregulated
EN_NABTNO,48.974533977534,Upregulated
EN_NDPK3m,3583.77787731979,Upregulated
EN_NTD2e,13.2223441238343,Upregulated
EN_ORNDC,48.9745357942139,Upregulated
EN_PGLYCtm,3583.77787731979,Upregulated
EN_PGPP_hs,3611.33230094106,Upregulated
EN_PGPP_hsc,3583.77787752448,Upregulated
EN_PPAer,15.2423754506788,Upregulated
EN_PSSA1_hs,19507.3190189323,Upregulated
EN_PTRCAT1,48.974533977534,Upregulated
EN_PUNP7,43.7708238904202,Upregulated
EN_RDH3,2,Upregulated
EN_RE3010M,1.00001056559171,Unchanged
EN_RE3597C,26660504.3872655,Upregulated
EN_SEBACACT,0.572501283922824,Unchanged
EN_THYOCHOLt,1.00000248162186,Unchanged
EN_UDCHOLt,1.00000248162191,Unchanged
EN_UDPDOLPT_L,0.262615247826806,Downregulated
EN_UGCG,35.3212399818153,Upregulated
EN_UREAt,10454576.9601693,Upregulated
EN_VLCS2p,9.02361133643117,Upregulated
EN_XOLEST183CEH,186.349250557151,Upregulated
EN_XOLEST183te,186.349250554457,Upregulated
EN_XOLEST183tl,186.349250554457,Upregulated
EN_r0022,3589871.37148125,Upregulated
EN_r0051,12.4429893147002,Upregulated
EN_r0166,12.4429893155804,Upregulated
EN_r0224,0.126898964736798,Downregulated
EN_r0726,0,Unchanged
EN_r0743,197.440106657128,Upregulated
EN_r1298,186.349250557151,Upregulated
EN_r1645,1.01851595244468,Unchanged
EN_r1664,155.872062436484,Upregulated
EN_sink_gchola[c],0.581236500497259,Unchanged
EN_sink_gln_L[c],67.1767713666453,Upregulated
EN_sink_pro_L[c],1,Unchanged
EN_sink_xol7aone[c],5.46679615644242,Upregulated
GN_2OBUTt,4.39097948821778e-05,Unchanged
GN_4ABUTtm,9.49014589786465,Upregulated
GN_ABTArm,9.49014589786465,Upregulated
GN_ABUTt2rL,3.89272848920577,Upregulated
GN_ACACT10m,0,Unchanged
GN_ACACT9p,0.601900942345441,Unchanged
GN_ACGALK,9.927065293919,Upregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,2.75587003445837,Upregulated
GN_ARACHDFATPtc,1.15413494355272,Unchanged
