commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,9.17036839666707e-07,Unchanged
AD_ACGAM6PSi,204.049969157476,Upregulated
AD_ACGAMK,15.5097539789426,Upregulated
AD_ACGAMPM,21.2294569256964,Upregulated
AD_ADMDC,3.34252089160316,Upregulated
AD_ASCBt4,1666701.94406797,Upregulated
AD_BAMPPALDOX,3.34035022617037,Upregulated
AD_DMATTx,5.41947939503742,Upregulated
AD_DNDPt28m,1.95063665648416,Unchanged
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,64548.9218460167,Upregulated
AD_FAS80COA_L,116.751031977055,Upregulated
AD_FRDPtr,5.41947939523047,Upregulated
AD_FTHFLm,0.242431200330961,Downregulated
AD_GF6PTA,18.4550463733973,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,5.41947939503742,Upregulated
AD_H2Otn,2.27771767196708e-06,Unchanged
AD_HMGCOAtx,8503.6233491724,Upregulated
AD_HMR_0197,1.44962482498787,Unchanged
AD_HMR_0807,0.856074559077435,Unchanged
AD_HMR_0830,0.465369673930268,Downregulated
AD_HMR_1135,28127116.2675809,Upregulated
AD_HMR_1242,28127116.2675809,Upregulated
AD_HMR_1526,0.227447063709818,Downregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,1571588.40745866,Upregulated
AD_HMR_2611,1371289.90017209,Upregulated
AD_HMR_2612,13330661.0931136,Upregulated
AD_HMR_2634,12599881.641877,Upregulated
AD_HMR_2673,16206061.2692255,Upregulated
AD_HMR_2712,2360293.51201488,Upregulated
AD_HMR_2713,2360293.51201488,Upregulated
AD_HMR_2727,6570079.68009251,Upregulated
AD_HMR_4078,3.34035023235713,Upregulated
AD_HMR_4079,3.34035012872743,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,5.41947939523047,Upregulated
AD_KAS8,50.5109903462541,Upregulated
AD_LALDO,1.00011890686824,Unchanged
AD_LPS6e,12.6960018396715,Upregulated
AD_LTHSTRLtr,16.9076046336662,Upregulated
AD_L_LACt2r,1.50990156792975e-05,Unchanged
AD_NDPK4m,1.17968952445438,Unchanged
AD_NDPK8m,1.17968953150867,Unchanged
AD_P450LTB4r,37.4593698795334,Upregulated
AD_PEHSFABPe,8.54866490968522,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,3.85741251546575,Upregulated
AD_PSSA2_hs,20.7155892440475,Upregulated
AD_RE3597X,28127116.2675809,Upregulated
AD_SPRMS,3.34035023235713,Upregulated
AD_SQLSr,71426332.986716,Upregulated
AD_TRDR,2.45350757848921,Upregulated
AD_UAGDP,21.2294569256496,Upregulated
AD_r0208,127.823458281067,Upregulated
AD_r0392,5.03822167613312,Upregulated
AD_r0841,5.42597874109258,Upregulated
AD_r0899,3.3425208570918,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,13964584.284101,Upregulated
AD_sink_34dhpac[c],277.467686750122,Upregulated
AD_sink_retfa[c],15.4214353110648,Upregulated
EN_3DHCDCHOLt,1.00000273808411,Unchanged
EN_3DHCHOLt,1.00000273808406,Unchanged
EN_3DHDCAt,1.00000273808411,Unchanged
EN_3DHLCAt,1.00000273808412,Unchanged
EN_ABUTD,18.8484270412584,Upregulated
EN_ACONT,1259688.07867388,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,43.8564808536187,Upregulated
EN_APRTO2,26.0586615425237,Upregulated
EN_BETALDHxm,3.38575886500715,Upregulated
EN_C10DCc,0.17108037346658,Downregulated
EN_C30CPT1,2.86738208762927e-06,Unchanged
EN_C6DCc,0,Unchanged
