commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,1.56002743767447e-06,Unchanged
AD_ACGAM6PSi,3562.08626881652,Upregulated
AD_ACGAMK,275.150841512707,Upregulated
AD_ACGAMPM,376.621194946849,Upregulated
AD_ADMDC,59.2594926307216,Upregulated
AD_ASCBt4,17753210.3469875,Upregulated
AD_BAMPPALDOX,59.2594891002759,Upregulated
AD_DMATTx,96.0818613387313,Upregulated
AD_DNDPt28m,34.5828011033023,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,688689.151934696,Upregulated
AD_FAS80COA_L,2071.22205231519,Upregulated
AD_FRDPtr,96.0818613494698,Upregulated
AD_FTHFLm,4.29805889013124,Upregulated
AD_GF6PTA,322.16846598558,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,96.0818613387313,Upregulated
AD_H2Otn,3.78640696389169e-06,Unchanged
AD_HMGCOAtx,150760.640052539,Upregulated
AD_HMR_0197,25.6656383738008,Upregulated
AD_HMR_0807,15.085334446053,Upregulated
AD_HMR_0830,8.25589174956548,Upregulated
AD_HMR_1135,300050383.002639,Upregulated
AD_HMR_1242,300050383.002639,Upregulated
AD_HMR_1526,4.0152156943229,Upregulated
AD_HMR_2018,0,Unchanged
AD_HMR_2281,16777556.6589214,Upregulated
AD_HMR_2611,12513213.3329043,Upregulated
AD_HMR_2612,121632721.453069,Upregulated
AD_HMR_2634,134411188.852275,Upregulated
AD_HMR_2673,172880668.840305,Upregulated
AD_HMR_2712,25178795.0576441,Upregulated
AD_HMR_2713,25178795.0576441,Upregulated
AD_HMR_2727,70028008.5742156,Upregulated
AD_HMR_4078,59.2594957064037,Upregulated
AD_HMR_4079,59.2594894848724,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,96.0818613494698,Upregulated
AD_KAS8,896.090523460805,Upregulated
AD_LALDO,1.00019761586846,Unchanged
AD_LPS6e,223.722808027657,Upregulated
AD_LTHSTRLtr,299.754581286624,Upregulated
AD_L_LACt2r,2.50936921719383e-05,Unchanged
AD_NDPK4m,20.8834192585334,Upregulated
AD_NDPK8m,20.9146946754542,Upregulated
AD_P450LTB4r,659.662227376399,Upregulated
AD_PEHSFABPe,151.559120475817,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,68.3133707203163,Upregulated
AD_PSSA2_hs,364.803046579044,Upregulated
AD_RE3597X,300050383.002639,Upregulated
AD_SPRMS,59.2594957064037,Upregulated
AD_SQLSr,761951318.330378,Upregulated
AD_TRDR,43.4981944543621,Upregulated
AD_UAGDP,376.621194947893,Upregulated
AD_r0208,2267.65264137465,Upregulated
AD_r0392,88.7811210280743,Upregulated
AD_r0841,5.40379573439511,Upregulated
AD_r0899,58.8620457087873,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,149066140.289858,Upregulated
AD_sink_34dhpac[c],4919.2193429143,Upregulated
AD_sink_retfa[c],271.572656211078,Upregulated
EN_3DHCDCHOLt,1.00000455052659,Unchanged
EN_3DHCHOLt,1.00000455052659,Unchanged
EN_3DHDCAt,1.00000455052668,Unchanged
EN_3DHLCAt,1.00000455052668,Unchanged
EN_ABUTD,334.380573521376,Upregulated
EN_ACONT,13438018.5459233,Upregulated
EN_ADPACDAc,0,Unchanged
