commonRxns,FSR_PCOPT,Status_PCOPT
AD_5MTHFt2,4.36801412206478e-07,Unchanged
AD_ACGAM6PSi,621.055024214395,Upregulated
AD_ACGAMK,42.505114026964,Upregulated
AD_ACGAMPM,60.1925643436256,Upregulated
AD_ADMDC,9.13395446930565,Upregulated
AD_ASCBt4,9454991.70941299,Upregulated
AD_BAMPPALDOX,9.13395418684801,Upregulated
AD_DMATTx,14.7348084935842,Upregulated
AD_DNDPt28m,5.33495671472782,Upregulated
AD_FAOXC161C141m,NaN,Unchanged
AD_FAS100COA,367607.670427868,Upregulated
AD_FAS80COA_L,313.848456726352,Upregulated
AD_FRDPtr,14.7348084867018,Upregulated
AD_FTHFLm,0.666853763627302,Unchanged
AD_GF6PTA,52.2534393389131,Upregulated
AD_GLYPROt,1,Unchanged
AD_GRTTx,14.7348084935842,Upregulated
AD_H2Otn,1.10533277783249e-06,Unchanged
AD_HMGCOAtx,2944.36047049619,Upregulated
AD_HMR_0197,3.90096716024532,Upregulated
AD_HMR_0807,2.33244238220985,Upregulated
AD_HMR_0830,1.28208966335587,Unchanged
AD_HMR_1135,157579673.33721,Upregulated
AD_HMR_1242,157579673.33721,Upregulated
AD_HMR_1526,0.626109228657937,Unchanged
AD_HMR_2018,0,Unchanged
AD_HMR_2281,7722317.25641808,Upregulated
AD_HMR_2611,6762458.08278195,Upregulated
AD_HMR_2612,75868540.9620178,Upregulated
AD_HMR_2634,71477553.7396509,Upregulated
AD_HMR_2673,91934960.6576117,Upregulated
AD_HMR_2712,13389650.3790863,Upregulated
AD_HMR_2713,13389650.3790863,Upregulated
AD_HMR_2727,37295462.0484583,Upregulated
AD_HMR_4078,9.13395428592071,Upregulated
AD_HMR_4079,9.13395470590168,Upregulated
AD_HMR_5996,0.01,Downregulated
AD_IPDDIx,14.7348084867018,Upregulated
AD_KAS8,124.4410721277,Upregulated
AD_LALDO,1.00002703799658,Unchanged
AD_LPS6e,35.0390586732467,Upregulated
AD_LTHSTRLtr,46.3391261111812,Upregulated
AD_L_LACt2r,8.91408920233516e-06,Unchanged
AD_NDPK4m,3.21884504929191,Upregulated
AD_NDPK8m,3.21884493178913,Upregulated
AD_P450LTB4r,103.404500757401,Upregulated
AD_PEHSFABPe,24.597496536172,Upregulated
AD_PROGLyt,1,Unchanged
AD_PROSTGE2t,12.2963487323107,Upregulated
AD_PSSA2_hs,61.2525245395359,Upregulated
AD_RE3597X,157579673.33721,Upregulated
AD_SPRMS,9.13395428592071,Upregulated
AD_SQLSr,405192684.634077,Upregulated
AD_TRDR,6.7235663449547,Upregulated
AD_UAGDP,60.1925643444468,Upregulated
AD_r0208,337.01202039763,Upregulated
AD_r0392,13.9910509497322,Upregulated
AD_r0841,5.19480740519775,Upregulated
AD_r0899,9.1339546329242,Upregulated
AD_r1090,0.01,Downregulated
AD_r2436,79270822.9242883,Upregulated
AD_sink_34dhpac[c],835.509218822827,Upregulated
AD_sink_retfa[c],42.3703454075333,Upregulated
EN_3DHCDCHOLt,1.00000133587205,Unchanged
EN_3DHCHOLt,1.00000133587205,Unchanged
EN_3DHDCAt,1.00000133587205,Unchanged
EN_3DHLCAt,1.00000133587204,Unchanged
EN_ABUTD,52.3583332987026,Upregulated
EN_ACONT,7146029.44166163,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,122.207255058279,Upregulated
EN_APRTO2,72.1229424393558,Upregulated
EN_BETALDHxm,9.38062951077108,Upregulated
EN_C10DCc,0,Unchanged
EN_C30CPT1,1.39895463695439e-06,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,4575.78447064984,Upregulated
EN_CHOLD2m,9.38062951077108,Upregulated
EN_CYTK1m,4575.78447060453,Upregulated
EN_DALAt2r,2,Upregulated
EN_DOLGLCP_Lter,0.365823265554262,Downregulated
EN_FADH2tru,17.7296465633768,Upregulated
EN_FADtru,17.7296465633768,Upregulated
EN_FUM,7146030.81461311,Upregulated
EN_G6PPer,64.2862629975587,Upregulated
EN_GLB1,2.45540165991529,Upregulated
EN_GLYBtm,9.3806295106782,Upregulated
EN_GLYKm,4575.78447064984,Upregulated
EN_H2CO3D,40969055.6940852,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,65.0722672970145,Upregulated
EN_HMR_0582,4575.78447064984,Upregulated
EN_HMR_0761,49.2402926746541,Upregulated
EN_HMR_0770,1.00000021226014,Unchanged
EN_HMR_0803,84.2872867243966,Upregulated
EN_HMR_0847,4.09767101250179,Upregulated
EN_HMR_1565,8.88221159242325e-05,Unchanged
EN_HMR_1766,825.323075167146,Upregulated
EN_HMR_1769,825.323029234879,Upregulated
EN_HMR_1771,825.323029234879,Upregulated
EN_HMR_4278,1.38908602187346e-06,Unchanged
EN_HMR_4696,25.3339862652219,Upregulated
EN_HMR_6511,17.7296465632408,Upregulated
EN_HMR_6572,70431670.3280574,Upregulated
EN_HYOCHOLt,1.00000133587203,Unchanged
EN_LCAT10e,26.8128474890771,Upregulated
EN_LCAT11e,26.8128446210145,Upregulated
EN_LCAT15e,26.8128447084267,Upregulated
EN_LCAT23e,227.027387971785,Upregulated
EN_LCAT34e,26.812846862917,Upregulated
